Season,Team,Tempo,RankTempo,AdjTempo,RankAdjTempo,AdjOE,RankAdjOE,AdjOE,RankAdjOE,AdjDE,RankAdjDE,AdjDE,RankAdjDE,AdjEM,RankAdjEM
2014,"Abilene Christian",66.1354,193,63.2448,251,93.9574,330,93.9574,330,117.307,342,117.307,342,-23.3493,348
2014,"Air Force",65.2047,240,63.5543,236,99.6169,269,99.6169,269,106.621,204,106.621,204,-7.00456,252
2014,Akron,65.587,219,63.9966,216,105.021,184,105.021,184,102.918,128,102.918,128,2.10354,145
2014,Alabama,64.1085,286,61.9871,301,107.77,128,107.77,128,99.2319,63,99.2319,63,8.53773,86
2014,"Alabama A&M",66.3027,184,64.3039,195,91.9785,343,91.9785,343,105.808,183,105.808,183,-13.8296,306
2014,"Alabama St.",67.4851,126,65.9299,109,97.271,300,97.271,300,110.492,271,110.492,271,-13.2209,298
2014,Albany,63.0882,323,61.6156,314,102.854,217,102.854,217,103.894,148,103.894,148,-1.04061,181
2014,"Alcorn St.",63.8306,293,62.0107,300,93.3552,335,93.3552,335,109.827,262,109.827,262,-16.472,324
2014,American,60.7217,343,59.7109,343,103.422,206,103.422,206,98.8518,61,98.8518,61,4.57022,120
2014,"Appalachian St.",66.3806,178,64.6827,173,92.0216,341,92.0216,341,110.654,273,110.654,273,-18.6324,331
2014,Arizona,64.1264,284,62.8015,272,116.463,20,116.463,20,86.3526,1,86.3526,1,30.1105,2
2014,"Arizona St.",69.0501,66,67.407,58,111.239,67,111.239,67,96.4175,41,96.4175,41,14.8215,39
2014,Arkansas,72.3667,9,70.7318,7,111.051,71,111.051,71,96.906,44,96.906,44,14.1446,44
2014,"Arkansas Little Rock",68.4297,87,66.3221,95,101.118,243,101.118,243,105.814,184,105.814,184,-4.69621,219
2014,"Arkansas Pine Bluff",67.5797,124,64.9752,159,91.6992,344,91.6992,344,108.706,244,108.706,244,-17.0069,326
2014,"Arkansas St.",69.0169,67,66.5539,85,106.597,143,106.597,143,106.005,188,106.005,188,0.591969,161
2014,Army,68.2325,100,67.0304,64,105.123,181,105.123,181,110.429,269,110.429,269,-5.30576,228
2014,Auburn,67.6929,116,65.9544,108,109.788,95,109.788,95,105.4,174,105.4,174,4.38762,122
2014,"Austin Peay",71.8602,12,68.8598,23,99.5676,270,99.5676,270,111.205,281,111.205,281,-11.6375,287
2014,"Ball St.",66.9244,153,65.8698,112,96.5063,305,96.5063,305,109.593,259,109.593,259,-13.0862,296
2014,Baylor,63.8241,294,61.3215,319,118.878,10,118.878,10,99.4839,70,99.4839,70,19.3937,26
2014,Belmont,69.5161,51,67.6606,47,113.897,36,113.897,36,106.798,207,106.798,207,7.09942,97
2014,"Bethune Cookman",62.5199,336,60.737,332,96.4923,306,96.4923,306,116.801,341,116.801,341,-20.3082,337
2014,Binghamton,65.637,215,64.1935,208,91.6947,346,91.6947,346,111.086,278,111.086,278,-19.3917,333
2014,"Boise St.",65.4011,229,63.9471,219,114.629,29,114.629,29,104.1,152,104.1,152,10.5292,73
2014,"Boston College",62.7157,331,61.2276,321,114.29,32,114.29,32,111.849,294,111.849,294,2.44089,142
2014,"Boston University",65.8384,204,65.0645,153,106.295,153,106.295,153,102.476,123,102.476,123,3.81943,126
2014,"Bowling Green",66.4975,170,65.0316,157,93.0205,337,93.0205,337,96.9212,45,96.9212,45,-3.90072,207
2014,Bradley,63.8406,292,62.542,284,100.205,264,100.205,264,104.584,163,104.584,163,-4.37886,214
2014,Brown,69.2008,58,68.3049,36,101.06,246,101.06,246,100.472,87,100.472,87,0.587686,162
2014,Bryant,67.6186,123,65.3424,141,105.995,161,105.995,161,108.54,239,108.54,239,-2.54422,196
2014,Bucknell,63.6675,300,62.8728,267,102.99,214,102.99,214,102.082,113,102.082,113,0.908002,160
2014,Buffalo,67.6646,118,66.6016,82,109.714,96,109.714,96,103.353,138,103.353,138,6.36021,101
2014,Butler,63.9666,290,61.9372,304,106.006,160,106.006,160,99.2692,64,99.2692,64,6.73722,99
2014,BYU,73.4715,6,70.8045,6,114.49,31,114.49,31,100.718,93,100.718,93,13.7721,49
2014,"Cal Poly",60.6797,344,58.7952,347,103.553,202,103.553,202,104.371,159,104.371,159,-0.81818,176
2014,"Cal St. Bakersfield",65.7947,208,63.6126,232,100.77,250,100.77,250,105.895,186,105.895,186,-5.12458,225
2014,"Cal St. Fullerton",66.7564,163,65.5073,132,100.889,249,100.889,249,107.527,221,107.527,221,-6.6383,249
2014,"Cal St. Northridge",68.4995,82,67.4589,54,106.327,151,106.327,151,111.43,287,111.43,287,-5.10344,223
2014,California,66.5074,169,64.6084,178,111.708,63,111.708,63,99.7039,74,99.7039,74,12.0043,60
2014,Campbell,63.821,295,61.9402,303,98.4646,285,98.4646,285,115.883,334,115.883,334,-17.4185,327
2014,Canisius,68.2976,95,65.3451,140,112.474,53,112.474,53,108.33,233,108.33,233,4.14404,124
2014,"Central Arkansas",73.1568,8,70.6665,8,95.2754,319,95.2754,319,113.093,319,113.093,319,-17.8172,329
2014,"Central Connecticut",70.5276,29,68.4336,32,97.4289,299,97.4289,299,111.08,277,111.08,277,-13.6514,305
2014,"Central Michigan",65.1321,244,63.6865,228,106.259,155,106.259,155,117.685,343,117.685,343,-11.4258,286
2014,"Charleston Southern",68.25,99,65.6679,121,106.113,158,106.113,158,110.997,275,110.997,275,-4.88318,220
2014,Charlotte,69.7224,45,67.537,49,102.669,221,102.669,221,103.205,136,103.205,136,-0.535403,171
2014,Chattanooga,69.2374,56,66.7521,74,100.578,253,100.578,253,110.061,264,110.061,264,-9.48243,279
2014,"Chicago St.",69.1767,61,67.7918,44,98.1424,291,98.1424,291,109.407,255,109.407,255,-11.2646,284
2014,Cincinnati,63.5805,306,61.0814,328,109.653,98,109.653,98,90.4179,9,90.4179,9,19.2354,27
2014,Clemson,59.8984,349,58.6959,348,107.064,136,107.064,136,93.7177,17,93.7177,17,13.3464,51
2014,"Cleveland St.",64.6602,265,62.4196,287,110.625,80,110.625,80,101.958,111,101.958,111,8.66665,85
2014,"Coastal Carolina",68.1597,102,65.6026,125,98.1892,290,98.1892,290,103.173,133,103.173,133,-4.98357,221
2014,Colgate,62.7436,329,62.4417,285,108.465,117,108.465,117,109.744,261,109.744,261,-1.27941,184
2014,"College of Charleston",62.2516,338,60.7092,333,98.0695,292,98.0695,292,100.897,97,100.897,97,-2.8274,200
2014,Colorado,67.0754,144,64.8054,167,107.673,129,107.673,129,96.4704,42,96.4704,42,11.2023,67
2014,"Colorado St.",65.3379,234,64.9429,161,110.517,84,110.517,84,107.008,212,107.008,212,3.50911,128
2014,Columbia,61.5399,341,59.9098,339,107.626,130,107.626,130,102.953,129,102.953,129,4.67317,119
2014,Connecticut,65.5299,224,63.1794,254,113.591,39,113.591,39,91.4609,10,91.4609,10,22.13,15
2014,"Coppin St.",68.0328,106,66.8035,71,100.293,261,100.293,261,112.603,310,112.603,310,-12.3095,293
2014,Cornell,65.1892,241,63.5728,234,100.354,260,100.354,260,120.933,350,120.933,350,-20.5792,340
2014,Creighton,65.3043,236,63.5535,237,124.246,2,124.246,2,102.529,124,102.529,124,21.7177,17
2014,Dartmouth,63.6634,301,62.8324,270,103.604,201,103.604,201,108.593,240,108.593,240,-4.98935,222
2014,Davidson,67.4944,125,66.1296,101,113.272,42,113.272,42,109.087,251,109.087,251,4.18428,123
2014,Dayton,65.4122,228,63.8292,223,113.835,37,113.835,37,99.5865,72,99.5865,72,14.2489,42
2014,Delaware,70.9119,23,70.4263,10,112.012,60,112.012,60,106.186,192,106.186,192,5.82639,106
2014,"Delaware St.",60.5902,345,58.309,349,97.1165,302,97.1165,302,112.744,314,112.744,314,-15.6278,320
2014,Denver,59.1343,350,57.7513,350,110.556,83,110.556,83,107.699,224,107.699,224,2.85681,139
2014,DePaul,67.281,136,65.5765,126,106.144,156,106.144,156,107.335,217,107.335,217,-1.19106,183
2014,Detroit,67.8425,111,66.0202,104,101.371,238,101.371,238,103.597,142,103.597,142,-2.22574,195
2014,Drake,64.2585,280,62.8942,266,105.042,183,105.042,183,106.503,199,106.503,199,-1.461,187
2014,Drexel,63.5243,309,62.3973,288,105.242,179,105.242,179,101.768,110,101.768,110,3.47414,129
2014,Duke,65.3563,232,64.6064,179,124.688,1,124.688,1,100.437,86,100.437,86,24.2514,8
2014,Duquesne,68.2529,97,66.5123,88,110.576,82,110.576,82,109.044,248,109.044,248,1.53205,152
2014,"East Carolina",65.8275,205,63.7282,227,105.971,163,105.971,163,111.85,295,111.85,295,-5.87878,239
2014,"East Tennessee St.",71.0354,20,68.636,26,103.456,204,103.456,204,109.62,260,109.62,260,-6.16399,243
2014,"Eastern Illinois",66.8183,158,64.2382,204,98.7294,279,98.7294,279,112.009,298,112.009,298,-13.2793,300
2014,"Eastern Kentucky",67.0205,146,64.2386,203,112.369,55,112.369,55,108.407,235,108.407,235,3.96138,125
2014,"Eastern Michigan",64.6084,268,63.0176,259,98.471,284,98.471,284,95.297,28,95.297,28,3.17406,136
2014,"Eastern Washington",69.6858,48,69.0244,19,105.69,169,105.69,169,111.254,282,111.254,282,-5.56431,233
2014,Elon,66.9777,147,64.4192,189,104.594,189,104.594,189,107.543,222,107.543,222,-2.94857,202
2014,Evansville,66.4609,172,65.5533,128,103.115,212,103.115,212,107.305,216,107.305,216,-4.18943,211
2014,Fairfield,66.973,149,64.4949,185,95.6112,315,95.6112,315,104.455,160,104.455,160,-8.84371,271
2014,"Fairleigh Dickinson",66.6182,165,64.9527,160,102.225,226,102.225,226,112.791,316,112.791,316,-10.5669,282
2014,FIU,66.76,162,64.6716,174,101.418,236,101.418,236,106.896,210,106.896,210,-5.47748,231
2014,Florida,62.7047,332,61.3249,318,116.533,19,116.533,19,87.9654,3,87.9654,3,28.5673,3
2014,"Florida A&M",71.4155,16,69.9752,14,94.9367,322,94.9367,322,108.124,231,108.124,231,-13.187,297
2014,"Florida Atlantic",65.2792,237,63.0247,257,101.115,244,101.115,244,107.517,219,107.517,219,-6.40156,244
2014,"Florida Gulf Coast",68.3218,93,66.2459,98,100.039,266,100.039,266,101.118,99,101.118,99,-1.0787,182
2014,"Florida St.",66.104,195,65.2248,149,112.233,59,112.233,59,97.3778,54,97.3778,54,14.8557,38
2014,Fordham,69.1934,59,67.4528,55,108.816,109,108.816,109,111.671,291,111.671,291,-2.85564,201
2014,"Fresno St.",65.7809,209,65.7259,118,110.228,88,110.228,88,105.178,170,105.178,170,5.05031,116
2014,Furman,64.8672,255,63.685,229,94.9005,323,94.9005,323,115.593,332,115.593,332,-20.6922,342
2014,"Gardner Webb",66.9754,148,64.7996,168,99.0163,276,99.0163,276,105.602,179,105.602,179,-6.58588,247
2014,"George Mason",67.7022,115,65.0442,155,105.821,167,105.821,167,103.156,132,103.156,132,2.66515,141
