Season,Team,Tempo,RankTempo,AdjTempo,RankAdjTempo,AdjOE,RankAdjOE,AdjOE,RankAdjOE,AdjDE,RankAdjDE,AdjDE,RankAdjDE,AdjEM,RankAdjEM
2017,"Abilene Christian",67.8394,257,65.8215,284,96.9755,306,96.9755,306,108.838,252,108.838,252,-11.8628,298
2017,"Air Force",68.9391,211,67.0541,232,104.304,175,104.304,175,109.519,270,109.519,270,-5.21514,222
2017,Akron,68.1375,247,66.259,266,112.551,47,112.551,47,106.447,209,106.447,209,6.10376,100
2017,Alabama,67.3984,274,65.148,302,105.333,152,105.333,152,92.2497,10,92.2497,10,13.083,56
2017,"Alabama A&M",65.7056,315,64.3437,316,91.4299,342,91.4299,342,121.767,350,121.767,350,-30.3375,351
2017,"Alabama St.",69.452,180,68.4297,164,91.1042,345,91.1042,345,112.755,316,112.755,316,-21.6507,342
2017,Albany,64.7768,334,64.2395,320,107.534,116,107.534,116,104.87,180,104.87,180,2.66396,129
2017,"Alcorn St.",68.6334,225,67.7649,201,95.4617,321,95.4617,321,105.965,198,105.965,198,-10.5036,285
2017,American,65.1501,327,64.3206,318,95.1615,325,95.1615,325,108.101,240,108.101,240,-12.9397,307
2017,"Appalachian St.",71.4327,77,70.4823,62,99.5494,268,99.5494,268,109.156,260,109.156,260,-9.60691,274
2017,Arizona,67.197,280,66.0199,277,118.388,15,118.388,15,95.0812,29,95.0812,29,23.3068,18
2017,"Arizona St.",72.4749,47,70.0297,79,111.869,55,111.869,55,109.062,257,109.062,257,2.80605,126
2017,Arkansas,71.5875,70,69.7479,87,116.061,28,116.061,28,99.8135,76,99.8135,76,16.2479,35
2017,"Arkansas Pine Bluff",68.7178,221,67.6182,209,85.6744,351,85.6744,351,110.952,300,110.952,300,-25.2771,348
2017,"Arkansas St.",68.5638,228,67.2993,217,106.336,138,106.336,138,103.344,146,103.344,146,2.99177,124
2017,Army,71.9306,59,71.3532,38,98.6341,281,98.6341,281,104.676,175,104.676,175,-6.04192,230
2017,Auburn,75.2285,11,73.5806,10,111.87,54,111.87,54,103.348,147,103.348,147,8.522,82
2017,"Austin Peay",71.604,69,70.0157,80,106.188,140,106.188,140,117.266,342,117.266,342,-11.0776,289
2017,"Ball St.",72.8639,37,71.067,50,104.712,164,104.712,164,105.333,188,105.333,188,-0.620889,180
2017,Baylor,65.0831,329,63.6964,328,117.115,23,117.115,23,92.8864,16,92.8864,16,24.2282,13
2017,Belmont,68.9243,212,68.0219,188,110.827,65,110.827,65,102.662,125,102.662,125,8.16518,83
2017,"Bethune Cookman",69.7597,162,68.2832,177,94.9937,328,94.9937,328,115.439,335,115.439,335,-20.4453,340
2017,Binghamton,66.7737,293,65.9163,279,96.285,314,96.285,314,110.05,282,110.05,282,-13.7652,314
2017,"Boise St.",70.4101,121,69.5229,97,109.189,85,109.189,85,102.186,112,102.186,112,7.00352,94
2017,"Boston College",72.5059,45,71.1493,46,103.893,186,103.893,186,104.166,163,104.166,163,-0.272907,173
2017,"Boston University",69.9055,153,69.6299,94,101.716,226,101.716,226,103.395,149,103.395,149,-1.67836,192
2017,"Bowling Green",72.3999,49,69.9892,82,100.063,257,100.063,257,107.224,220,107.224,220,-7.16148,249
2017,Bradley,68.4446,233,67.6633,205,98.43,283,98.43,283,102.722,130,102.722,130,-4.29179,217
2017,Brown,71.8143,63,71.2586,42,104.13,180,104.13,180,113.965,325,113.965,325,-9.83516,277
2017,Bryant,69.994,146,69.1281,110,101.721,225,101.721,225,111.993,307,111.993,307,-10.2723,281
