,#,,Player,CO,Pos,Age,HT,WT,WS,Pts,Reb,Ast,PER,Team,League,NBA EWA
31,32,,Steve Novak,,SF/PF,21.7,"6'9""",216,"6'9 ½""",0.6,0.4,0.0,1.3,,NBA,0.37
32,33,,Solomon Jones,,PF/C,21.6,"6'10""",224,"7'4 ½""",9.0,8.8,1.3,9.2,,Dominican Republic,-0.11
33,34,,Paul Davis,,PF/C,21.6,"6'11""",250,-,10.2,3.9,1.5,25.1,,VTB United,-0.01
34,35,,PJ Tucker,,SF/PF,20.8,"6'5""",225,-,5.6,5.6,0.9,7.5,,NBA,0.23
35,36,,Craig Smith,,PF,22.3,"6'6""",259,"6'9 ½""",20.0,6.2,2.2,25.3,,Israel,3.08
36,37,,Bobby Jones,,SF,22.1,"6'7""",211,"6'9 ¼""",13.5,7.5,1.2,19.1,,LegaDue,-0.08
37,38,,Kosta Perovic,,C,21,"7'2""",240,-,3.1,2.1,0.1,13.0,,Adriatic,-0.01
38,39,,David Noel,,SF/PF,22,"6'6""",223,"6'9 ½""",8.1,4.0,2.3,12.3,,France,-0.73
39,40,,Denham Brown,,SG/SF,23.1,"6'5""",218,"6'9 ½""",7.3,6.5,3.5,8.7,,EuroChallenge,-
40,41,,James Augustine,,PF,22,"6'10""",227,"7'0 ¼""",9.0,6.7,1.1,24.0,,EuroLeague,0.01
41,42,,Daniel Gibson,,SG,20,"6'2""",190,-,5.4,1.3,1.8,7.7,,NBA,-0.03
42,43,,Marcus Vinicius Vieira De Souza,,SF,21.7,"6'9""",230,-,18.1,3.4,3.2,24.1,,Brazil,-0.09
43,44,,Lior Eliyahu,,PF,20.5,"6'9""",210,-,8.9,5.1,3.4,17.0,,Israel,-
44,45,,Alexander Johnson,,PF,23,"6'9""",225,-,14.4,8.2,1.2,18.9,,China,0.13
45,46,,Dee Brown,,PG,21.5,"6'0""",179,"6'2""",12.4,3.3,8.0,14.4,,EuroCup,-0.35
46,47,,Paul Millsap,,PF,21,"6'7""",258,"7'1 ½""",15.3,6.2,3.0,17.2,,NBA,9.10
47,48,,Vladimir Veremeenko,,SF/PF,21.6,"6'11""",235,-,11.0,5.4,1.3,25.8,,VTB United,-
48,49,,Leon Powe,,PF,22.1,"6'8""",245,-,5.5,1.6,0.3,17.8,,NBA,1.66
49,50,,Ryan Hollins,,C,21.4,"6'11""",225,"7'2""",7.4,4.7,0.7,20.0,,Italy,0.05
50,51,,Cheick Samb,,C,21.3,"7'1""",195,-,15.0,8.5,1.0,27.4,,Asia Champions,-0.05
51,52,,Guillermo Diaz,,PG/SG,21,"6'2""",186,-,9.5,1.6,1.6,13.0,,Argentina,-0.01
52,53,,Yotam Halperin,,PG/SG,22.1,"6'5""",200,-,2.5,1.2,1.9,7.3,,EuroCup,-
53,54,,Hassan Adams,,SF,21.7,"6'4""",220,-,5.5,2.5,0.5,13.5,,Adriatic,0.13
54,55,,Ejike Ugboaja,,PF/C,20.8,"6'9""",225,-,11.3,5.4,0.6,15.7,,FIBA Africa Cup,-
55,56,,Edin Bavcic,,PF,21.7,"6'11""",245,-,16.6,6.2,1.4,25.4,,Alpe Adria Cup,-
56,57,,Loukas Mavrokefalidis,,C,21.6,"6'11""",260,-,11.1,3.5,1.6,19.2,,Lithuania,-
57,58,,J.R. Pinnock,,SG,22.2,"6'4""",204,"6'7 ½""",3.7,2.0,1.7,0.9,,Liga Americas,-
58,59,,Damir Markota,,PF,20.2,"6'11""",225,-,5.1,3.5,1.3,12.3,,Adriatic,-0.50
59,60,,Will Blalock,,PG,22.5,"6'0""",194,"6'6""",5.1,2.7,3.2,10.7,,G-League,-0.52
