,#,,Player,CO,Pos,Age,HT,WT,WS,Pts,Reb,Ast,PER,Team,League,NBA EWA
0,1,,Andrea Bargnani,,PF/C,20.3,"7'1""",249,-,11.5,2.5,0.7,15.3,,ACB,2.77
1,2,,LaMarcus Aldridge,,PF/C,20.6,"6'11""",234,"7'4 ¾""",22.8,8.3,2.1,23.9,,NBA,12.26
2,3,,Adam Morrison,,SF,21.6,"6'8""",198,"6'10""",11.8,2.0,1.1,15.2,,Turkey,-1.42
3,4,,Tyrus Thomas,,PF,19.5,"6'8""",217,"7'3""",3.6,3.4,1.1,6.3,,Germany,1.76
4,5,,Shelden Williams,,PF/C,22.3,"6'8""",258,"7'4 ¼""",19.7,13.3,1.7,25.8,,China,0.52
5,6,,Brandon Roy,,SG,21.6,"6'6""",207,"6'8""",5.8,2.8,4.6,8.3,,NBA,8.81
6,7,,Randy Foye,,SG,22.4,"6'3""",212,"6'6 ¼""",5.2,2.2,2.0,7.3,,NBA,0.89
7,8,,Rudy Gay,,SF,19.5,"6'8""",222,"7'3""",11.1,5.1,1.5,16.8,,NBA,5.68
8,9,,Patrick O'Bryant,,C,19.7,"7'0""",249,"7'5 ¾""",9.1,6.6,1.5,12.7,,Puerto Rico,0.01
9,10,,Saer Sene,,C,19.8,"7'0""",237,"7'8 ½""",2.0,3.0,1.0,-10.2,,G-League,0.09
10,11,,J.J. Redick,,SG,21.7,"6'5""",190,"6'3 ¼""",16.6,2.7,3.3,15.2,,NBA,2.92
11,12,,Hilton Armstrong,,PF/C,21.3,"6'10""",240,"7'4""",5.3,5.0,1.0,9.8,,Turkey,-0.18
12,13,,Thabo Sefolosha,,SG/SF,21.8,"6'7""",205,-,8.2,4.2,0.9,15.4,,NBA,0.45
13,14,,Ronnie Brewer,,SG/SF,20.9,"6'7""",223,"6'11 ¼""",7.3,4.6,2.0,11.3,,G-League,1.87
14,15,,Cedric Simmons,,PF/C,20.1,"6'9""",223,"7'4 ¼""",11.4,5.5,1.2,32.5,,Estonia,-0.24
15,16,,Rodney Carney,,SF,21.9,"6'6""",204,"6'10""",7.5,1.8,0.3,3.3,,Puerto Rico,0.42
16,17,,Shawne Williams,,SF/PF,20,"6'9""",227,"7'3""",9.0,4.0,0.8,11.8,,G-League,-0.12
17,18,,Oleksiy Pecherov,,PF,20.2,"6'11""",220,-,22.0,3.5,0.5,54.2,,Estonia,0.19
18,19,,Quincy Douby,,PG/SG,21.8,"6'3""",175,-,20.4,2.1,3.9,40.6,,Asia Champions,-0.23
19,20,,Renaldo Balkman,,SF/PF,21.6,"6'6""",206,"7'1""",0.0,0.0,0.0,0.0,,Puerto Rico,0.78
20,21,,Rajon Rondo,,PG,20,"6'1""",175,-,7.5,3.7,7.5,14.3,,NBA,5.15
21,22,,Marcus Williams (UConn),,PG,20.2,"6'3""",215,"6'7""",9.1,2.7,6.4,11.8,,G-League,0.01
22,23,,Josh Boone,,C,21.3,"6'10""",237,-,13.0,9.3,0.8,24.5,,Australia,1.90
23,24,,Kyle Lowry,,PG,19.9,"6'1""",175,-,16.6,5.7,6.4,19.8,,NBA,7.30
24,25,,Shannon Brown,,SG,20.2,"6'3""",200,-,4.7,2.2,0.8,6.5,,G-League,0.47
25,26,,Jordan Farmar,,PG,19.2,"6'2""",171,"6'3""",6.0,1.5,4.5,14.2,,NBA,1.17
26,27,,Sergio Rodriguez,,PG,19.7,"6'3""",170,-,14.4,2.0,4.8,19.9,,EuroLeague,0.71
27,28,,Maurice Ager,,SG/SF,22,"6'4""",203,"6'7 ¾""",3.8,0.5,0.3,10.1,,NBA,-0.41
28,29,,Mardy Collins,,PG,21.6,"6'5""",224,"6'10""",14.1,4.3,3.6,21.6,,VTB United,-0.80
29,30,,Joel Freeland,,PF,19.1,"6'11""",225,-,5.3,3.2,0.4,16.4,,VTB United,0.07
30,31,,James White,,SG/SF,23.3,"6'7""",190,-,10.4,4.2,1.1,17.0,,Italy,-0.09
