,#,,Player,CO,Pos,Age,HT,WT,WS,Pts,Reb,Ast,PER,Team,League,NBA EWA
0,1,,Kyrie Irving,,PG,18.9,"6'3""",191,"6'3 ½""",24.7,3.7,5.1,25.5,,NBA,13.56
1,2,,Derrick Williams,,PF,19.8,"6'9""",248,"7'0""",20.0,6.6,1.4,21.5,,China,1.44
2,3,,Enes Kanter,,C,18.8,"6'11""",259,"7'0 ½""",14.2,10.7,1.5,22.9,,NBA,6.49
3,4,,Tristan Thompson,,PF,20,"6'9""",227,"7'1 ¼""",6.2,6.2,0.6,13.0,,NBA,5.20
4,5,,Jonas Valanciunas,,C,18.8,"6'11""",240,-,11.8,8.4,1.0,20.5,,NBA,7.94
5,6,,Jan Vesely,,PF,20.8,"6'11""",240,"6'11""",13.5,5.2,1.7,22.7,,EuroLeague,0.04
6,7,,Bismack Biyombo,,PF/C,18.5,"6'9""",245,"7'6""",5.8,5.8,0.7,12.8,,NBA,1.43
7,8,,Brandon Knight,,PG,19.2,"6'3""",177,"6'6""",0.0,0.0,0.0,0.0,,NBA,2.51
8,9,,Kemba Walker,,PG,20.8,"6'1""",184,"6'2""",22.9,3.3,5.8,21.9,,NBA,10.00
9,10,,Jimmer Fredette,,PG,22,"6'2""",196,"6'5""",37.8,6.7,5.2,28.0,,China,0.40
10,11,,Klay Thompson,,SG/SF,21.1,"6'7""",206,"6'8""",20.0,3.9,2.6,16.8,,NBA,7.80
11,12,,Alec Burks,,SG,19.6,"6'6""",193,"6'10 ½""",8.4,3.2,1.1,14.1,,NBA,1.59
12,13,,Markieff Morris,,PF,21.5,"6'9""",241,"6'10 ¾""",10.8,5.7,1.7,12.5,,NBA,2.77
13,14,,Marcus Morris,,PF,21.5,"6'9""",230,"6'7""",12.1,5.4,1.3,13.9,,NBA,1.56
14,15,,Kawhi Leonard,,SF,19.7,"6'7""",227,"7'3""",16.2,4.7,2.3,26.1,,NBA,11.10
15,16,,Nikola Vucevic,,PF/C,20.3,"7'0""",260,"7'4 ½""",17.3,9.2,3.2,21.1,,NBA,7.82
16,17,,Iman Shumpert,,PG/SG,20.7,"6'5""",222,"6'7 ½""",0.0,0.0,0.0,0.0,,NBA,-0.50
17,18,,Chris Singleton,,SF,21.3,"6'9""",239,"7'1""",10.0,5.7,1.1,13.3,,EuroLeague,-1.14
18,19,,Tobias Harris,,SF/PF,18.6,"6'8""",223,"6'11""",19.4,7.4,3.1,19.0,,NBA,3.64
19,20,,Donatas Motiejunas,,PF/C,20.4,"7'0""",215,"6'11""",23.8,12.1,2.7,25.5,,China,0.77
20,21,,Nolan Smith,,PG/SG,22.6,"6'3""",188,"6'6""",11.0,3.1,3.3,12.0,,G-League,-0.68
21,22,,Kenneth Faried,,PF,21.3,"6'7""",225,"7'0""",5.7,4.7,0.5,15.5,,NBA,6.73
22,23,,Nikola Mirotic,,PF,20,"6'10""",210,-,14.1,8.8,1.4,13.6,,NBA,3.46
23,24,,Reggie Jackson,,PG,20.9,"6'3""",208,-,14.6,2.8,5.5,17.0,,NBA,3.69
24,25,,Marshon Brooks,,SG,22.1,"6'5""",195,"6'11 ½""",37.3,7.1,5.9,33.1,,China,0.74
25,26,,Jordan Hamilton,,SF,20.4,"6'8""",228,"6'9 ½""",13.8,7.4,2.5,17.3,,Turkey,0.45
26,27,,JaJuan Johnson (Purdue),,PF/C,22.1,"6'10""",220,"7'2""",15.3,5.1,1.1,18.9,,Turkey,0.08
27,28,,Norris Cole,,PG,22.4,"6'2""",174,"6'5 ½""",12.9,2.4,3.9,15.9,,EuroLeague,-1.05
28,29,,Cory Joseph,,PG/SG,19.4,"6'3""",186,"6'4 ½""",7.8,3.1,3.2,11.3,,NBA,1.48
29,30,,Jimmy Butler,,SF,21.5,"6'8""",222,"6'7 ½""",22.2,5.4,5.0,23.8,,NBA,10.39
30,31,,Bojan Bogdanovic,,SG/SF,21.9,"6'7""",216,-,13.7,3.3,1.4,13.6,,NBA,1.21
31,32,,Justin Harper,,PF,21.5,"6'9""",228,"6'11 ¾""",7.4,2.9,1.2,11.7,,France,-0.17
32,33,,Kyle Singler,,SF/PF,22.8,"6'8""",228,"6'10""",1.9,0.8,0.2,6.8,,NBA,-0.76
33,34,,Shelvin Mack,,PG,20.8,"6'2""",209,"6'7""",5.6,2.3,3.8,13.7,,NBA,0.63
34,35,,Tyler Honeycutt,,PF,20.6,"6'8""",210,"6'9""",9.8,5.6,1.9,21.4,,EuroLeague,-0.08
35,36,,Jordan Williams,,C,20.4,"6'9""",247,"7'0 ¼""",0.0,0.0,0.0,0.0,,Poland,1.17
36,37,,Trey Thompkins,,PF,20.7,"6'10""",239,"7'0""",10.4,5.5,1.1,17.6,,EuroLeague,0.07
37,38,,Chandler Parsons,,SF,22.3,"6'10""",221,"6'9 ½""",8.6,2.8,2.0,14.5,,NBA,3.71
38,39,,Jeremy Tyler,,C,19.7,"6'10""",262,"7'5""",13.3,5.8,1.3,23.0,,Australia,0.04
39,40,,Jon Leuer,,PF,21.8,"6'11""",223,"7'0""",5.4,4.0,0.6,8.5,,NBA,1.30
40,41,,Darius Morris,,PG,20.2,"6'5""",190,"6'7 ½""",16.5,5.1,4.6,19.4,,China,-0.38
41,42,,Davis Bertans,,SF,18.3,"6'10""",210,-,27.0,5.0,1.0,32.0,,G-League,1.04
42,43,,Malcolm Lee,,SG,20.8,"6'5""",198,"6'9 ¾""",12.8,3.8,4.8,13.8,,Germany,-0.12
43,44,,Charles Jenkins,,PG/SG,22,"6'3""",216,"6'7 ½""",4.8,1.4,1.7,8.7,,EuroLeague,-0.02
44,45,,Josh Harrellson,,C,22,"6'9""",279,"6'11 ¼""",11.3,7.8,0.5,17.8,,VTB United,0.39
45,46,,Andrew Goudelock,,PG,22.2,"6'3""",198,"6'4 ¼""",13.2,2.1,1.8,15.5,,EuroLeague,-0.19
46,47,,Travis Leslie,,SF,20.9,"6'4""",205,"6'9 ½""",12.2,5.5,1.7,17.1,,France,0.08
47,48,,Keith Benson,,PF/C,22.5,"6'11""",217,"7'4""",10.3,5.9,0.1,23.3,,Greece,-0.02
48,49,,Josh Selby,,SG,19.9,"6'3""",195,"6'4""",17.5,2.9,4.4,18.3,,Israel,-0.60
49,50,,Lavoy Allen,,PF,22.1,"6'9""",225,-,10.6,8.0,1.2,20.2,,G-League,0.79
50,51,,Jon Diebler,,SG,22.7,"6'6""",197,"6'6""",12.1,3.9,2.2,16.2,,Turkey,-
51,52,,Vernon Macklin,,C,24.4,"6'10""",243,"7'4""",5.0,5.5,0.5,7.8,,Puerto Rico,0.50
52,53,,DeAndre Liggins,,SG/SF,22.9,"6'6""",213,"6'11 ½""",2.6,1.0,0.9,13.5,,NBA,-0.41
53,54,,Milan Macvan,,PF/C,21.3,"6'9""",265,-,11.4,4.8,1.9,19.2,,EuroCup,-
54,55,,E'Twaun Moore,,SG,22,"6'4""",191,"6'7""",12.3,2.8,2.2,11.9,,NBA,0.32
55,56,,Chu Chu Maduabum,,PF,19.9,"6'9""",210,-,2.1,3.4,0.1,8.2,,Finland,-
56,57,,Tanguy Ngombo,,SF/PF,21.6,"6'6""",230,-,-,-,-,-,,-,-
57,58,,Ater Majok,,PF/C,23.6,"6'10""",225,-,9.8,7.0,0.8,19.5,,Poland,-
58,59,,Adam Hanga,,SG/SF,21.9,"6'7""",198,"6'8""",8.8,4.1,2.1,13.2,,EuroLeague,-
59,60,,Isaiah Thomas,,PG,22.1,"5'10""",186,"6'1 ½""",13.2,1.5,4.3,14.8,,NBA,7.87
