,#,,Player,CO,Pos,Age,HT,WT,WS,Pts,Reb,Ast,PER,Team,League,NBA EWA
0,1,,Andrew Bogut,,C,20.3,"7'0""",251,"7'3""",1.6,3.4,0.7,9.6,,NBA,4.10
1,2,,Marvin Williams,,PF,18.7,"6'8""",228,"7'3 ½""",9.6,4.7,1.1,13.6,,NBA,2.87
2,3,,Deron Williams,,PG,20.7,"6'3""",202,"6'6 ¼""",13.1,2.6,6.8,15.0,,NBA,7.59
3,4,,Chris Paul,,PG,19.8,"6'1""",178,"6'4 ¼""",19.1,5.8,8.2,25.6,,NBA,18.31
4,5,,Raymond Felton,,PG,20.7,"6'0""",199,"6'4 ¼""",7.1,2.0,2.7,14.3,,NBA,3.11
5,6,,Martell Webster,,SG/SF,18.2,"6'7""",230,"6'11""",3.3,1.4,0.5,6.2,,NBA,0.64
6,7,,Charlie Villanueva,,PF,20.5,"6'9""",237,"7'0 ¼""",5.0,2.4,0.4,11.5,,NBA,3.19
7,8,,Channing Frye,,C,21.8,"6'10""",244,"7'2 ½""",3.0,0.0,0.0,7.7,,NBA,1.91
8,9,,Ike Diogu,,PF,21.5,"6'8""",255,"7'3 ½""",28.9,12.4,1.9,25.1,,China,0.83
9,10,,Andrew Bynum,,C,17.3,"7'0""",280,-,11.5,9.5,1.0,20.2,,NBA,5.20
10,11,,Fran Vazquez,,C,21.8,"6'10""",229,-,5.5,3.5,0.8,17.2,,ACB,-
11,12,,Yaroslav Korolev,,SF,17.8,"6'9""",203,-,6.8,3.8,1.4,15.5,,Greece,-0.22
12,13,,Sean May,,PF,20.9,"6'8""",259,"7'1 ¼""",14.1,7.9,2.4,21.6,,France,0.96
13,14,,Rashad McCants,,SG,20.4,"6'4""",201,"6'10 ¾""",11.9,3.3,1.0,25.2,,Brazil,1.03
14,15,,Antoine Wright,,SG/SF,21.1,"6'6""",203,"6'8 ¾""",9.8,3.4,1.8,9.5,,Mexico CIBACOPA,-1.20
15,16,,Joey Graham,,SF,22.7,"6'6""",217,"6'8""",19.3,6.5,2.6,18.1,,G-League,0.10
16,17,,Danny Granger,,SF,21.9,"6'8""",225,"7'1 ½""",0.0,0.0,0.0,0.0,,NBA,4.31
17,18,,Gerald Green,,SG/SF,19.1,"6'7""",192,"6'9 ¾""",12.0,2.7,0.4,13.8,,NBA,1.06
18,19,,Hakim Warrick,,PF,22.6,"6'8""",215,"7'2""",9.7,4.7,1.7,11.6,,Liga Americas,2.46
19,20,,Julius Hodge,,PG/SG/SF,21.3,"6'7""",202,"7'0 ½""",6.3,3.3,4.2,13.7,,EuroChallenge,-0.00
