,#,,Player,CO,Pos,Age,HT,WT,WS,Pts,Reb,Ast,PER,Team,League,NBA EWA
20,21,,Nate Robinson,,PG/SG,20.7,"5'9""",181,"6'1""",7.3,0.7,1.0,15.1,,Liga Sudamericana,2.33
21,22,,Jarrett Jack,,PG,21.3,"6'3""",198,"6'7 ½""",7.6,3.1,5.8,11.6,,NBA,2.83
22,23,,Francisco Garcia,,SG,23.2,"6'7""",190,"6'10 ¾""",8.8,2.2,1.6,7.1,,Dominican Republic,0.81
23,24,,Luther Head,,SG,22.3,"6'3""",179,"6'5 ¼""",0.0,0.0,0.0,0.0,,ACB,0.82
24,25,,Johan Petro,,C,19.1,"7'0""",260,-,1.0,0.5,0.5,3.3,,G-League,-0.16
25,26,,Jason Maxiell,,PF,22,"6'6""",258,"7'3 ¼""",14.1,7.8,0.7,20.3,,Turkey 2,1.23
26,27,,Linas Kleiza,,SF/PF,20.1,"6'8""",233,-,7.3,3.1,0.3,12.1,,EuroLeague,0.90
27,28,,Ian Mahinmi,,C,18.3,"6'10""",220,-,4.6,3.8,0.7,11.1,,NBA,0.88
28,29,,Wayne Simien,,PF,22,"6'9""",256,"7'0""",16.8,8.2,0.7,26.7,,LEB Gold,-0.04
29,30,,David Lee,,PF,21.8,"6'9""",230,"7'0""",6.8,5.3,1.4,17.5,,NBA,7.78
30,31,,Salim Stoudamire,,SG,22.4,"6'1""",185,-,13.2,1.8,3.7,14.8,,G-League,0.44
31,32,,Daniel Ewing,,PG/SG,21.9,"6'3""",185,-,3.6,1.2,1.4,4.0,,Argentina,-1.05
32,33,,Brandon Bass,,PF,19.8,"6'7""",246,"7'2 ½""",22.1,9.9,1.8,25.9,,China,3.01
33,34,,C.J. Miles,,SG/SF,17.9,"6'6""",195,-,10.1,1.9,0.7,15.3,,NBA,1.53
34,35,,Ricky Sanchez,,SF/PF,17.6,"6'11""",205,-,8.7,4.0,1.1,13.3,,Argentina,-
35,36,,Ersan Ilyasova,,PF,17.8,"6'9""",209,"7'1 ¼""",10.9,5.5,1.1,14.8,,NBA,2.99
36,37,,Ronny Turiaf,,PF/C,22.1,"6'9""",238,"7'1 ½""",0.0,0.0,0.0,0.0,,NBA,0.97
37,38,,Travis Diener,,PG,23,"6'1""",174,"5'11 ¾""",4.4,2.6,3.5,11.5,,Italy,0.36
38,39,,Von Wafer,,SG,19.6,"6'5""",210,-,30.9,5.7,4.3,29.0,,China,0.15
39,40,,Monta Ellis,,PG/SG,19.3,"6'3""",177,"6'2 ¾""",8.4,2.7,3.1,9.8,,NBA,5.83
40,41,,Roko-Leni Ukic,,PG,20.8,"6'5""",183,-,9.4,2.6,3.9,14.9,,Adriatic,-0.19
41,42,,Chris Taft,,PF/C,20,"6'9""",261,"7'1 ¾""",4.0,2.5,0.4,11.6,,G-League,0.33
42,43,,Mile Ilic,,C,20.7,"7'1""",235,-,9.1,4.0,1.2,21.0,,Lithuania,-0.18
43,44,,Martynas Andriuskevicius,,C,19,"7'3""",228,"6'11 ¼""",7.6,5.7,0.6,18.7,,LEB Gold,0.02
44,45,,Louis Williams,,PG/SG,18.3,"6'2""",175,-,23.4,2.6,5.4,22.6,,NBA,5.43
45,46,,Erazem Lorbek,,PF,21,"6'11""",242,-,12.0,6.0,0.0,38.5,,Slovenia,-
46,47,,Bracey Wright,,SG,20.7,"6'2""",187,"6'10""",16.4,3.1,3.5,15.5,,Turkey,0.18
47,48,,Mickael Gelabale,,SF,21.8,"6'7""",200,-,9.0,5.2,2.0,18.5,,France,-0.12
48,49,,Andray Blatche,,PF,18.5,"6'11""",248,-,11.3,5.0,1.3,26.6,,China,4.10
49,50,,Ryan Gomes,,SF/PF,22.5,"6'8""",248,"7'2""",18.7,8.2,2.9,20.8,,G-League,1.43
50,51,,Robert Whaley,,PF,22.9,"6'9""",269,"7'2""",4.2,2.9,0.7,8.1,,G-League,-0.33
51,52,,Axel Hervelle,,PF,21.8,"6'9""",234,-,7.4,3.2,1.2,13.1,,EuroCup,-
52,53,,Orien Greene,,PG,23.1,"6'5""",210,-,10.2,4.3,5.2,10.8,,Mexico CIBACOPA,-0.91
53,54,,Dijon Thompson,,SF,22.1,"6'8""",196,"6'9 ½""",9.8,7.5,1.5,16.7,,Argentina,0.13
54,55,,Lawrence Roberts,,PF/C,22.4,"6'9""",233,"6'9 ½""",4.7,4.9,0.9,11.1,,France,0.76
55,56,,Amir Johnson,,PF,17.8,"6'10""",204,-,4.5,4.4,1.4,13.4,,NBA,3.44
56,57,,Marcin Gortat,,C,21,"7'0""",225,"7'3 ½""",8.7,7.9,1.9,14.3,,NBA,5.40
57,58,,Uros Slokar,,PF/C,21.8,"6'11""",238,-,2.8,2.8,0.0,10.6,,Italy,0.11
58,59,,Cenk Akyol,,SG,17.9,"6'6""",200,-,6.3,3.0,1.7,10.1,,Turkey 2,-
59,60,,Alex Acker,,PG/SG/SF,22.1,"6'5""",183,"7'0""",5.9,2.7,1.5,11.3,,Italy,-0.09
