,#,,Player,CO,Pos,Age,HT,WT,WS,Pts,Reb,Ast,PER,Team,League,NBA EWA
0,1,,Andrew Wiggins,,SF,19,"6'8""",197,"7'0""",17.7,4.1,1.8,13.7,,NBA,5.97
1,2,,Jabari Parker,,SF/PF,19,"6'8""",241,"6'11 ½""",10.3,3.9,0.8,18.2,,NBA,3.44
2,3,,Joel Embiid,,C,19.9,"7'0""",240,"7'5""",23.9,11.2,3.1,23.8,,NBA,7.33
3,4,,Aaron Gordon,,PF,18.4,"6'9""",220,"6'11 ¾""",18.2,8.2,2.3,17.1,,NBA,3.58
4,5,,Dante Exum,,PG/SG,18.6,"6'6""",196,"6'9 ½""",0.0,0.0,0.0,0.0,,NBA,-2.03
5,6,,Marcus Smart,,PG,20,"6'3""",227,"6'9 ¼""",10.1,3.5,4.7,10.7,,NBA,0.58
6,7,,Julius Randle,,PF,19.2,"6'9""",250,"7'0""",14.8,7.6,2.5,19.3,,NBA,3.83
7,8,,Nik Stauskas,,SG,20.4,"6'6""",207,"6'7 ¾""",0.7,0.2,0.2,1.0,,NBA,-1.16
8,9,,Noah Vonleh,,PF,18.5,"6'9""",247,"7'4 ¼""",3.6,5.1,0.4,11.4,,NBA,-0.18
9,10,,Elfrid Payton,,PG,20,"6'4""",185,"6'8""",16.7,7.0,8.0,18.5,,NBA,3.89
10,11,,Doug McDermott,,SF/PF,22.2,"6'8""",218,"6'9 ¼""",9.8,2.0,1.8,15.9,,NBA,-0.10
11,12,,Dario Saric,,PF,19.9,"6'10""",223,"6'10""",14.5,6.9,2.7,15.6,,NBA,3.07
12,13,,Zach LaVine,,SG,19,"6'6""",181,"6'6 ¾""",17.5,4.5,2.9,18.2,,NBA,2.24
13,14,,T.J. Warren,,SF/PF,20.5,"6'8""",220,"6'10 ¼""",19.5,5.1,1.4,18.3,,NBA,3.86
14,15,,Adreian Payne,,PF,23,"6'10""",239,"7'4""",13.3,8.1,1.5,18.3,,G-League,-0.41
15,16,,Jusuf Nurkic,,C,19.5,"6'11""",280,"7'2""",14.1,8.3,1.8,17.5,,NBA,2.58
16,17,,James Young,,SG/SF,18.5,"6'7""",213,"7'0""",22.3,5.6,3.0,20.8,,G-League,-0.36
17,18,,Tyler Ennis,,PG,19.5,"6'2""",182,"6'7 ¼""",3.1,1.4,1.6,8.7,,NBA,-0.19
18,19,,Gary Harris,,SG,19.5,"6'4""",205,"6'6 ¾""",17.4,2.7,3.1,16.7,,NBA,2.71
19,20,,Bruno Caboclo,,SF,18.4,"6'9""",200,-,14.4,6.5,1.3,15.3,,G-League,-0.12
20,21,,Mitch McGary,,C,21.7,"6'10""",263,"6'11 ½""",1.3,0.9,0.2,7.5,,NBA,0.57
21,22,,Jordan Adams,,SG,19.6,"6'5""",209,"6'10""",3.5,1.0,1.5,17.7,,NBA,0.22
22,23,,Rodney Hood,,SF,21.4,"6'8""",208,"6'8 ½""",16.8,2.8,1.7,16.0,,NBA,1.63
23,24,,Shabazz Napier,,PG,22.6,"6'1""",175,"6'3 ¼""",9.1,2.3,2.2,15.1,,NBA,0.48
24,25,,Clint Capela,,PF/C,19.8,"6'11""",222,"7'4 ½""",14.5,11.0,1.0,24.1,,NBA,6.44
25,26,,P.J. Hairston,,SG,21.2,"6'5""",229,"6'9""",11.8,2.3,1.6,9.6,,G-League,-1.12
26,27,,Bogdan Bogdanovic,,SG,21.5,"6'6""",200,"6'11""",11.5,2.7,3.2,14.0,,NBA,2.45
27,28,,C.J. Wilcox,,SG,23.2,"6'5""",201,"6'9 ¾""",11.5,1.5,0.0,21.6,,G-League,-0.10
28,29,,Josh Huestis,,SF,22.2,"6'7""",213,"7'1""",2.3,2.4,0.3,5.1,,NBA,-0.74
29,30,,Kyle Anderson,,SF,20.4,"6'8""",230,"7'2 ¾""",8.2,5.7,2.8,14.9,,NBA,1.38
30,31,,Damien Inglis,,SF,18.8,"6'8""",240,"7'3""",4.6,2.0,1.0,11.3,,France,-0.16
31,32,,K.J. McDaniels,,SF,21.1,"6'6""",196,"6'11 ¼""",15.6,6.1,1.1,20.6,,G-League,-0.05
32,33,,Joe Harris,,SF,22.5,"6'6""",215,"6'6""",10.6,3.4,1.5,13.1,,NBA,-0.14
33,34,,Cleanthony Early,,SF/PF,22.9,"6'7""",209,"6'10 ¾""",13.9,6.5,2.6,15.9,,G-League,-0.76
34,35,,Jarnell Stokes,,PF,20.1,"6'8""",263,"7'1 ¼""",24.7,13.5,2.8,29.7,,China,0.17
35,36,,Johnny O'Bryant,,C,20.7,"6'8""",257,"7'2 ¼""",4.8,2.6,0.4,12.0,,NBA,-0.48
36,37,,DeAndre Daniels,,SF,21.9,"6'8""",196,"7'2""",9.3,5.8,0.9,11.4,,G-League,-
37,38,,Spencer Dinwiddie,,SG,20.9,"6'6""",205,"6'8 ¼""",13.4,3.4,6.8,17.3,,NBA,1.64
38,39,,Jerami Grant,,SF,20,"6'8""",214,"7'2 ¾""",7.8,4.0,0.8,13.9,,NBA,0.39
39,40,,Glenn Robinson,,SF,20.1,"6'7""",211,"6'10""",11.0,3.5,2.5,6.7,,G-League,0.12
40,41,,Nikola Jokic,,C,19,"6'11""",253,"7'3""",17.2,10.6,6.0,23.4,,NBA,11.73
41,42,,Nick Johnson,,SG,21.2,"6'3""",198,"6'7 ¼""",11.9,3.9,3.7,11.1,,G-League,-1.05
42,43,,Walter Tavares,,C,21.9,"7'3""",265,-,13.0,10.0,0.0,17.9,,G-League,0.10
43,44,,Markel Brown,,SG,22.1,"6'3""",184,"6'8 ¾""",17.4,4.4,2.5,18.0,,G-League,-0.20
44,45,,Dwight Powell,,PF,22.6,"6'11""",234,"7'0 ½""",7.9,5.3,1.0,17.4,,NBA,2.38
45,46,,Jordan Clarkson,,PG/SG,21.7,"6'5""",186,"6'8""",14.5,3.0,3.3,17.6,,NBA,3.15
46,47,,Russ Smith,,PG,22.9,"6'1""",160,"6'3 ½""",33.5,6.3,6.8,31.8,,China,-0.05
47,48,,Lamar Patterson,,SG,22.5,"6'5""",226,"6'11""",13.4,4.6,3.2,18.3,,Italy,-0.74
48,49,,Cameron Bairstow,,PF/C,23.2,"6'10""",252,"7'0 ¾""",12.8,6.5,1.0,22.6,,Australia,-0.24
49,50,,Alec Brown,,C,21.6,"7'1""",231,"7'1 ½""",11.6,4.4,0.9,20.6,,ACB,-
50,51,,Thanasis Antetokounmpo,,SF,21.6,"6'6""",205,"7'0""",3.7,2.2,0.4,13.3,,EuroLeague,0.06
51,52,,Vasilije Micic,,PG,20.1,"6'6""",202,"6'7""",7.2,2.1,4.4,11.2,,EuroLeague,-
52,53,,Alessandro Gentile,,SG/SF,21.3,"6'6""",200,-,16.8,6.8,3.4,18.6,,Italy,-
53,54,,Nemanja Dangubic,,SG,20.9,"6'8""",193,"6'8""",7.4,3.4,1.2,14.1,,EuroLeague,-
54,55,,Semaj Christon,,PG,21.3,"6'3""",186,"6'6 ½""",26.8,4.3,5.8,21.0,,China,-2.43
55,56,,Devyn Marble,,SG,21.4,"6'6""",192,"6'9""",10.4,3.2,2.1,15.6,,Italy,-0.61
56,57,,Louis Labeyrie,,PF/C,22,"6'10""",200,"6'10 ¾""",15.2,8.4,1.7,24.5,,France,-
57,58,,Jordan McRae,,SG,22.9,"6'5""",179,"7'0 ½""",5.0,1.0,0.7,8.0,,EuroLeague,0.10
58,59,,Xavier Thames,,SG,23.1,"6'3""",187,"6'4""",6.6,1.2,0.9,10.5,,Israel,-
59,60,,Cory Jefferson,,PF,23.2,"6'9""",218,"7'0 ½""",6.0,3.0,0.5,15.7,,G-League,0.33
