"","PLAYER","TEAM","YEAR","HT","POS","AGE","Pos","Numb","G","X2PA","X3PA","FTA","Poss","Ast.Pos","Tov.Pos","Stl.G","Blk.G","TS","FTA.G","Three.G","Two.G","Three.Per","Two.Per","FTA.FGA","Three.FGA","OR.G","DR.G","PF.G","adjTempo","adjOE","adjDE"
"11","Anfernee Simons","IMG Academy","HS Senior","4-Jun","SG",18.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Austin Wiley","Auburn","Freshman","11-Jun","C",19.2,"C",1,23,125,0,114,9.39826086956522,0.0231310140636566,0.189674315321984,0.217391304347826,1.34782608695652,1.15323133135419,4.95652173913043,0,5.43478260869565,0,0.584,0.912,0,2.26086956521739,2.43478260869565,2.56521739130435,73.5806,111.87,103.348
"13","Barry Brown","Kansas State","Junior","5-Jun","SG",21.3,"G",3,105,259,133.333333333333,141.5,14.7841463281463,0.178268161153736,0.141958937824181,1.88837798837799,0.120814320814321,1.03880860188839,3.91895401895402,3.74626574626575,7.1962793962794,0.323703033653282,0.465942811782389,0.349845365105352,0.350630500756846,0.575363675363675,2.52351702351702,2.07049647049647,65.9975,109.083,97.9812666666667
"14","Billy Preston","Igokea","Freshman","10-Jun","PF",20.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Bonzie Colson","Notre Dame","Senior","5-Jun","PF",22.2,"F",4,125,282.7,44.3,128.5,14.7785158730159,0.0755638346136731,0.0842712285640387,1.23159722222222,1.58065476190476,1.19054160589682,4.45570436507936,1.69330357142857,9.9047619047619,0.328193760262726,0.553074316599457,0.402909067688957,0.129265005822841,2.34866071428571,6.30818452380952,1.96974206349206,65.53468,116.4686,101.48985
"16","Brandon McCoy","Nevada-Las Vegas","Freshman","11-Jun","C",19.8,"F",1,33,373,9,193,16.7854545454545,0.0306903523974581,0.157062391681109,0.454545454545455,1.81818181818182,1.19720723036066,5.84848484848485,0.272727272727273,11.3030303030303,0.333333333333333,0.549597855227882,0.505235602094241,0.0235602094240838,3.12121212121212,7.21212121212121,2.63636363636364,72.3317,111.041,104.342
"17","Brandon Sampson","LSU","Junior","4-Jun","SG",20.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Brian Bowen","South Carolina","Freshman","7-Jun","SF",19.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Bruce Brown","Miami (FL)","Sophomore","3-Jun","SG",21.6,"G",2,52,151,71.6666666666667,87,13.3500053163211,0.279242547538572,0.163673905954245,1.37214247740564,0.708133971291866,1.03565044190086,3.67836257309941,3.0648591174907,6.48112706007443,0.293567251461988,0.49381345177665,0.386354804235888,0.321213446031283,1.36204146730463,5.25358851674641,2.3471557682084,65.6989666666667,108.388333333333,97.7894666666667
"20","Bruno Fernando","Maryland","Freshman","11-Jun","C",19.6,"F",1,30,201,3,96,9.97466666666667,0.0701777837187542,0.177115358909237,0.366666666666667,1.23333333333333,1.2508122157245,3.2,0.1,6.7,0.333333333333333,0.582089552238806,0.470588235294118,0.0147058823529412,1.5,5.03333333333333,2.9,66.3065,109.185,100.829
"21","Bryant Crawford","Wake Forest","Junior","3-Jun","PG",21,"G",3,94,227.166666666667,158.333333333333,156.666666666667,17.4159784946237,0.290246942217918,0.170782992156973,1.55803193222548,0.210443141088302,1.11662756819326,4.96300097751711,5.03471814923428,7.21194200065168,0.352600912896237,0.463766988276792,0.405450507476192,0.411633581742168,0.387992831541219,2.85803193222548,2.63849788204627,70.2039166666667,110.774166666667,105.135
"22","Bryce Brown","Auburn","Junior","3-Jun","SG",20.7,"G",3,91,97.3333333333333,221.833333333333,67.6666666666667,12.2181443001443,0.115711278004498,0.0963346929933325,0.879292929292929,0.177489177489177,1.08190549544569,2.12243867243867,7.08131313131313,3.06969696969697,0.386016136312345,0.341173348772133,0.196739725416668,0.707800646726331,0.514069264069264,1.43109668109668,1.82222222222222,72.7808833333333,109.9695,101.74995
"23","C.J. Burks","Marshall","Junior","9-Jun","G",NA,"G",3,93,219.333333333333,159.833333333333,80,15.1951953823954,0.180424541713306,0.163678610725617,0.929235209235209,0.160577200577201,1.15223684943039,2.50528138528139,4.87506493506493,6.76808080808081,0.364025525077301,0.541174771186389,0.224794080692447,0.414373439123893,0.511284271284271,2.74585858585859,1.98643578643579,76.1267666666667,109.778666666667,106.548833333333
"24","Caleb Martin","Nevada","Junior","7-Jun","SF",22.5,"F",1,36,242,248,179,17.4933333333333,0.146087398373984,0.0968622967479675,1.25,0.583333333333333,1.19206695266896,4.97222222222222,6.88888888888889,6.72222222222222,0.403225806451613,0.504132231404959,0.36530612244898,0.506122448979592,0.944444444444444,4.44444444444444,2.63888888888889,69.4478,115.961,102.399
"25","Carsen Edwards","Purdue","Sophomore","Jun-00","PG",20,"G",2,72,237.666666666667,207.333333333333,130.666666666667,15.5327979407979,0.157253751230181,0.116734892206302,1.0996138996139,0.172715572715573,1.12887279956894,3.56962676962677,5.67773487773488,6.52175032175032,0.383997752983109,0.475035606106196,0.28563184079602,0.461950248756219,0.367567567567568,3.05765765765766,1.81879021879022,67.7966666666667,117.519333333333,96.0035333333333
"26","Chandler Hutchison","Boise State","Senior","7-Jun","SG/SF",21.9,"G",4,123,263.2,75.9,161.5,15.5040233592881,0.166536827395819,0.150059803346985,1.14293312013348,0.244236651835373,1.10866421278006,5.1646829810901,2.43063473303671,8.40101849276974,0.331518752986144,0.50583827428985,0.471904106426319,0.200281071964967,1.10953142380423,5.32109288097887,2.33464613459399,68.51796,109.1228,99.4179
"27","Charles Matthews","Michigan","Sophomore","6-Jun","SG",21.4,"G",1,41,307,107,156,13.820487804878,0.172949315261895,0.148242270224481,0.731707317073171,0.634146341463415,1.10019890601691,3.80487804878049,2.60975609756098,7.48780487804878,0.317757009345794,0.55700325732899,0.376811594202899,0.258454106280193,1.29268292682927,4.21951219512195,2.14634146341463,64.8604,109.836,95.8537
"28","Chimezie Metu","Southern California","Junior","10-Jun","PF/C",21,"F",3,104,326,20.8333333333333,147.333333333333,13.7467755991285,0.0947789000781086,0.138137434195977,0.749455337690632,1.64161220043573,1.1579551626417,4.23856209150327,0.611655773420479,9.38997821350763,0.316666666666667,0.544222048743731,0.430285541822786,0.0536924710233653,1.8818082788671,5.0343137254902,2.52015250544662,68.5909166666667,112.849166666667,101.352533333333
"29","Chris Clemons","Campbell","Junior","9-May","PG",20.7,"G",3,97,275.333333333333,280,215,22.4810561529271,0.119008209217493,0.114484085862771,1.68847072879331,0.372401433691756,1.20034537977692,6.62198327359618,8.57903225806452,8.40704898446834,0.365995616424351,0.526469335595192,0.389532851003777,0.506626194068839,0.383512544802867,4.06977299880526,1.9910394265233,67.2479333333333,103.965666666667,108.563333333333
"30","Chris Silva","South Carolina","Junior","8-Jun","PF/C",21.5,"F",3,102,225.666666666667,6.33333333333333,219.5,11.7584142096642,0.0579415880142582,0.17982328903059,0.589296683046683,1.28711097461097,1.18136371243506,6.47340806715807,0.190827190827191,6.6024006961507,0.208333333333333,0.490205771240254,0.942967369351174,0.0234894386939325,2.68478705978706,4.07188011875512,3.53352784602785,68.9006833333333,104.320533333333,95.3068
"31","Christian Keeling","Charleston Southern","Sophomore","4-Jun","SG",19.9,"G",2,59,278.333333333333,119.666666666667,155.666666666667,18.2699846390169,0.0990755887130694,0.117986775969386,1.18202764976959,0.382488479262673,1.0892813214857,5.34408602150538,4.18970814132104,9.56374807987711,0.323945460931762,0.486519460296821,0.390929890848027,0.300967674223342,0.953917050691244,4.85330261136713,2.21274961597542,67.0593666666667,101.806333333333,108.339333333333
