"","player","season_end","salary","season_start","Salary.Cap","Per.Cap","fifth","Pos.x","Age","HT","WT","WS","Pos2","RSCI","percentile","Pos.y","School","Numb","G","X2PA","X3PA","FTA","Poss","Ast.Pos","Tov.Pos","Stl.G","Blk.G","TS","FTA.G","Three.G","Two.G","Three.Per","Two.Per","FTA.FGA","Three.FGA","OR.G","DR.G","PF.G","adjTempo","adjOE","adjDE"
"11","Andre Iguodala",2010,12200000,2009,57700000,0.211438474870017,2010,"SF",20.1,79,217,83,"Wing","Top50",0.75,"F","Arizona",2,62,198.333333333333,63.3333333333333,108,12.5085,0.306166958255544,0.187426063111533,1.55625,0.431944444444444,1.04338092856852,3.53888888888889,2.08055555555556,6.51597222222222,0.278227480282275,0.474951922566113,0.422548266315417,0.242179210420402,2.24583333333333,5.00138888888889,2.30208333333333,72.8612666666667,117.497333333333,97.7808333333333
"12","Andre Roberson",2018,9259259,2017,99093000,0.093440091631094,2018,"PF",21.2,79,206,83,"Big","NR",0.633333333333333,"F","Colorado",3,105,212.333333333333,51.5,117,11.409174998428,0.11053439077521,0.173907120819993,1.73025529774256,1.4658712192668,1.1179627733411,3.45101553166069,1.55195560586053,6.35038986354776,0.3476026272578,0.546146652773375,0.440476469942696,0.196057075239881,2.97656102622147,7.63580770923725,2.52020059108344,64.6629833333333,107.794166666667,95.2790333333333
"13","Andrew Bogut",2010,10000000,2009,57700000,0.173310225303293,2010,"C",20.3,84,251,87,"Big","NR",0.7,"F","Utah",2,68,378.666666666667,20.3333333333333,175.666666666667,16.5118961038961,0.142355412430817,0.167859964870287,0.789033189033189,1.68253968253968,1.27851960668758,5.08311688311688,0.587301587301587,10.9806637806638,0.361212121212121,0.618914107699154,0.433255198258271,0.0493919877411377,3.54689754689755,7.87936507936508,2.29379509379509,59.0060333333333,112.080666666667,93.8159
"14","Andrew Nicholson",2017,6088993,2016,94143000,0.0646781279542823,2017,"PF/C",22.2,81,234,88,"Big","NR",0.454545454545455,"F","St. Bonaventure",4,123,346.1,28.2,171.7,16.9781978494624,0.0485517443727941,0.148494107119799,0.523682795698925,1.85965053763441,1.25604046167389,5.51099462365591,0.888413978494624,11.1335483870968,0.251845775225595,0.587347781559334,0.453723861027137,0.0720820660890314,2.23405913978495,5.32586021505376,2.94532258064516,64.37221,107.33102,101.58618
"15","Anthony Bennett",2017,1015696,2016,94143000,0.0107888637498274,2017,"PF",20,79,239,85,"Big","Top25",0.0333333333333333,"F","Nevada-Las Vegas",1,35,283,96,177,14.9108571428571,0.0651490764160343,0.124549704913007,0.685714285714286,1.22857142857143,1.23445981439328,5.05714285714286,2.74285714285714,8.08571428571429,0.375,0.586572438162544,0.467018469656992,0.253298153034301,2.45714285714286,5.68571428571429,2.28571428571429,67.8526,106.021,89.9515
"18","Anthony Davis",2017,22116750,2016,94143000,0.234927185239476,2017,"PF",19,82,222,89,"Big","Top25",0.966666666666667,"F","Kentucky",1,40,317,20,203,11.683,0.106993066849268,0.0877343148163999,1.35,4.65,1.32998686432727,5.075,0.5,7.925,0.15,0.652996845425868,0.602373887240356,0.0593471810089021,2.975,7.4,1.95,65.3785,122.182,89.5938
"19","Antoine Wright",2010,2110550,2009,57700000,0.0365779896013865,2010,"SG/SF",21.1,78,203,80,"Wing","Top25",0.217391304347826,"F","Texas A&M",3,87,216.5,159.666666666667,122.833333333333,16.8927112135177,0.129647636368279,0.136154473489331,1.07469278033794,0.569124423963134,1.08809031062075,4.14669738863287,5.4276113671275,7.34158986175115,0.386062922031396,0.470233404746679,0.326991280674,0.425135306934174,1.46543778801843,4.00652841781874,2.53014592933948,66.4779833333333,108.737666666667,102.09835
"20","Archie Goodwin",2017,194494,2016,94143000,0.00206594223680996,2017,"SG",18.5,77,189,81,"Wing","Top25",0.05,"G","Kentucky",1,33,293,64,212,16.7054545454545,0.159628500943259,0.18320998403715,1.09090909090909,0.454545454545455,1.03491161055343,6.42424242424242,1.93939393939394,8.87878787878788,0.265625,0.477815699658703,0.593837535014006,0.179271708683473,1.45454545454545,3.15151515151515,2.93939393939394,65.3538,111.382,98.1297
"21","Arron Afflalo",2012,7562500,2011,58044000,0.130289091034388,2012,"SG/SF",21.4,77,206,81,"Wing","Top50",0.91304347826087,"G","UCLA",3,104,205.833333333333,208.5,131.166666666667,14.9819717064545,0.13068942531942,0.13065257451373,0.61413203654583,0.194076038903625,1.1862646187242,3.62901562039493,5.7428529325081,5.72192749778957,0.373736024483506,0.543568548126458,0.321451681120036,0.496886281287882,0.579538756262894,2.75464190981432,2.01112584733274,63.9042833333333,113.225166666667,90.0638166666667
"22","Austin Daye",2015,125104,2014,63065000,0.0019837310711171,2015,"SF/PF",20.7,83,192,86,"Wing","Top50",0.0434782608695652,"F","Gonzaga",2,67,226.333333333333,77,106.333333333333,12.3803683897802,0.0853047937992034,0.161398994047716,0.68270944741533,1.91800356506239,1.15524263498921,3.1574569221628,2.28342245989305,6.7106357694593,0.423280423280423,0.495063125429896,0.356196360294721,0.25423374193866,0.938205585264409,5.16636957813428,2.69994058229352,66.6990333333333,116.524333333333,93.8326666666667
"23","Austin Rivers",2017,11000000,2016,94143000,0.116843525275379,2017,"SG",19.6,77,203,79,"Wing","Top25",0.65,"G","Duke",1,34,243,159,184,16.5282352941176,0.126343511993736,0.140579400669087,0.970588235294118,0.0294117647058824,1.09118767599801,5.41176470588235,4.67647058823529,7.14705882352941,0.364779874213836,0.477366255144033,0.45771144278607,0.395522388059701,0.617647058823529,2.76470588235294,2.23529411764706,66.38,117.65,97.9512
"24","Avery Bradley",2016,7730337,2015,7e+07,0.110433385714286,2016,"SG",19.3,75,180,78,"Wing","Top25",0.625,"G","Texas",1,34,256,112,66,13.2070588235294,0.158115089969713,0.115802601104579,1.29411764705882,0.529411764705882,0.997380616562563,1.94117647058824,3.29411764705882,7.52941176470588,0.375,0.45703125,0.179347826086957,0.304347826086957,0.970588235294118,1.91176470588235,2.35294117647059,71.4549,113.863,93.1079
"25","Ben Gordon",2010,10000000,2009,57700000,0.173310225303293,2010,"SG",20.9,74,192,80,"Wing","Top50",0.8,"G","Connecticut",2,72,302.333333333333,223.666666666667,172.333333333333,19.2797513597514,0.237873294555009,0.154601304361018,1.28982128982129,0.173271173271173,1.15838484881909,4.69386169386169,6.03185703185703,8.1950271950272,0.428504944735311,0.442605441793122,0.329636210200959,0.42413462662742,0.874125874125874,3.66511266511267,2.28282828282828,69.1851333333333,115.742666666667,90.3654666666667
"26","Ben McLemore",2018,5200000,2017,99093000,0.0524759569293492,2018,"SG",20,77,189,79,"Wing","Top50",0.375,"G","Kansas",1,37,226,174,138,14.532972972973,0.135758387264747,0.143197203005282,1,0.675675675675676,1.27843375586039,3.72972972972973,4.7027027027027,6.10810810810811,0.419540229885057,0.553097345132743,0.345,0.435,1.27027027027027,3.91891891891892,1.86486486486486,66.4077,112.746,87.5181
"27","Blake Griffin",2014,16441500,2013,58679000,0.280193936501985,2014,"PF",19.9,82,248,83,"Big","Top25",1,"F","Oklahoma",2,68,408,6,281.666666666667,18.5837691197691,0.116105633751268,0.159826005299987,1.07619047619048,1.06378066378066,1.27277878097016,8.16132756132756,0.172582972582973,11.8430014430014,0.25,0.629500580720093,0.673263132413459,0.013677075768579,3.66233766233766,8.97806637806638,2.52352092352092,65.4724,115.364666666667,94.1496333333333
"28","Bradley Beal",2017,22116750,2016,94143000,0.234927185239476,2017,"SG",18.7,77,202,80,"Wing","Top25",0.95,"G","Florida",1,37,207,186,173,14.8140540540541,0.151426694884332,0.144129022841713,1.37837837837838,0.837837837837838,1.16388130968622,4.67567567567568,5.02702702702703,5.59459459459459,0.338709677419355,0.541062801932367,0.440203562340967,0.473282442748092,1.35135135135135,5.37837837837838,2.05405405405405,64.2445,120.425,97.9564
"29","Brandan Wright",2015,5000000,2014,63065000,0.0792832791564259,2015,"PF",19.4,82,200,88,"Big","Top25",0.583333333333333,"F","North Carolina",1,37,353,0,157,13.0021621621622,0.0769102851916521,0.122640725035337,0.972972972972973,1.75675675675676,1.29122441243366,4.24324324324324,0,9.54054054054054,0,0.645892351274788,0.444759206798867,0,2.08108108108108,4.10810810810811,1.48648648648649,72.4204,120.991,89.622
"30","Brandon Jennings",2014,7655503,2013,58679000,0.130464101296886,2014,"PG",19.4,73,169,76,"PG","Top25",0.634615384615385,"F","IPFW",2,52,42.6666666666667,20.6666666666667,15.6666666666667,3.34113131313131,0.170651618616607,0.183788533690036,0.404040404040404,0.0222222222222222,1.00573006203401,0.619191919191919,0.874747474747475,1.6,0.336050724637681,0.390692640692641,0.254444444444444,0.394074074074074,0.787878787878788,1.55656565656566,1.23939393939394,65.7679666666667,97.1156333333333,109.423
"31","Brandon Knight",2017,12606250,2016,94143000,0.13390533550025,2017,"PG",19.2,75,177,78,"PG","Top25",0.673076923076923,"G","Kentucky",1,38,282,231,171,18.6378947368421,0.22450016943409,0.169434090138936,0.657894736842105,0.210526315789474,1.11689106487148,4.5,6.07894736842105,7.42105263157895,0.376623376623377,0.460992907801418,0.333333333333333,0.450292397660819,0.657894736842105,3.36842105263158,2.18421052631579,65.0157,117.827,92.0054
"32","Brandon Roy",2011,13520500,2010,58044000,0.232935359382537,2011,"SG",21.6,78,207,80,"Wing","Top50",0.9,"G","Washington",3,90,292.166666666667,59.6666666666667,156.333333333333,15.6965982404692,0.210255333429813,0.135462082955206,1.1010226332807,0.568463794270246,1.21085631853241,5.01251973832619,1.87126851642981,9.51902398676592,0.354734631538755,0.547683546799113,0.432093029209226,0.151753449555846,1.98507406571923,3.36867433641627,2.26614783066396,72.0174333333333,116.4425,97.2078333333333
"33","Brandon Rush",2013,4000000,2012,58044000,0.0689132382330646,2013,"SG/SF",22.6,78,211,83,"Wing","Top25",0.565217391304348,"G","Kansas",3,109,235.666666666667,171.166666666667,93.5,14.059399255715,0.146791985840879,0.142825652076438,0.699096225412015,0.835459861775651,1.12289219859478,2.5077086656034,4.57482721956406,6.36988304093567,0.431718596890432,0.453673134101021,0.228890157653631,0.417982337256892,1.5011961722488,3.90909090909091,1.51275917065391,67.60835,117.287666666667,86.5416666666667
"34","Brian Cook",2008,3500000,2007,55630000,0.0629156929714183,2008,"PF",22.2,83,234,86,"Big","NR",0.383333333333333,"F","Illinois",1,30,333,89,205,19.84,0.100806451612903,0.139448924731183,0.666666666666667,0.433333333333333,1.16946505271378,6.83333333333333,2.96666666666667,11.1,0.303370786516854,0.525525525525526,0.485781990521327,0.210900473933649,1.46666666666667,6.1,2.93333333333333,67.7931,113.167,88.6931
"35","Brook Lopez",2013,13668750,2012,58044000,0.23548945627455,2013,"C",19.9,84,256,89,"Big","Top25",0.92,"F","Stanford",2,53,347,9,151,17.9178157644824,0.0642738907604446,0.121460055926992,0.536087369420703,1.95963912630579,1.07809879361554,5.62345679012346,0.34045584045584,12.9786324786325,0.0666666666666667,0.488004335665689,0.405924602530092,0.0279086135022468,2.47815764482431,4.97863247863248,2.53988603988604,64.2078333333333,112.308666666667,93.0214
"36","C.J. McCollum",2018,23962573,2017,99093000,0.241819028589305,2018,"PG/SG",21.4,75,197,78,"PG","NR",1,"G","Lehigh",3,99,367.666666666667,171.5,231.166666666667,21.6850236931527,0.133945537247397,0.112121392165529,2.34512870641903,0.53258855839501,1.11606251657176,6.94563608434576,5.15211562630917,11.0401154401154,0.345680489101542,0.470059589683408,0.428812117675323,0.320478156050915,1.58101754875948,5.12589489363683,1.85517385839966,68.60445,106.138166666667,102.388483333333
"37","Carl Landry",2013,4000000,2012,58044000,0.0689132382330646,2013,"PF",23.4,80,248,83,"Big","NR",0.433333333333333,"F","Purdue",2,59,312.333333333333,18.6666666666667,249.666666666667,17.0498823529412,0.0726025005824666,0.167953908024058,1.0643137254902,0.867450980392157,1.31766939107815,8.03137254901961,0.612549019607843,10.036862745098,0.214424951267057,0.627645029490787,0.754144179212299,0.0576801012768315,3.10039215686274,4.15529411764706,2.95450980392157,65.4433333333333,109.102666666667,95.5740666666667
"38","Carmelo Anthony",2010,15779912,2009,57700000,0.273482010398614,2010,"SF",18.7,79,233,84,"Wing","Top25",1,"F","Syracuse",1,35,446,166,238,22.6777142857143,0.0970115405936602,0.0970115405936602,1.57142857142857,0.857142857142857,1.0855006139078,6.8,4.74285714285714,12.7428571428571,0.337349397590361,0.495515695067265,0.388888888888889,0.271241830065359,2.88571428571429,7.08571428571429,2.2,71.0281,114.407,91.1279
"39","Chandler Parsons",2017,22116750,2016,94143000,0.234927185239476,2017,"SF",22.3,82,221,81,"Wing","Top50",0.909090909090909,"F","Florida",4,142,178.4,114,106.4,11.464385620915,0.237957673514962,0.160718439552896,0.983006535947712,0.31078431372549,1.13285020964812,3.02957516339869,3.21862745098039,5.0437908496732,0.347125725853291,0.568379931478898,0.366948554126525,0.394110945092447,2.03218954248366,4.65424836601307,2.00098039215686,63.81234,114.8317,97.25046
"40","Channing Frye",2012,5600000,2011,58044000,0.0964785335262904,2012,"C",21.8,82,244,86,"Big","Top100",0.4,"C","Arizona",3,99,360.333333333333,10.3333333333333,132.5,14.2470934684685,0.118296506453472,0.109339716523331,0.755611861861862,2.16114864864865,1.20685982270866,3.89603978978979,0.290493618618619,10.6715746996997,0.288235294117647,0.562659797455136,0.356811332415832,0.0260412684455998,2.88908596096096,4.72693318318318,2.72579767267267,70.7073333333333,117.120666666667,96.1519166666667
"41","Charlie Villanueva",2010,6500000,2009,57700000,0.11265164644714,2010,"PF",20.5,81,237,84,"Big","Top25",0.683333333333333,"F","Connecticut",2,63,252.333333333333,24.3333333333333,115,12.385376344086,0.0877557467906392,0.152119338877666,0.49260752688172,1.7258064516129,1.14951906871634,3.68850806451613,0.768481182795699,8.0823252688172,0.45578231292517,0.533308052079383,0.403651266766021,0.100471932439146,2.34677419354839,4.93010752688172,2.21236559139785,69.7927333333333,114.030666666667,89.9744
"42","Chase Budinger",2014,5000000,2013,58679000,0.0852093593960361,2014,"SG/SF",21.2,79,206,79,"Wing","Top25",0.739130434782609,"F","Arizona",3,100,270.166666666667,170.666666666667,141.5,17.0309138881359,0.17455274088392,0.132157619888928,1.28575946507635,0.357287431101473,1.17334684636779,4.14223366766061,5.01353573687539,7.93275503749887,0.387415382819795,0.521179776318584,0.319162936940098,0.386696897889092,1.33440860215054,4.53187855787476,1.86057648865998,65.0000833333333,117.591333333333,99.9955333333333
"43","Chris Bosh",2008,12455000,2007,55630000,0.223889987416861,2008,"PF",19,83,225,87,"Big","Top25",0.95,"F","Georgia Tech",1,31,254,46,174,14.4696774193548,0.0847155341537364,0.160513643659711,0.967741935483871,2.16129032258065,1.28797535585298,5.61290322580645,1.48387096774194,8.19354838709677,0.478260869565217,0.574803149606299,0.58,0.153333333333333,3.06451612903226,5.90322580645161,2.35483870967742,68.9715,109.076,94.8462
"44","Chris Douglas-Roberts",2015,915243,2014,63065000,0.0145126932529929,2015,"SG/SF",21.1,79,200,82,"Wing","Top50",0.130434782608696,"G","Memphis",3,109,311.833333333333,78.6666666666667,188.333333333333,14.5239215686275,0.122400269558078,0.14419485112376,1.11137955182073,0.450910364145658,1.23948245326135,4.9905462184874,2.05703781512605,8.27163865546219,0.367341558578509,0.579375974041218,0.48463888425934,0.19310731207932,1.23056722689076,2.52871148459384,1.89243697478992,68.6382833333333,116.339166666667,88.38855
"45","Chris Duhon",2010,6031800,2009,57700000,0.10453726169844,2010,"PG",21.5,73,193,78,"PG","Top25",0.576923076923077,"G","Duke",2,70,186.666666666667,106.666666666667,92,12.2201692601693,0.506965989270742,0.234338275864265,2.06770406770407,0.176631176631177,1.04161155421522,2.59131859131859,3.02265902265902,5.19355719355719,0.292534722222222,0.506982981871994,0.316017316017316,0.369408369408369,0.772863772863773,3.000546000546,1.96532896532897,68.6748666666667,118.904333333333,89.4358333333333
