,#,,Player,CO,Pos,Age,HT,WT,WS,Pts,Reb,Ast,PER,Team,League,NBA EWA
0,1,,LeBron James,,SF,18.2,"6'8""",245,"7'0 ¼""",26.6,8.4,9.0,28.0,,NBA,25.84
1,2,,Darko Milicic,,C,17.7,"7'1""",250,"7'5""",0.0,1.0,0.0,-33.4,,NBA,0.53
2,3,,Carmelo Anthony,,SF,18.7,"6'7""",233,"7'0""",17.0,5.9,1.3,13.9,,NBA,11.19
3,4,,Chris Bosh,,PF,19,"6'11""",225,"7'3 ½""",19.1,7.4,2.4,20.4,,NBA,11.84
4,5,,Dwyane Wade,,SG,21.1,"6'5""",212,"6'10 ¾""",11.7,4.3,2.7,12.4,,NBA,13.87
5,6,,Chris Kaman,,C,20.8,"7'0""",252,"6'11 ¾""",2.9,1.6,0.6,8.3,,NBA,3.06
6,7,,Kirk Hinrich,,SG,22.1,"6'4""",186,"6'6""",0.6,0.9,1.0,5.8,,NBA,1.79
7,8,,T.J. Ford,,PG,19.9,"6'0""",162,"5'11 ½""",7.0,3.0,5.0,15.6,,Adriatic,3.13
8,9,,Mike Sweetney,,PF,20.3,"6'8""",262,"7'1""",5.9,4.1,0.5,16.5,,Puerto Rico,1.91
9,10,,Jarvis Hayes,,SF,21.6,"6'7""",220,-,11.2,5.1,1.4,17.5,,EuroCup,-0.02
10,11,,Mickael Pietrus,,SG/SF,21.1,"6'6""",200,-,8.7,1.8,0.9,9.3,,France,0.42
11,12,,Nick Collison,,PF,22.3,"6'10""",255,"7'1 ½""",1.9,1.6,0.4,12.5,,NBA,1.59
12,13,,Marcus Banks,,PG,21.3,"6'2""",220,-,8.8,1.2,3.2,12.4,,France,0.36
13,14,,Luke Ridnour,,PG,22,"6'2""",167,"6'3""",4.0,1.4,2.0,9.6,,NBA,2.51
14,15,,Reece Gaines,,G,22.1,"6'6""",205,-,1.0,0.5,0.8,-3.8,,G-League,-0.39
15,16,,Troy Bell,,G,22.3,"6'2""",178,"6'5""",6.9,1.8,0.7,8.9,,Argentina,-0.27
16,17,,Zarko Cabarkapa,,F,21.8,"6'11""",235,-,2.8,1.3,0.3,10.2,,Adriatic,0.12
17,18,,David West,,PF,22.5,"6'9""",226,"7'4 ¼""",7.1,3.5,1.9,22.4,,NBA,7.52
18,19,,Sasha Pavlovic,,SG/SF,19.3,"6'7""",210,-,7.1,2.9,1.1,14.0,,Greece,-0.95
19,20,,Dahntay Jones,,SG/SF,22.2,"6'6""",214,"6'9""",2.3,0.8,0.2,14.9,,NBA,-0.46
20,21,,Boris Diaw,,PF,20.9,"6'8""",203,-,12.2,6.4,5.0,17.4,,France,1.91
21,22,,Zoran Planinic,,G,20.5,"6'7""",195,-,9.2,2.5,4.3,16.1,,Turkey,-0.30
22,23,,Travis Outlaw,,SF/PF,18.4,"6'9""",210,-,5.4,2.7,0.8,10.4,,NBA,1.26
23,24,,Brian Cook,,PF,22.2,"6'11""",234,"7'2""",7.5,2.8,0.3,20.7,,Japan,0.55
24,25,,Carlos Delfino,,SF,20.5,"6'6""",230,-,0.0,1.0,0.0,-6.6,,EuroLeague,1.27
25,26,,Ndudi Ebi,,PF,18.7,"6'9""",195,-,13.3,4.7,1.3,23.7,,France,0.08
26,27,,Kendrick Perkins,,C,18.3,"6'10""",280,-,8.7,7.2,1.9,15.3,,G-League,-0.04
27,28,,Leandro Barbosa,,SG,20.3,"6'3""",176,-,13.6,2.9,2.3,21.3,,Brazil,2.73
28,29,,Josh Howard,,SF,22.8,"6'6""",202,"7'2""",14.7,5.8,1.3,15.3,,G-League,4.08
29,30,,Maciej Lampe,,PF/C,18.1,"6'11""",240,-,24.3,13.3,2.3,31.5,,China,-0.15
30,31,,Jason Kapono,,SF,22.1,"6'8""",215,"6'6 ½""",7.8,1.6,2.1,14.9,,Greece,-0.21
31,32,,Luke Walton,,PF,22.9,"6'9""",235,"6'8 ½""",3.4,2.9,3.3,11.3,,NBA,0.38
32,33,,Jerome Beasley,,F,22.8,"6'10""",237,"7'0 ½""",12.5,8.1,1.1,16.4,,EuroChallenge,-0.01
33,34,,Sofoklis Schortsanitis,,C,17.7,"6'10""",375,-,6.0,1.0,0.0,2.6,,Greece,-
34,35,,Szymon Szewczyk,,SF/PF,20.2,"6'10""",242,-,8.5,3.6,1.1,22.3,,Poland,-
35,36,,Mario Austin,,PF,21,"6'8""",260,-,6.0,1.5,1.3,9.8,,Balkan,-
36,37,,Travis Hansen,,SG/SF,24.9,"6'5""",200,"6'6 ½""",7.8,1.5,0.5,18.3,,VTB United,-0.93
37,38,,Steve Blake,,PG,23,"6'3""",172,-,5.2,1.8,2.1,6.1,,Australia,0.15
38,39,,Slavko Vranes,,C,20.1,"7'4""",250,-,5.1,3.2,0.7,20.5,,Serbia,-0.05
39,40,,Derrick Zimmerman,,PG,21.2,"6'2""",190,"6'9""",7.3,3.4,4.0,16.6,,Poland,-0.08
40,41,,Willie Green,,SG,21.6,"6'3""",201,"6'7 ¼""",5.9,1.5,1.3,7.6,,NBA,0.10
41,42,,Zaza Pachulia,,C,19,"6'11""",240,-,5.9,4.8,1.7,16.7,,NBA,2.68
42,43,,Keith Bogans,,SG,22.8,"6'5""",210,"6'9""",1.3,2.4,0.3,1.1,,G-League,-0.69
43,44,,Malick Badiane,,C,19.2,"6'11""",234,-,5.8,4.3,0.1,15.5,,France 2,-
44,45,,Matt Bonner,,PF,22.9,"6'10""",242,"6'8 ¾""",2.5,0.9,0.3,13.9,,NBA,1.50
45,46,,Sani Becirovic,,PG/SG,21.8,"6'5""",205,-,16.2,4.5,5.3,20.5,,LegaDue,-
46,47,,Maurice Williams,,PG,20.2,"6'2""",189,"6'5 ½""",6.6,1.4,1.9,11.2,,NBA,3.25
47,48,,James Lang,,C,19.4,"6'9""",316,"7'6 ¼""",3.6,2.5,0.1,12.9,,Israel,-0.11
48,49,,James Jones,,SF/PF,22.4,"6'9""",218,"7'2 ½""",2.4,0.8,0.3,10.1,,NBA,0.15
49,50,,Paccelis Morlende,,G,21.9,"6'2""",190,-,3.1,0.8,1.4,4.6,,France 2,-
50,51,,Kyle Korver,,SF,21.9,"6'8""",211,"6'9 ½""",9.3,2.1,1.2,13.5,,NBA,1.80
51,52,,Remon Van De Hare,,C,20.8,"7'3""",0,-,3.6,3.1,0.4,15.7,,Ukraine,-
52,53,,Tommy Smith,,PF,22.2,"6'10""",200,"7'2 ¼""",3.2,3.4,0.8,3.2,,Germany,-
53,54,,Nedzad Sinanovic,,C,20.1,"7'3""",250,-,4.2,4.0,0.6,10.7,,ACB,-
54,55,,Rick Rickert,,PF/C,20,"6'11""",230,-,13.8,9.1,2.1,29.8,,Japan,-
55,56,,Brandon Hunter,,F,22.3,"6'8""",266,"7'2 ¾""",7.9,3.9,0.6,11.3,,France 2,0.28
56,57,,Xue Yuyang,,PF/C,20.4,"7'0""",210,-,2.9,1.9,0.4,6.4,,China,-
57,58,,Andreas Glyniadakis,,C,21.5,"7'1""",280,-,2.4,1.3,0.1,8.9,,Greece,-0.57
