,,247Sports,AS,College,DT,Draft,ESPN,FS,From,HM,HS,High School,MP,PS,Pk,Player,PrepStars,RC,RH,RH/PS,RSCI,Rd,Rivals,SC,SI,SN,SS,Scout,Tm,To,VC,WS
50,,,,Texas A&M,,,,,,,,,,,,Robert Williams (college),,,,,51,,,,,,,,,,,
51,,,,Mississippi State,,,,,,,,,,,,Schnider Herard (college),,,,,52,,,,,,,,,,,
52,,,,Maryland,,,,,,,,,,,,Kevin Huerter (college),,,,,53,,,,,,,,,,,
53,,,,Michigan,,,,,,,,,,,,Xavier Simpson (college),,,,,54,,,,,,,,,,,
54,,,,Massachusetts,,,,,,,,,,,,Dejon Jarreau (college),,,,,55,,,,,,,,,,,
55,,,,Alabama,,,,,,,,,,,,Braxton Key (college),,,,,56,,,,,,,,,,,
56,,,,Maryland,,,,,,,,,,,,Anthony Cowan (college),,,,,57,,,,,,,,,,,
57,,,,California,,,,,,,,,,,,Charlie Moore (college),,,,,58,,,,,,,,,,,
58,,,,Texas Christian,,,,,,,,,,,,Jaylen Fisher (college),,,,,59,,,,,,,,,,,
59,,,,Syracuse,,,,,,,,,,,,Matthew Moyer (college),,,,,60,,,,,,,,,,,
60,,,,Virginia,,,,,,,,,,,,Jay Huff (college),,,,,61,,,,,,,,,,,
61,,,,,,,,,,,,,,,,Brendan Bailey,,,,,62,,,,,,,,,,,
62,,,,Iowa,,,,,,,,,,,,Tyler Cook (college),,,,,63,,,,,,,,,,,
63,,,,Texas,,,,,,,,,,,,James Banks (college),,,,,64,,,,,,,,,,,
64,,,,North Carolina,,,,,,,,,,,,Brandon Robinson (college),,,,,65,,,,,,,,,,,
65,,,,Ohio State,,,,,,,,,,,,Derek Funderburk (college),,,,,66,,,,,,,,,,,
66,,,,Cincinnati,,,,,,,,,,,,Jarron Cumberland (college),,,,,67,,,,,,,,,,,
67,,,,Texas A&M,,,,,,,,,,,,JJ Caldwell (college),,,,,68,,,,,,,,,,,
68,,,,Florida State,,,,,,,,,,,,Trent Forrest (college),,,,,69,,,,,,,,,,,
69,,,,Connecticut,,,,,,,,,,,,Vance Jackson (college),,,,,70,,,,,,,,,,,
70,,,,Marquette,,,,,,,,,,,,Markus Howard (college),,,,,71,,,,,,,,,,,
71,,,,University of Arizona,,2017,,,2018,,,,,,7,Lauri Markkanen (college),,,,,72,1,,,,,,,MIN,2018,,3.3
72,,,,North Carolina State,,,,,,,,,,,,Omer Yurtseven (college),,,,,73,,,,,,,,,,,
73,,,,Virginia,,,,,,,,,,,,De'Andre Hunter (college),,,,,74,,,,,,,,,,,
74,,,,Southern California,,,,,,,,,,,,Jonah Mathews (college),,,,,75,,,,,,,,,,,
75,,,,Indiana,,,,,,,,,,,,Curtis Jones (college),,,,,76,,,,,,,,,,,
76,,,,Xavier,,,,,,,,,,,,Quentin Goodin (college),,,,,77,,,,,,,,,,,
77,,,,Notre Dame,,,,,,,,,,,,Temple Gibbs (college),,,,,78,,,,,,,,,,,
78,,,,Baylor,,,,,,,,,,,,Mark Vital (college),,,,,79,,,,,,,,,,,
79,,,,Brigham Young,,,,,,,,,,,,Yoeli Childs (college),,,,,80,,,,,,,,,,,
80,,,,Arizona State,,,,,,,,,,,,Romello White (college),,,,,T80,,,,,,,,,,,
81,,,,Georgia,,,,,,,,,,,,Tyree Crump (college),,,,,T80,,,,,,,,,,,
82,,,,Mississippi State,,,,,,,,,,,,Lamar Peters (college),,,,,83,,,,,,,,,,,
83,,,,Syracuse,,,,,,,,,,,,Taurean Thompson (college),,,,,84,,,,,,,,,,,
84,,,,Mississippi State,,,,,,,,,,,,Tyson Carter (college),,,,,85,,,,,,,,,,,
