,,247Sports,AS,College,DT,Draft,ESPN,FS,From,HM,HS,High School,MP,PS,Pk,Player,PrepStars,RC,RH,RH/PS,RSCI,Rd,Rivals,SC,SI,SN,SS,Scout,Tm,To,VC,WS
17,,20,,University of Kentucky,,2016,25,,2017,,,"Marian Catholic (Chicago Heights, IL)",,,34,Tyler Ulis (college),19,,,,18,2,21,,,,,20,PHO,2018,21,0.5
18,,32,,Syracuse University,,,24,,2016,,,"IMG Academy (Bradenton, FL)",,,,Chris McCollough (college),21,,,,19,,19,,,,,18,,2018,14,0.7
19,,24,,University of Florida,,,23,,2018,,,"Christchurch School (Christchurch, VA)",,,,Devin Robinson (college),17,,,,20,,20,,,,,16,,2018,32,0.0
20,,12,,Indiana University,,,20,,,,,"Marion (Marion, IN)",,,,James Blackmon (college),26,,,,T20,,22,,,,,33,,,19,
21,,25,,Nevada-Las Vegas,,,39,,,,,,,,,Dwayne Morgan (college),23,,,,22,,15,,,,,26,,,18,
22,,22,,University of Kentucky,,2015,18,,2016,,,"Moss Point (Moss Point, MS)",,,13,Devin Booker (college),35,,,,23,1,29,,,,,29,PHO,2018,25,6.3
23,,39,,Duke,,,21,,,,,,,,,Grayson Allen (college),25,,,,24,,28,,,,,22,,,24,
24,,21,,Southern California,,,33,,,,,,,,,Shaqquan Aaron (college),22,,,,25,,30,,,,,27,,,35,
25,,50,,North Carolina,,,17,,,,,,,,,Joel Berry (college),27,,,,T25,,27,,,,,34,,,13,
26,,28,,Michigan,,,38,,,,,,,,,Kameron Chatman (college),24,,,,27,,25,,,,,23,,,37,
27,,29,,Georgetown,,,16,,,,,,,,,Isaac Copeland (college),31,,,,28,,23,,,,,38,,,44,
28,,51,,Ohio State,,,22,,,,,,,,,Keita Bates-Diop (college),37,,,,29,,26,,,,,24,,,30,
29,,40,,Ohio State,,,42,,,,,,,,,JaQuan Lyle (college),36,,,,30,,24,,,,,28,,,22,
30,,19,,Florida,,,35,,,,,,,,,Brandone Francis (college),30,,,,31,,35,,,,,44,,,31,
31,,16,,Nevada-Las Vegas,,,26,,,,,,,,,Goodluck Okonoboh (college),42,,,,32,,31,,,,,49,,,33,
32,,66,,UCLA,,,36,,,,,,,,,Thomas Welsh (college),10,,,,33,,41,,,,,17,,,39,
33,,35,,Maryland,,,29,,,,,"Bishop O'Connell (Arlington, VA)",,,,Melo Trimble (college),53,,,,34,,39,,,,,30,,,36,
34,,48,,Stanford,,,27,,,,,,,,,Reid Travis (college),38,,,,35,,44,,,,,39,,,27,
35,,27,,"University of California, Los Angeles",,2017,69,,,,,"Brewster Academy (Wolfeboro, NH)",,,36,Jonah Bolden (college),28,,,,36,2,32,,,,,25,PHI,,45,
36,,54,,Louisville,,,40,,,,,,,,,Quentin Snider (college),44,,,,37,,33,,,,,35,,,29,
37,,57,,Xavier,,,46,,,,,,,,,Trevon Bluiett (college),29,,,,38,,34,,,,,31,,,42,
38,,23,,Connecticut,,,43,,,,,,,,,Terry Larrier (college),57,,,,39,,43,,,,,43,,,40,
39,,49,,Louisiana State,,,37,,,,,,,,,Craig Victor (college),55,,,,T39,,40,,,,,42,,,26,
40,,47,,Southern California,,,41,,,,,,,,,Jordan McLaughlin (college),45,,,,41,,49,,,,,36,,,47,
41,,38,,Seton Hall,,,48,,,,,,,,,Angel Delgado (college),43,,,,42,,53,,,,,48,,,38,
42,,42,,Miami (FL),,,58,,,,,,,,,JaQuan Newton (college),33,,,,43,,37,,,,,52,,,53,
43,,62,,Arizona,,,57,,,,,,,,,Parker Jackson-Cartwright (college),34,,,,44,,51,,,,,32,,,43,
44,,52,,North Carolina State,,,32,,,,,,,,,Abdul-Malik Abu (college),41,,,,45,,45,,,,,56,,,54,
45,,56,,Indiana,,,47,,,,,,,,,Robert Johnson (college),51,,,,46,,48,,,,,47,,,41,
46,,43,,Illinois,,,44,,,,,,,,,Leron Black (college),69,,,,T46,,38,,,,,50,,,46,
47,,33,,San Diego State,,,55,,,,,,,,,Malik Pope (college),39,,,,48,,,,,,,37,,,28,
48,,36,,Florida,,,45,,,,,,,,,Chris Chiozza (college),78,,,,49,,42,,,,,58,,,48,
49,,53,,Missouri,,,53,,,,,,,,,Jakeenan Gant (college),54,,,,50,,52,,,,,59,,,56,
50,,70,,Oregon,,,34,,,,,,,,,Paul White (college),67,,,,51,,50,,,,,60,,,49,
51,,34,,Syracuse,,,50,,,,,,,,,Kaleb Joseph (college),73,,,,52,,46,,,,,63,,,68,
52,,61,,Maryland,,,52,,,,,,,,,Dion Wiley (college),60,,,,53,,55,,,,,45,,,62,
53,,68,,Ohio State,,,28,,,,,,,,,Jae'Sean Tate (college),59,,,,54,,79,,,,,55,,,50,
54,,55,,Brigham Young,,,51,,,,,,,,,T.J. Haws (college),74,,,,55,,57,,,,,54,,,59,
55,,59,,Louisiana State,,,60,,,,,,,,,Elbert Robinson (college),68,,,,56,,56,,,,,57,,,52,
56,,41,,Utah,,,49,,,,,,,,,Brekkott Chapman (college),85,,,,57,,59,,,,,80,,,51,
57,,78,,Texas Christian,,,63,,,,,,,,,Alex Robinson (college),61,,,,58,,58,,,,,46,,,60,
58,,79,,Stanford,,,65,,,,,,,,,Michael Humphrey (college),50,,,,59,,47,,,,,71,,,55,
59,,75,,Gonzaga,,,56,,,,,,,,,Josh Perkins (college),64,,,,60,,67,,,,,79,,,34,
60,,63,,Virginia Tech,,,54,,,,,,,,,Ahmed Hill (college),58,,,,61,,63,,,,,76,,,66,
61,,67,,North Carolina State,,,62,,,,,,,,,Caleb Martin (college),65,,,,62,,60,,,,,65,,,63,
62,,98,,Georgetown University,,,31,,,,,"Gaffney (Gaffney, SC)",,,,L.J. Peak (college),66,,,,T62,,68,,,,,62,,,57,
63,,71,,University of Louisville,,2016,75,,2017,,,"Riverdale Baptist (Upper Marlboro, MD)",,,37,Chinanu Onuaku (college),40,,,,64,2,74,,,,,53,HOU,2018,73,0.1
64,,92,,Kansas,,,,,,,,,,,,Devonte Graham (college),32,,,,65,,36,,,,,41,,,,
65,,84,,Syracuse,,,61,,,,,,,,,Paschal Chukwu (college),77,,,,66,,61,,,,,64,,,65,
66,,58,,University of Louisville,,,,,,,,"Ypsilanti (Ypsilanti, MI)",,,,Jaylen Johnson (college),79,,,,67,,54,,,,,77,,,58,
67,,44,,Rhode Island,,,79,,,,,,,,,Jared Terrell (college),,,,,68,,66,,,,,78,,,75,
68,,,,Stanford,,,,,,,,,,,,Robert Cartwright (college),48,,,,69,,82,,,,,51,,,67,
69,,76,,North Carolina State,,,91,,,,,,,,,Cody Martin (college),63,,,,70,,81,,,,,66,,,76,
70,,99,,Southern California,,,94,,,,,,,,,Elijah Stewart (college),56,,,,71,,64,,,,,40,,,,
71,,46,,Alabama,,,76,,,,,,,,,Justin Coleman (college),87,,,,72,,90,,,,,,,,74,
72,,,,Creighton,,,71,,,,,,,,,Ronnie Harrell (college),46,,,,73,,84,,,,,73,,,,
73,,73,,Grand Canyon,,,67,,,,,,,,,Dominic Magee (college),96,,,,74,,72,,,,,,,,72,
74,,69,,Marquette,,,83,,,,,,,,,Sandy Cohen (college),75,,,,75,,97,,,,,87,,,77,
75,,100,,Providence,,,84,,,,,,,,,Jalen Lindsey (college),84,,,,76,,69,,,,,84,,,69,
76,,,,San Diego State,,,81,,,,,,,,,Trey Kell (college),52,,,,T76,,,,,,,69,,,86,
77,,83,,Michigan State,,,73,,,,,,,,,Lourawls Nairn (college),89,,,,78,,62,,,,,,,,84,
78,,80,,San Diego State,,,88,,,,,,,,,Zylan Cheatham (college),92,,,,79,,78,,,,,68,,,87,
79,,65,,Clemson,,,,,,,,,,,,Donte Grantham (college),81,,,,80,,75,,,,,91,,,81,
80,,,,Vanderbilt,,,,,,,,,,,,Shelton Mitchell (college),70,,,,T80,,76,,,,,75,,,71,
81,,,,Purdue,,,87,,,,,,,,,Isaac Haas (college),72,,,,82,,71,,,,,85,,,79,
82,,74,,Old Dominion,,,,,,,,,,,,B.J. Stith (college),95,,,,83,,65,,,,,,,,61,
83,,90,,Villanova,,,92,,,,,,,,,Phil Booth (college),,,,,84,,85,,,,,70,,,64,
84,,,,Texas,,,86,,,,,,,,,Jordan Barnett (college),49,,,,T84,,70,,,,,,,,95,
85,,94,,Maryland,,,,,,,,,,,,Jared Nickens (college),47,,,,86,,,,,,,81,,,91,
86,,,,Virginia Tech,,,70,,,,,,,,,Justin Bibbs (college),71,,,,87,,,,,,,74,,,,
87,,81,,Oklahoma State,,,59,,,,,,,,,Joe Burton (college),,,,,88,,96,,,,,82,,,100,
88,,88,,Auburn,,,68,,,,,,,,,Trayvon Reed (college),97,,,,89,,91,,,,,93,,,89,
89,,89,,Northwestern,,,66,,,,,,,,,Vic Law (college),,,,,90,,,,,,,,,,70,
90,,82,,Georgia Tech,,,74,,,,,,,,,Tadric Jackson (college),94,,,,T90,,,,,,,95,,,82,
91,,26,,Gonzaga University,,2016,,,2017,,,,,,11,Domantas Sabonis (college),,,,,92,1,,,,,,,ORL,2018,,5.5
92,,97,,Missouri,,,,,,,,,,,,Namon Wright (college),88,,,,93,,73,,,,,72,,,,
93,,77,,Xavier,,,,,,,,,,,,Makinde London (college),83,,,,94,,83,,,,,,,,90,
94,,31,,Kansas,,,,,,,,,,,,Sviatoslav Mykhailiuk (college),,,,,95,,,,,,,,,,,
95,,,,Villanova,,,82,,,,,,,,,Mikal Bridges (college),80,,,,96,,95,,,,,92,,,92,
96,,37,,Maryland,,,,,,,,,,,,Michal Cekovsky (college),,,,,T96,,,,,,,,,,,
97,,60,,Georgia State,,,,,,,,,,,,Devin Mitchell (college),,,,,T96,,,,,,,,,,78,
98,,45,,Tennessee,,,,,,,,,,,,Detrick Mostella (college),,,,,99,,,,,,,,,,,
99,,,,Southern California,,,,,,,,,,,,Malik Marquetti (college),86,,,,100,,,,,,,61,,,,
0,,1,,University of Kansas,,2014,1,,2015,,,"Huntington Prep (Huntington, WV)",,,1,Andrew Wiggins (college),1,,,,1,1,1,,,,,1,CLE,2018,1,12.4
1,,2,,University of Kentucky,,2014,3,,2015,,,"Prestonwood Christian (Plano, TX)",,,7,Julius Randle (college),5,,,,2,1,2,,,,,2,LAL,2018,3,11.7
2,,6,,Duke University,,2014,2,,2015,,,"Simeon Career Academy (Chicago, IL)",,,2,Jabari Parker (college),2,,,,3,1,4,,,,,3,MIL,2018,2,10.2
3,,4,,University of Arizona,,2014,4,,2015,,,"Archbishop Mitty (San Jose, CA)",,,4,Aaron Gordon (college),6,,,,4,1,3,,,,,4,ORL,2018,4,13.0
4,,3,,University of Kentucky,,2015,5,,2017,,,"Travis (Pecan Grove, TX)",,,44,Andrew Harrison (college),4,,,,5,2,5,,,,,5,PHO,2018,5,3.3
5,,5,,University of Kentucky,,,9,,2016,,,"Travis (Pecan Grove, TX)",,,,Aaron Harrison (college),3,,,,6,,7,,,,,6,,2018,6,-0.1
6,,7,,University of Florida,,,12,,,,,"Holmes County (Bonifay, FL)",,,,Chris Walker (college),10,,,,7,,6,,,,,8,,,11,
7,,15,,Indiana University,,2014,13,,2015,,,"New Hampton School (New Hampton, NH)",,,9,Noah Vonleh (college),8,,,,8,1,8,,,,,7,CHH,2018,7,6.7
8,,10,,University of Kentucky,,2014,8,,2015,,,"Rochester (Rochester Hills, MI)",,,17,James Young (college),11,,,,9,1,11,,,,,11,BOS,2018,8,0.8
9,,8,,University of Kentucky,,2015,7,,2018,,,"Montverde Academy (Montverde, FL)",,,48,Dakari Johnson (college),9,,,,T9,2,9,,,,,17,OKC,2018,9,0.6
10,,9,,Florida,,,10,,,,,,,,,Kasey Hill (college),12,,,,11,,10,,,,,9,,,10,
11,,11,,Louisiana State University,,2015,11,,2016,,,"Madison Prep (Baton Rouge, LA)",,,25,Jarell Martin (college),13,,,,12,1,13,,,,,14,MEM,2018,12,2.7
12,,12,,University of Kansas,,,14,,2017,,,"Tilton School (Tilton, NH)",,,,Wayne Selden (college),15,,,,13,,12,,,,,12,,2018,13,0.5
13,,19,,University of North Carolina,,,18,,2018,,,"J.F. Webb (Oxford, NC)",,,,Isaiah Hicks (college),17,,,,14,,16,,,,,18,,2018,18,-0.0
14,,25,,University of Arkansas,,2015,16,,2016,,,"Hall (Little Rock, AR)",,,22,Bobby Portis (college),18,,,,T14,1,15,,,,,16,CHI,2018,16,7.3
15,,13,,University of Kansas,,2014,6,,2017,,,"The Rock School (Gainesville, FL)",,,3,Joel Embiid (college),28,,,,16,1,25,,,,,23,PHI,2018,15,8.1
16,,18,,University of Arizona,,2015,21,,2016,,,"Chester (Chester, PA)",,,23,Rondae Hollis-Jefferson (college),26,,,,T16,1,21,,,,,10,POR,2018,14,7.9
17,,14,,Kentucky,,,25,,,,,,,,,Marcus Lee (college),19,,,,18,,19,,,,,24,,,21,
18,,16,,"University of California, Los Angeles",,,32,,,,,"St. John Bosco (Bellflower, CA)",,,,Isaac Hamilton (college),7,,,,19,,14,,,,,31,,,23,
19,,29,,Virginia,,,15,,,,,,,,,Austin Nichols (college),16,,,,20,,17,,,,,36,,,32,
20,,28,,University of California,,2017,23,,2018,,,"Salesian Prep (Richmond, CA)",,,56,Jabari Bird (college),32,,,,T20,2,32,,,,,13,BOS,2018,17,0.2
21,,21,,Tennessee,,,29,,,,,,,,,Robert Hubbs (college),24,,,,22,,23,,,,,20,,,31,
22,,37,,Syracuse University,,2014,20,,2015,,,"Saint Benedict's Preparatory School (Newark, NJ)",,,18,Tyler Ennis (college),21,,,,23,1,22,,,,,22,PHO,2018,29,1.3
23,,40,,North Carolina State University,,,26,,,,,"Hampton (Hampton, VA)",,,,Anthony 'Cat' Barber (college),23,,,,24,,27,,,,,21,,,20,
24,,24,,Manhattan,,,35,,,,,,,,,Jermaine Lawrence (college),31,,,,25,,26,,,,,19,,,24,
25,,52,,St. John's (NY),,,17,,,,,,,,,Rysheed Jordan (college),22,,,,26,,20,,,,,45,,,22,
26,,26,,Southern Methodist,,,49,,,,,,,,,Keith Frazier (college),20,,,,27,,18,,,,,33,,,36,
27,,34,,Gonzaga University,,2017,19,,,,,"Findlay College Prep (Henderson, NV)",,,55,Nigel Williams-Goss (college),27,,,,T27,2,33,,,,,50,UTA,,19,
28,,35,,Michigan,,,22,,,,,,,,,Zak Irvin (college),14,,,,29,,24,,,,,51,,,44,
29,,32,,Rhode Island,,,33,,,,,,,,,Kuran Iverson (college),25,,,,30,,28,,,,,53,,,27,
30,,42,,Marquette,,,27,,,,,,,,,JaJuan Johnson (college),37,,,,T30,,35,,,,,32,,,25,
31,,23,,Southern Methodist University,,2017,40,,2018,,,"Ottawa (Ottawa, KS)",,,37,Semi Ojeleye (college),42,,,,32,2,31,,,,,26,BOS,2018,38,1.2
32,,49,,University of Notre Dame,,2016,24,,2017,,,"Marian (Mishawaka, IN)",,,45,Demetrius Jackson (college),36,,,,33,2,38,,,,,29,BOS,2018,26,-0.0
33,,50,,Duke University,,,36,,,,,"DeSoto (DeSoto, TX)",,,,Matt Jones (college),30,,,,34,,36,,,,,25,,,30,
34,,22,,University of South Carolina,,2017,41,,2018,,,"Oak Hill Academy (Mouth of Wilson, VA)",,,48,Sindarius Thornwell (college),38,,,,T34,2,43,,,,,30,MIL,2018,33,1.0
35,,27,,Kansas,,,47,,,,,,,,,Brannen Greene (college),34,,,,36,,29,,,,,41,,,42,
36,,39,,Syracuse,,,31,,,,,,,,,Tyler Roberson (college),35,,,,37,,39,,,,,55,,,28,
37,,31,,Louisiana State University,,2015,38,,2016,,,"Prime Prep Academy (Dallas, TX)",,,33,Jordan Mickey (college),47,,,,38,2,41,,,,,37,BOS,2018,41,0.5
38,,33,,Brigham Young,,,28,,,,,,,,,Eric Mika (college),52,,,,39,,49,,,,,38,,,37,
39,,55,,Alabama,,,37,,,,,,,,,Nick King (college),55,,,,40,,46,,,,,28,,,34,
40,,43,,Wichita State,,,46,,,,,,,,,Conner Frankamp (college),33,,,,T40,,34,,,,,46,,,53,
41,,48,,Gonzaga,,,54,,,,,,,,,Johnathan Williams (college),43,,,,42,,42,,,,,34,,,35,
42,,62,,Florida State University,,,44,,2018,,,"Huntington Prep (Huntington, WV)",,,,Xavier Rathan-Mayes (college),41,,,,43,,30,,,,,42,,2018,43,-0.4
43,,67,,University of Michigan,,,30,,2018,,,"Chandler Park Academy (Harper Woods, MI)",,,,Derrick Walton (college),39,,,,44,,37,,,,,43,,2018,51,0.4
44,,44,,"University of Nevada, Las Vegas",,,71,,2016,,,"Findlay College Prep (Henderson, NV)",,,,Christian Wood (college),40,,,,45,,40,,,,,35,,2017,39,0.6
45,,20,,South Florida,,,52,,,,,,,,,Roddy Peters (college),50,,,,46,,48,,,,,44,,,58,
46,,30,,Arkansas,,,43,,,,,,,,,Moses Kingsley (college),60,,,,47,,63,,,,,40,,,48,
47,,47,,,,,56,,,,,,,,,Brandon Austin,48,,,,48,,45,,,,,39,,,50,
48,,81,,"University of California, Los Angeles",,2014,50,,2015,,,"Bothell (Bothell, WA)",,,13,Zach LaVine (college),45,,,,49,1,44,,,,,27,MIN,2018,49,5.2
49,,56,,Louisville,,,48,,,,,,,,,Anton Gill (college),57,,,,50,,50,,,,,48,,,47,
50,,36,,Indiana University,,,54,,2017,,,"Oak Hill Academy (Mouth of Wilson, VA)",,,,Troy Williams (college),51,,,,51,,47,,,,,67,,2018,52,1.8
51,,69,,Iowa State,,,51,,,,,,,,,Matt Thomas (college),49,,,,52,,54,,,,,58,,,46,
52,,17,,University of Louisville,,2015,,,2016,,,"Hargrave Military Academy (Chatham, VA)",,,16,Terry Rozier (college),29,,,,53,1,,,,,,15,BOS,2018,65,6.7
53,,51,,Iowa State,,,39,,,,,,,,,Deonte Burton (college),79,,,,54,,52,,,,,54,,,54,
54,,54,,West Virginia University,,,42,,,,,"Montverde Academy (Montverde, FL)",,,,Devin Williams (college),75,,,,55,,64,,,,,57,,,40,
55,,57,,University of North Carolina,,,59,,,,,"West Charlotte (Charlotte, NC)",,,,Kennedy Meeks (college),54,,,,56,,57,,,,,68,,,45,
56,,60,,Illinois,,,61,,,,,,,,,Kendrick Nunn (college),59,,,,57,,60,,,,,52,,,55,
57,,58,,Baylor,,,60,,,,,,,,,Ish Wainright (college),66,,,,58,,55,,,,,62,,,63,
58,,68,,Marquette,,,53,,,,,,,,,Duane Wilson (college),67,,,,59,,51,,,,,71,,,61,
59,,61,,Florida,,,64,,,,,,,,,John Egbunu (college),68,,,,60,,83,,,,,56,,,57,
60,,70,,Rhode Island,,,99,,,,,,,,,Stanford Robinson (college),58,,,,61,,56,,,,,59,,,56,
61,,85,,Baylor,,,72,,,,,,,,,Allerik Freeman (college),44,,,,62,,81,,,,,61,,,59,
62,,78,,Purdue,,,65,,,,,,,,,Kendall Stephens (college),65,,,,63,,61,,,,,66,,,69,
63,,80,,Texas Christian,,,77,,,,,,,,,Karviar Shepherd (college),53,,,,64,,65,,,,,69,,,62,
64,,,,North Carolina State,,,67,,,,,,,,,Beejay Anya (college),56,,,,T64,,58,,,,,60,,,64,
65,,76,,Ohio State,,,62,,,,,,,,,Marc Loving (college),71,,,,66,,67,,,,,63,,,74,
66,,77,,Alabama,,,69,,,,,,,,,Jimmie Taylor (college),62,,,,67,,69,,,,,70,,,68,
67,,45,,Tennessee,,,,,,,,,,,,Detrick Mostella (college),70,,,,68,,53,,,,,84,,,81,
68,,72,,Brigham Young,,,45,,,,,,,,,Nick Emery (college),98,,,,69,,89,,,,,78,,,60,
69,,,,Illinois,,,66,,,,,,,,,Malcolm Hill (college),69,,,,70,,62,,,,,72,,,75,
70,,,,Marquette,,,34,,,,,,,,,Luke Fischer (college),78,,,,71,,94,,,,,79,,,67,
71,,,,Oklahoma State,,,68,,,,,,,,,Stevie Clark (college),76,,,,72,,70,,,,,73,,,70,
72,,64,,University of Oregon,,2017,78,,2018,,,"Long Beach Poly (Long Beach, CA)",,,38,Jordan Bell (college),73,,,,73,2,68,,,,,,CHI,2018,82,2.9
73,,79,,Louisiana State University,,,80,,2017,,,"Johnson (Savannah, GA)",,,,Tim Quarterman (college),82,,,,74,,71,,,,,80,,2018,78,-0.1
74,,88,,Georgetown,,,63,,,,,,,,,Reggie Cameron (college),61,,,,75,,88,,,,,,,,72,
75,,84,,Ohio State,,,58,,,,,,,,,Kam Williams (college),,,,,76,,79,,,,,87,,,66,
76,,100,,University of Notre Dame,,,70,,,,,"New Haven (New Haven, IN)",,,,V.J. Beachem (college),86,,,,77,,86,,,,,65,,,73,
77,,,,Villanova,,,73,,,,,,,,,Kris Jenkins (college),77,,,,78,,74,,,,,74,,,86,
78,,66,,University of Wisconsin,,,,,,,,"Aquinas (La Crosse, WI)",,,,Bronson Koenig (college),46,,,,79,,73,,,,,,,,,
79,,38,,California-Irvine,,,74,,,,,,,,,Mamadou Ndiaye (college),,,,,80,,85,,,,,,,,90,
80,,71,,Memphis,,,,,,,,,,,,Markel Crawford (college),64,,,,81,,59,,,,,,,,,
81,,63,,,,2016,81,,2017,,,"Scotlandville Magnet (Baton Rouge, LA)",,,30,Damian Jones (college),89,,,,82,1,77,,,,,,GSW,2018,91,0.1
82,,74,,Tennessee,,,90,,,,,,,,,Dominic Woodson (college),74,,,,83,,80,,,,,99,,,88,
83,,93,,IPFW,,,,,,,,,,,,Bryson Scott (college),72,,,,84,,75,,,,,83,,,83,
84,,41,,,,,,,,,,,,,,Aquille Carr,63,,,,85,,,,,,,,,,,
85,,,,University of Pittsburgh,,,57,,,,,"St. Benedict's Prep (Newark, NJ)",,,,Michael Young (college),80,,,,T85,,,,,,,93,,,76,
86,,92,,Missouri,,,79,,,,,,,,,Wes Clark (college),87,,,,87,,72,,,,,86,,,97,
87,,96,,Georgetown,,,75,,,,,,,,,Akoy Agau (college),81,,,,88,,87,,,,,,,,77,
88,,53,,University of Kansas,,2017,,,2018,,,"Petersburg (Petersburg, VA)",,,34,Frank Mason (college),88,,,,89,2,76,,,,,,SAC,2018,,0.5
89,,91,,Connecticut,,,98,,,,,,,,,Kentan Facey (college),84,,,,90,,66,,,,,,,,85,
90,,,,Harvard,,,,,,,,,,,,Zena Edosomwan (college),100,,,,91,,82,,,,,76,,,71,
91,,,,San Diego State,,,,,,,,,,,,Dakarai Allen (college),,,,,92,,,,,,,49,,,79,
92,,75,,North Carolina,,,,,,,,,,,,Nate Britt (college),91,,,,93,,90,,,,,,,,80,
93,,,,Villanova University,,2017,92,,2018,,,"Sidwell Friends (Washington, DC)",,,30,Josh Hart (college),,,,,94,1,84,,,,,64,UTA,2018,100,3.4
94,,46,,,,,,,,,,,,,,Anthony January,,,,,95,,,,,,,,,,,
95,,,,Stanford,,,,,,,,,,,,Marcus Allen (college),,,,,96,,,,,,,47,,,,
96,,99,,La Salle,,,95,,,,,,,,,Pookie Powell (college),,,,,97,,95,,,,,77,,,89,
97,,,,Utah Valley,,,86,,,,,,,,,Brandon Randolph (college),,,,,98,,,,,,,81,,,87,
98,,97,,Cincinnati,,,97,,,,,,,,,Kyle Washington (college),96,,,,99,,93,,,,,92,,,84,
99,,,,Colorado,,,76,,,,,,,,,Tre'Shaun Fletcher (college),,,,,100,,,,,,,90,,,92,
0,,,,University of Kentucky,1,2013,,,2015,,,"Tilton (Tilton, NH)",1,2,6,Nerlens Noel (college),,2,,,1,1,,1,,,,,NOH,2018,2,16.2
1,,,,"University of California, Los Angeles",2,2013,,,2014,,,"Bishop Gorman (Las Vegas, NV)",2,1,14,Shabazz Muhammad (college),,1,,,T1,1,,2,,,,,UTA,2018,1,9.2
2,,,,Baylor,3,,,,,,,,5,3,,Isaiah Austin (college),,4,,,3,,,3,,,,,,,4,
3,,,,"University of California, Los Angeles",5,2014,,,2015,,,"St. Anthony's (Jersey City, NJ)",3,4,30,Kyle Anderson (college),,3,,,T3,1,,4,,,,,SAS,2018,3,12.7
4,,,,University of Pittsburgh,6,2013,,,2014,,,"Notre Dame Preparatory School (Fitchburg, MA)",4,6,12,Steven Adams (college),,5,,,5,1,,5,,,,,OKC,2018,6,29.6
5,,,,"University of Nevada, Las Vegas",7,2013,,,2014,,,"Findlay College Prep (Henderson, NV)",11,5,1,Anthony Bennett (college),,7,,,6,1,,8,,,,,CLE,2017,5,0.5
6,,,,University of Arizona,4,,,,,,,"St. Mark's (Southborough, MA)",10,8,,Kaleb Tarczewski (college),,9,,,7,,,6,,,,,,,7,
7,,,,University of Kentucky,13,,,,2017,,,"Northeast (Clarksville, TN)",12,7,,Alex Poythress (college),,8,,,8,,,7,,,,,,2018,12,0.5
8,,,,Oklahoma State University,10,2014,,,2015,,,"Edward S. Marcus (Flower Mound, TX)",6,13,6,Marcus Smart (college),,10,,,9,1,,13,,,,,BOS,2018,8,10.9
9,,,,University of Kentucky,15,2013,,,2014,,,"Sylvan Hills (Sherwood, AR)",7,11,29,Archie Goodwin (college),,14,,,10,1,,14,,,,,OKC,2017,16,1.8
10,,,,University of Arizona,9,2013,,,2015,,,"Lutheran (La Verne, CA)",14,21,40,Grant Jerrett (college),,15,,,11,2,,9,,,,,POR,2015,10,-0.3
11,,,,University of Maryland,12,,,,,,,"Strake Jesuit (Houston, TX)",20,12,,Rasheed Sulaimon (college),,18,,,12,,,12,,,,,,,15,
12,,,,,21,2013,,,2014,,,"South Kent (South Kent, CT)",18,9,43,Ricky Ledo,,6,,,13,2,,17,,,,,MIL,2015,19,-1.1
13,,,,Texas,8,,,,,,,,9,26,,Cameron Ridley (college),,29,,,14,,,11,,,,,,,9,
14,,,,University of Arizona,16,,,,,,,"Findlay Prep (Henderson, NV)",17,16,,Brandon Ashley (college),,23,,,15,,,10,,,,,,,13,
15,,,,Michigan State University,11,2014,,,2015,,,"Hamilton Southeastern (Fishers, IN)",13,20,19,Gary Harris (college),,25,,,16,1,,16,,,,,CHI,2018,18,13.4
16,,,,University of Connecticut,20,,,,2018,,,"Upper Room Christian Academy (Raleigh, NC)",23,15,,Rodney Purvis (college),,12,,,17,,,18,,,,,,2018,17,-0.3
17,,,,Syracuse,14,,,,,,,,8,18,,Dajuan Coleman (college),,26,,,18,,,19,,,,,,,22,
18,,,,University of Wisconsin,17,2015,,,2016,,,"Sheboygan Lutheran (Sheboygan, WI)",30,31,18,Sam Dekker (college),,13,,,19,1,,15,,,,,HOU,2018,14,4.3
19,,,,Providence College,23,2016,,,2017,,,"New London (New London, CT)",28,10,5,Kris Dunn (college),,16,,,20,1,,23,,,,,MIN,2018,21,1.0
20,,,,Duke University,25,,,,,,,"Friends' Central (Wynnewood, PA)",16,23,,Amile Jefferson (college),,36,,,21,,,21,,,,,,,11,
21,,,,Houston,28,,,,,,,,19,19,,Devonta Pollard (college),,22,,,22,,,25,,,,,,,27,
22,,,,University of Michigan,18,,,,2015,,,"Lake Central (St. John, IN)",39,17,,Glenn Robinson (college),,11,,,23,,,29,,,,,,2018,28,4.1
23,,,,UCLA,26,,,,,,,,21,25,,Tony Parker (college),,27,,,24,,,20,,,,,,,24,
24,,,,Indiana University,24,,,,2017,,,"Park Tudor (Indianapolis, IN)",33,14,,Yogi Ferrell (college),,19,,,25,,,30,,,,,,2018,25,6.6
25,,,,University of Michigan,27,2014,,,2015,,,"Brewster Academy (Wolfeboro, NH)",15,27,21,Mitch McGary (college),,30,,,26,1,,26,,,,,OKC,2016,23,1.3
26,,,,North Carolina State University,29,2014,,,2015,,,"Brewster Academy (Wolfeboro, NH)",29,24,14,T.J. Warren (college),,17,,,27,1,,27,,,,,PHO,2018,26,10.9
27,,,,University of North Carolina,22,2016,,,2018,,,"Linn-Marr (Marion, IA)",32,28,55,Marcus Paige (college),,34,,,28,2,,35,,,,,BRK,2018,20,-0.0
28,,,,Texas A&M University,19,,,,2017,,,"Hightower (Missouri City, TX)",37,39,,Danuel House (college),,20,,,29,,,31,,,,,,2018,32,0.6
