,#,,Player,CO,Pos,Age,HT,WT,WS,Pts,Reb,Ast,PER,Team,League,NBA EWA
0,1,,Markelle Fultz,,PG,18.7,"6'4""",195,"6'9 ¾""",6.0,2.3,1.8,5.7,,NBA,-0.19
1,2,,Lonzo Ball,,PG,19.3,"6'6""",190,"6'7""",10.2,7.1,7.0,12.8,,NBA,1.23
2,3,,Jayson Tatum,,SF,19,"6'8""",204,"6'11""",13.4,5.0,1.4,14.8,,NBA,3.74
3,4,,Josh Jackson,,SF,20,"6'8""",203,"6'9 ¾""",11.4,4.3,1.3,11.1,,NBA,0.18
4,5,,De'Aaron Fox,,PG,19.2,"6'4""",171,"6'6 ½""",11.4,2.6,4.4,11.9,,NBA,0.76
5,6,,Jonathan Isaac,,SF/PF,19.4,"6'11""",205,"7'1 ¼""",7.0,3.0,0.5,5.6,,G-League,-0.24
6,7,,Lauri Markkanen,,PF,19.8,"7'0""",225,-,14.8,7.6,1.2,15.0,,NBA,3.45
7,8,,Frank Ntilikina,,PG,18.6,"6'5""",170,-,5.4,2.2,3.1,7.0,,NBA,-2.31
8,9,,Dennis Smith,,PG,19.3,"6'3""",195,"6'3""",14.6,3.9,4.8,13.0,,NBA,1.66
9,10,,Zach Collins,,PF/C,19.4,"7'0""",230,"7'1""",4.1,3.4,0.8,7.5,,NBA,-1.13
10,11,,Malik Monk,,SG,19.1,"6'4""",197,"6'3 ½""",25.0,8.0,4.0,12.4,,G-League,-0.77
11,12,,Luke Kennard,,SG,20.7,"6'6""",202,"6'5 ¼""",26.0,4.0,3.0,27.8,,G-League,0.12
12,13,,Donovan Mitchell,,SG,20.5,"6'3""",210,"6'10""",19.6,3.5,3.5,17.2,,NBA,5.92
13,14,,Bam Adebayo,,C,19.6,"6'10""",250,"7'2 ¾""",7.3,5.4,1.6,16.3,,NBA,2.89
14,15,,Justin Jackson,,SF,21.9,"6'8""",193,"6'11""",17.8,6.2,2.2,14.6,,G-League,-0.77
15,16,,Justin Patton,,C,19.7,"7'0""",226,"7'3""",0.0,0.0,0.0,0.0,,NBA,0
16,17,,D.J. Wilson,,PF,21,"6'10""",240,"7'3""",0.8,0.4,0.1,7.5,,NBA,-0.10
17,18,,T.J. Leaf,,PF,19.8,"6'10""",220,"6'11""",23.3,8.3,0.3,24.8,,G-League,-0.13
18,19,,John Collins,,PF,19.4,"6'10""",225,"6'11 ¼""",10.1,7.1,1.0,18.2,,NBA,4.53
19,20,,Harry Giles,,C,18.8,"6'11""",222,"7'3 ¼""",0.0,0.0,0.0,0.0,,NBA,0
20,21,,Terrance Ferguson,,SG/SF,18.8,"6'7""",186,"6'8 ¾""",14.7,4.0,1.0,11.3,,G-League,-1.30
21,22,,Jarrett Allen,,C,18.9,"6'11""",224,"7'5 ¼""",7.9,5.2,0.7,17.6,,NBA,3.34
22,23,,OG Anunoby,,SF/PF,19.6,"6'8""",215,"7'2 ¼""",5.9,2.5,0.8,9.5,,NBA,-0.81
23,24,,Tyler Lydon,,SF/PF,20.9,"6'10""",225,"7'0""",12.7,8.3,2.1,16.9,,G-League,-0.01
24,25,,Anzejs Pasecniks,,C,21.2,"7'2""",229,-,7.3,4.0,0.3,15.0,,ACB,-
25,26,,Caleb Swanigan,,PF/C,19.9,"6'9""",247,"7'3""",14.2,11.9,2.6,18.1,,G-League,-0.29
26,27,,Kyle Kuzma,,PF,21.6,"6'9""",221,"7'0 ¼""",15.4,5.9,1.8,14.5,,NBA,3.20
27,28,,Tony Bradley,,C,19.1,"6'10""",248,"7'5""",15.6,9.6,1.4,20.7,,G-League,-0.01
28,29,,Derrick White,,PG/SG,22.7,"6'5""",200,"6'7 ½""",2.5,1.4,0.5,13.3,,NBA,0.15
29,30,,Josh Hart,,SG,22,"6'6""",204,"6'8 ¼""",18.0,5.5,2.0,16.9,,G-League,0.10
30,31,,Frank Jackson,,SG,18.8,"6'4""",208,"6'7 ½""",0.0,0.0,0.0,0.0,,NBA,0
31,32,,Davon Reed,,SG,21.7,"6'6""",208,"7'0""",11.0,5.2,2.7,9.8,,G-League,-0.27
32,33,,Wesley Iwundu,,SG,22.2,"6'7""",205,"7'1""",3.5,2.1,0.9,9.1,,NBA,-0.52
33,34,,Frank Mason,,PG,22.9,"5'11""",185,"6'3 ¼""",7.4,2.1,2.9,12.7,,NBA,0.57
34,35,,Ivan Rabb,,PF/C,20.1,"6'10""",215,"7'1 ½""",15.2,9.4,2.1,22.9,,G-League,0.51
35,36,,Jonah Bolden,,PF,21.2,"6'10""",227,-,6.8,5.8,1.7,16.6,,EuroLeague,-
36,37,,Semi Ojeleye,,SF/PF,22.2,"6'7""",235,"6'9 ¾""",2.3,1.9,0.2,4.0,,NBA,-2.56
37,38,,Jordan Bell,,PF,22.1,"6'9""",227,"6'11 ¾""",5.1,3.8,1.8,18.2,,NBA,2.04
38,39,,Jawun Evans,,PG,20.6,"6'1""",177,"6'5 ½""",4.0,4.0,4.0,-1.1,,G-League,-1.12
39,40,,Dwayne Bacon,,SF,21.5,"6'5""",202,"6'10""",26.5,6.8,4.3,18.8,,G-League,-1.48
40,41,,Tyler Dorsey,,SG,21,"6'4""",180,"6'5 ¼""",19.2,6.5,2.5,17.9,,G-League,-0.10
41,42,,Thomas Bryant,,C,19.6,"6'10""",241,"7'6""",19.2,7.4,1.8,23.2,,G-League,0.02
42,43,,Isaiah Hartenstein,,PF/C,18.8,"7'0""",225,"7'2 ¼""",9.5,6.7,1.2,19.2,,G-League,-
43,44,,Damyean Dotson,,SG,22.8,"6'5""",202,"6'9""",17.9,6.1,2.5,15.6,,G-League,-0.14
44,45,,Dillon Brooks,,SF,21.1,"6'7""",215,"6'6""",9.0,3.1,1.4,8.3,,NBA,-2.04
45,46,,Sterling Brown,,SG,22,"6'6""",230,"6'9 ½""",21.7,6.0,2.0,17.3,,G-League,-0.26
46,48,,Sindarius Thornwell,,SG,22.5,"6'5""",214,"6'10""",14.0,10.0,4.0,7.0,,G-League,-1.08
47,49,,Vlatko Cancar,,PF,19.9,"6'8""",210,"6'11""",12.9,5.3,1.7,15.5,,Adriatic,-
48,50,,Mathias Lessort,,PF/C,21.4,"6'9""",250,-,9.2,5.9,0.7,19.5,,EuroLeague,-
49,51,,Monte Morris,,PG,21.7,"6'3""",175,"6'4""",18.0,4.5,6.4,19.2,,G-League,0.19
50,52,,Edmond Sumner,,PG,21.2,"6'5""",170,"6'9""",0.0,0.0,0.0,0.0,,NBA,0
51,53,,Kadeem Allen,,PG,24.1,"6'3""",200,"6'9 ¼""",18.5,5.6,4.9,19.9,,G-League,-0.16
52,54,,Alec Peters,,PF,21.9,"6'9""",225,"6'10 ¾""",1.8,2.0,0.8,6.1,,NBA,-0.19
53,55,,Nigel Williams-Goss,,PG,22.4,"6'4""",182,"6'7 ¼""",16.9,3.7,6.9,20.7,,Adriatic,-
54,56,,Jabari Bird,,SG,22.7,"6'6""",199,"6'8""",19.3,5.8,2.7,18.6,,G-League,-0.05
55,47,,Ike Anigbogu,,C,18.4,"6'10""",230,"7'6 ¼""",1.3,0.9,0.0,22.3,,NBA,0.16
56,57,,Aleksandar Vezenkov,,SF/PF,21.6,"6'9""",225,-,4.0,2.1,0.6,16.5,,EuroLeague,-
57,58,,Ognjen Jaramaz,,PG,21.5,"6'4""",193,"6'5 ½""",10.8,3.4,3.8,14.0,,Adriatic,-
58,59,,Jaron Blossomgame,,SF/PF,23.4,"6'7""",214,"6'10""",15.4,7.9,1.3,19.2,,G-League,-
59,60,,Alpha Kaba,,C,21.1,"6'10""",226,"7'5 ¼""",5.4,5.7,0.8,22.4,,France,-
