,#,,Player,CO,Pos,Age,HT,WT,WS,Pts,Reb,Ast,PER,Team,League,NBA EWA
0,1,,Derrick Rose,,PG,19.4,"6'2""",196,"6'7""",0.0,0.0,0.0,0.0,,NBA,6.17
1,2,,Michael Beasley,,PF,19.1,"6'8""",239,"7'0""",12.6,5.4,1.4,18.1,,NBA,3.11
2,3,,O.J. Mayo,,PG/SG,20.3,"6'4""",200,"6'6""",7.8,2.6,2.9,7.7,,NBA,2.70
3,4,,Russell Westbrook,,PG,19.3,"6'3""",192,"6'7 ¾""",24.8,9.6,10.4,25.2,,NBA,16.93
4,5,,Kevin Love,,PF,19.5,"6'9""",255,"6'11 ¼""",17.9,9.3,1.6,22.6,,NBA,11.88
5,6,,Danilo Gallinari,,SF,19.6,"6'9""",209,-,15.9,4.9,2.1,14.7,,NBA,3.74
6,7,,Eric Gordon,,SG,19.2,"6'3""",222,"6'9""",18.5,2.3,2.4,15.5,,NBA,3.62
7,8,,Joe Alexander,,PF,21.2,"6'8""",220,"6'11 ½""",15.7,6.0,1.7,21.1,,Israel,-0.18
8,9,,D.J. Augustin,,PG,20.3,"5'11""",172,"6'3 ½""",9.0,1.9,3.3,15.2,,NBA,1.97
9,10,,Brook Lopez,,C,19.9,"7'0""",256,"7'5 ½""",11.7,3.8,1.5,15.0,,NBA,9.49
10,11,,Jerryd Bayless,,PG/SG,19.5,"6'3""",204,"6'3""",7.9,2.1,1.4,7.9,,NBA,0.83
11,12,,Jason Thompson,,C,21.6,"6'11""",250,-,5.9,4.2,1.0,15.4,,EuroLeague,2.14
12,13,,Brandon Rush,,SG/SF,22.6,"6'6""",211,"6'11 ¼""",0.0,0.0,0.0,0.0,,NBA,-0.50
13,14,,Anthony Randolph,,SF/PF,18.6,"6'10""",197,"7'3""",9.6,3.8,1.4,19.5,,EuroLeague,1.55
14,15,,Robin Lopez,,PF/C,19.9,"7'0""",255,-,12.3,4.7,2.0,14.7,,NBA,4.48
15,16,,Marreese Speights,,PF/C,20.6,"6'10""",245,-,7.9,2.7,0.8,14.2,,NBA,2.98
16,17,,Roy Hibbert,,C,21.2,"7'2""",272,-,5.2,3.6,0.5,13.6,,NBA,3.80
17,18,,JaVale McGee,,C,20.1,"7'0""",241,"7'6""",4.2,2.0,0.5,20.6,,NBA,3.15
18,19,,J.J. Hickson,,PF,19.5,"6'9""",242,-,28.9,14.8,2.5,29.3,,China,3.08
19,20,,Alexis Ajinca,,C,19.8,"7'1""",225,"7'8 ¾""",0.0,0.0,0.0,0.0,,NBA,0.88
20,21,,Ryan Anderson,,PF,19.8,"6'10""",240,-,10.0,5.3,0.9,12.5,,NBA,4.79
21,22,,Courtney Lee,,SG/SF,22.4,"6'5""",200,-,12.7,3.2,2.7,13.4,,NBA,1.31
22,23,,Kosta Koufos,,C,19,"7'1""",245,-,6.1,6.2,1.1,15.8,,NBA,2.20
23,24,,Serge Ibaka,,PF,18.4,"6'10""",220,"7'3""",13.1,6.2,0.8,15.1,,NBA,6.11
24,25,,Nicolas Batum,,SF,19.2,"6'8""",214,"7'0 ¾""",11.9,4.4,5.1,14.2,,NBA,4.73
25,26,,George Hill,,PG/SG,21.8,"6'2""",181,"6'9""",10.3,2.7,2.8,14.0,,NBA,3.76
26,27,,Darrell Arthur,,PF,20.3,"6'8""",216,"6'10 ¾""",3.2,1.0,0.6,8.2,,NBA,0.65
27,28,,Donte Greene,,SF/PF,20,"6'9""",221,"6'10""",18.5,5.0,1.5,12.3,,Dominican Republic,-0.42
28,29,,D.J. White,,PF,21.5,"6'9""",230,-,12.4,5.2,1.3,20.1,,Turkey 2,0.55
29,30,,J.R. Giddens,,SG,23,"6'5""",208,"6'11 ¼""",18.9,6.0,2.6,20.2,,Mexico LNBP,-0.05
30,31,,Nikola Pekovic,,C,22,"6'11""",243,-,4.5,1.8,0.9,6.5,,NBA,4.31
31,32,,Walter Sharpe,,PF,21.6,"6'9""",245,-,7.6,5.7,1.2,16.1,,Mexico LNBP,-0.06
32,33,,Joey Dorsey,,PF,24.2,"6'7""",265,"7'1 ¾""",8.7,9.2,1.5,21.6,,Turkey,0.23
33,34,,Mario Chalmers,,PG,21.8,"6'1""",190,-,7.6,2.5,3.1,10.0,,NBA,1.49
34,35,,DeAndre Jordan,,C,19.6,"6'11""",250,"7'6""",11.8,14.9,1.4,18.4,,NBA,8.16
35,36,,Omer Asik,,C,21.6,"6'11""",230,"7'2 ¼""",1.3,2.6,0.1,4.1,,NBA,1.33
36,37,,Luc Richard Mbah A Moute,,PF,21.5,"6'7""",221,"7'0 ½""",7.6,3.2,1.0,9.5,,NBA,-0.20
37,38,,Kyle Weaver,,PG/SG,22,"6'6""",201,-,13.4,4.4,3.4,21.0,,Germany,-0.13
38,39,,Sonny Weems,,SG/SF,21.6,"6'5""",193,"6'10""",30.6,7.6,5.9,23.6,,China,-0.25
39,40,,Chris Douglas-Roberts,,SG/SF,21.1,"6'7""",200,-,19.0,4.3,2.0,16.2,,G-League,0.25
40,41,,Nathan Jawai,,C,21.4,"6'10""",282,-,5.4,2.7,1.3,13.6,,Australia,-0.07
41,42,,Sean Singletary,,PG,22.5,"6'0""",184,"6'4 ½""",4.3,0.7,3.7,6.8,,G-League,-0.31
42,43,,Patrick Ewing Jr,,SF/PF,23.8,"6'7""",224,"7'0 ½""",2.3,2.1,0.6,4.9,,Greece,-0.10
43,44,,Ante Tomic,,C,21,"7'2""",220,-,7.1,4.9,2.2,22.5,,ACB,-
44,45,,Goran Dragic,,PG,21.8,"6'4""",200,-,17.5,4.1,4.9,17.1,,NBA,5.31
45,46,,Trent Plaisted,,C,21.4,"6'10""",240,"6'10 ½""",10.7,7.3,2.6,15.4,,Germany,-
46,47,,Bill Walker,,SF,20.4,"6'6""",225,-,4.5,1.5,0.0,5.0,,Turkey,-0.02
47,48,,Malik Hairston,,SF,21,"6'5""",204,"6'9""",6.0,5.0,1.0,22.2,,Israel,0.09
48,49,,Richard Hendrix,,PF,21.3,"6'8""",250,"7'3""",8.5,6.2,1.3,20.4,,Turkey,-
49,50,,DeVon Hardin,,C,21.5,"6'11""",235,"7'3""",7.6,5.5,0.3,16.0,,Brazil,-
50,51,,Shan Foster,,SG,21.5,"6'5""",195,"6'11 ½""",5.9,1.7,1.0,11.5,,G-League,-
