Season,Team,Tempo,RankTempo,AdjTempo,RankAdjTempo,AdjOE,RankAdjOE,AdjOE,RankAdjOE,AdjDE,RankAdjDE,AdjDE,RankAdjDE,AdjEM,RankAdjEM
2006,"Air Force",57.2267,331,54.6866,332,113.222,21,113.222,21,98.3481,89,98.3481,89,14.8736,40
2006,Akron,64.9924,250,64.1213,227,111.069,45,111.069,45,101.791,146,101.791,146,9.27745,83
2006,Alabama,64.7805,255,63.3502,249,112.792,28,112.792,28,100.307,118,100.307,118,12.4845,60
2006,"Alabama A&M",75.8647,3,73.3501,3,94.4956,292,94.4956,292,104.142,190,104.142,190,-9.64623,268
2006,"Alabama St.",69.3314,87,66.1146,129,94.0255,295,94.0255,295,107.541,251,107.541,251,-13.515,290
2006,Albany,64.1901,273,63.8414,236,106.198,112,106.198,112,103.564,180,103.564,180,2.63414,138
2006,"Alcorn St.",71.754,30,68.3838,59,92.9719,306,92.9719,306,109.363,282,109.363,282,-16.3913,310
2006,American,65.3317,234,63.7086,242,98.4921,240,98.4921,240,107.109,241,107.109,241,-8.61684,257
2006,"Appalachian St.",66.5317,189,64.1071,229,100.558,207,100.558,207,107.807,256,107.807,256,-7.24958,238
2006,Arizona,69.1763,92,67.6506,78,112.187,35,112.187,35,94.9533,40,94.9533,40,17.2341,23
2006,"Arizona St.",66.3377,196,64.8026,189,104.819,135,104.819,135,102.562,157,102.562,157,2.25707,141
2006,Arkansas,68.2273,124,65.9701,133,112.245,34,112.245,34,93.7757,29,93.7757,29,18.4692,20
2006,"Arkansas Little Rock",66.7812,179,64.6439,200,95.6457,281,95.6457,281,100.93,127,100.93,127,-5.28461,215
2006,"Arkansas Pine Bluff",69.9731,64,66.7215,108,85.0484,332,85.0484,332,97.4735,80,97.4735,80,-12.4251,284
2006,"Arkansas St.",69.9151,66,67.2322,95,104.66,137,104.66,137,110.006,290,110.006,290,-5.34541,216
2006,Army,61.921,316,60.4172,313,87.8948,329,87.8948,329,114.393,325,114.393,325,-26.4979,331
2006,Auburn,66.342,194,65.2237,168,104.21,146,104.21,146,98.6326,92,98.6326,92,5.57776,113
2006,"Austin Peay",67.9252,133,66.7155,110,102.766,171,102.766,171,105.975,219,105.975,219,-3.20912,195
2006,"Ball St.",63.7339,286,63.2853,252,98.165,243,98.165,243,101.668,142,101.668,142,-3.5027,199
2006,Baylor,66.1727,203,65.4708,157,102.589,176,102.589,176,102.406,153,102.406,153,0.183439,154
2006,Belmont,71.992,28,69.1408,42,107.083,94,107.083,94,107.817,257,107.817,257,-0.733396,165
2006,"Bethune Cookman",68.3552,119,66.4453,119,95.2933,286,95.2933,286,109.317,280,109.317,280,-14.0238,294
2006,Binghamton,63.6309,290,63.2744,253,95.8334,276,95.8334,276,99.0255,96,99.0255,96,-3.19208,194
2006,"Birmingham Southern",60.4115,324,58.2286,327,108.985,74,108.985,74,111.248,303,111.248,303,-2.26311,186
2006,"Boise St.",71.4336,36,69.8102,31,101.791,189,101.791,189,100.008,115,100.008,115,1.7836,143
2006,"Boston College",64.2986,270,61.5408,301,117.807,4,117.807,4,99.1607,99,99.1607,99,18.6461,18
2006,"Boston University",60.5703,323,59.2532,323,97.0784,261,97.0784,261,100.952,128,100.952,128,-3.87316,203
2006,"Bowling Green",67.5859,149,66.3593,120,97.487,253,97.487,253,106.276,230,106.276,230,-8.78917,260
