RSCI,Player,Draft,Year
13,Willie Warren,2010,2008
14,Chris Singleton,2011,2008
15,Kemba Walker,2011,2008
T15,Elliot Williams,2010,2008
17,JaMychal Green,,2008
18,Tyler Zeller,2012,2008
19,Luke Babbitt,2010,2008
20,Malcolm Lee,2011,2008
21,DeQuan Jones,,2008
22,Michael Dunigan,,2008
T22,Iman Shumpert,2011,2008
24,Trey Thompkins,2011,2008
25,J'Mison Morgan,,2008
26,Eloy Vargas,,2008
27,Rashanti Harris,,2008
T27,Jeff Withey,2013,2008
29,Drew Gordon,,2008
30,Devin Ebanks,2010,2008
31,Yancy Gates,,2008
T31,Mike Rosario,,2008
33,Sylven Landesberg,,2008
34,DeAndre Liggins,2011,2008
35,Kenny Kadji,,2008
T35,Darius Miller,2012,2008
37,Ty Walker,,2008
38,Wesley Witherspoon,,2008
39,Tony Mitchell,,2008
40,Anthony Jones,,2008
41,Tony Woods,,2008
T41,Jerime Anderson,,2008
43,Emmanuel Negedu,,2008
44,Larry Drew,,2008
T44,Romero Osby,,2008
46,Mookie Jones,,2008
47,Kevin Jones,,2008
48,Kenny Frease,,2008
49,Travis Releford,,2008
50,Sean Mosley,,2008
51,Henry Sims,,2008
52,John Riek,,2008
53,Terrelle Pryor,,2008
54,Angel Garcia,,2008
55,Xavier Gibson,,2008
56,Kris Joseph,2012,2008
57,Terrence Jennings,,2008
58,Klay Thompson,2011,2008
59,J'Covan Brown,,2008
60,D.J. Seeley,,2008
61,Ray Shipman,,2008
62,Jason Clark,,2008
63,Marcus Morris,2011,2008
64,Ralph Sampson,,2008
65,Catalin Baciu,,2008
66,Olek Czyz,,2008
67,Markieff Morris,2011,2008
68,Elston Turner,,2008
69,Scott Suggs,,2008
70,Renaldo Woolridge,,2008
71,Chris Braswell,,2008
72,Storm Warren,,2008
73,Tyshawn Taylor,2012,2008
74,Terrance Henry,,2008
T74,Ater Majok,2011,2008
76,Allan Chaney,,2008
78,Matt Simpkins,,2008
79,Erving Walker,,2008
80,Courtney Fortson,,2008
81,Miles Plumlee,2012,2008
82,David Loubeau,,2008
83,Anthony Booker,,2008
84,Latavious Williams,2010,2008
85,Nasir Robinson,,2008
86,Rotnei Clarke,,2008
87,Korie Lucious,,2008
88,Nick Williams,,2008
89,Matt Gatens,,2008
90,Quintrell Thomas,,2008
91,Nate Miles,,2008
93,Cashmere Wright,,2008
94,Gregory Echenique,,2008
95,Paul Williams,,2008
T95,Jeff Taylor,2012,2008
95,Draymond Green,2012,2008
98,Devoe Joseph,,2008
99,Roscoe Davis,,2008
100,Delwan Graham,,2008
T100,Jared Berggren,,2008
100,Anthony Crater,,2008
1,O.J. Mayo,2008,2007
2,Kevin Love,2008,2007
3,Eric Gordon,2008,2007
4,Michael Beasley,2008,2007
5,Derrick Rose,2008,2007
6,Kyle Singler,2011,2007
7,Jerryd Bayless,2008,2007
8,Donte Greene,2008,2007
9,J.J. Hickson,2008,2007
10,Patrick Patterson,2010,2007
11,Nick Calathes,2009,2007
12,Kosta Koufos,2008,2007
13,DeAndre Jordan,2008,2007
14,Austin Freeman,,2007
15,Anthony Randolph,2008,2007
16,Blake Griffin,2009,2007
17,James Harden,2009,2007
18,Nolan Smith,2011,2007
19,Gani Lawal,2010,2007
20,Jonny Flynn,2009,2007
21,Corey Fisher,,2007
22,Cole Aldrich,2010,2007
23,E'Twaun Moore,2011,2007
24,Solomon Alabi,2010,2007
25,Jamelle Horne,,2007
26,Corey Stokes,,2007
27,Taylor King,,2007
28,James Anderson,2010,2007
29,Gary Johnson,,2007
30,Durrell Summers,,2007
31,Chris Wright,,2007
32,Herb Pope,,2007
33,Jai Lucas,,2007
34,Austin Daye,2009,2007
35,Kalin Lucas,,2007
36,DeJuan Blair,2009,2007
37,Lacedarius Dunn,,2007
38,Alex Legion,,2007
39,Chandler Parsons,2011,2007
40,Chris Allen,,2007
41,Dar Tucker,,2007
42,Manny Harris,,2007
43,Scott Martin,,2007
44,Senario Hillman,,2007
45,Mac Koshwal,,2007
46,James Johnson,2009,2007
47,JaJuan Johnson,2011,2007
48,Jeff Robinson,,2007
49,Matthew Bryan-Amaning,,2007
50,Scoop Jardine,,2007
51,Craig Brackins,2010,2007
52,Evan Turner,2010,2007
53,Alex Tyus,,2007
54,Rico Pickett,,2007
55,Jeff Teague,2009,2007
56,Chris Wright,,2007
57,Jon Diebler,2011,2007
58,Anthony McClain,,2007
59,Chace Stanback,,2007
60,Rick Jackson,,2007
61,Robbie Hummel,2012,2007
62,Marcus Morris,2011,2007
63,Tyrel Reed,,2007
64,Tracy Smith,,2007
65,Demetri McCamey,,2007
66,Jeff Jones,,2007
T66,Rakim Sanders,,2007
68,Corey Chandler,,2007
69,Braxton Dupree,,2007
T69,Bill Walker,2008,2007
71,Dorenzo Hudson,,2007
72,Eddie Rios,,2007
73,Julian Vaughn,,2007
74,Malcolm Delaney,,2007
75,Dallas Lauderdale,,2007
76,Jason Henry,,2007
77,Gus Gilchrist,,2007
78,Dominique Sutton,,2007
79,Beas Hamga,,2007
80,Justin Burrell,,2007
T80,Jeremy Price,,2007
82,Clint Chapman,,2007
83,Jeff Allen,,2007
84,George Goode,,2007
85,Jeff Brooks,,2007
86,Ravern Johnson,,2007
87,Maurice Miller,,2007
88,Jon Leuer,2011,2007
89,Brad Wanamaker,,2007
90,Eli Holman,,2007
91,Trevor Mbakwe,,2007
92,Markieff Morris,2011,2007
93,Brandon McGee,,2007
94,Martavius Adams,,2007
95,Darnell Gant,,2007
96,Mike Holmes,,2007
97,Mamadou Diarra,,2007
98,Tyrone Shelley,,2007
99,Leonard Washington,,2007
100,Steven Gray,,2007
1,Greg Oden,2007,2006
2,Kevin Durant,2007,2006
3,Brandan Wright,2007,2006
4,Spencer Hawes,2007,2006
5,Ty Lawson,2009,2006
6,Thaddeus Young,2007,2006
7,Chase Budinger,2009,2006
8,Wayne Ellington,2009,2006
9,Brook Lopez,2008,2006
10,Gerald Henderson,2009,2006
11,Darrell Arthur,2008,2006
12,Javaris Crittenton,2007,2006
13,Daequan Cook,2007,2006
14,Sherron Collins,,2006
15,Damion James,2010,2006
16,Vernon Macklin,2011,2006
17,Derrick Caracter,2010,2006
18,Stanley Robinson,,2006
19,Robin Lopez,2008,2006
20,Lance Thomas,,2006
21,Mike Conley,2007,2006
22,Duke Crews,,2006
23,Paul Harris,,2006
24,Earl Clark,2009,2006
25,Brian Zoubek,,2006
26,DaJuan Summers,2009,2006
27,Quincy Pondexter,2010,2006
28,Jon Scheyer,,2006
29,D.J. Augustin,2008,2006
30,Curtis Kelly,,2006
31,David Lighty,,2006
32,Deshawn Sims,,2006
33,Ramar Smith,,2006
34,Raymar Morgan,,2006
35,Obi Muonelo,,2006
36,Jerome Dyson,,2006
37,Scottie Reynolds,,2006
38,James Keefe,,2006
39,Alex Stepheson,,2006
40,Davon Jefferson,,2006
41,Willie Kemp,,2006
42,Jason Bennett,,2006
43,Deon Thompson,,2006
44,Mike Jones,,2006
45,Jerry Smith,,2006
46,Taj Gibson,2009,2006
47,Patrick Christopher,,2006
T47,Tom Herzog,,2006
49,Brian Carlwell,,2006
50,Jamie Skeen,,2006
51,Jon Kreft,,2006
52,Derrick Jasper,,2006
53,Mike Washington,,2006
54,Wayne Chism,,2006
55,Edgar Sosa,,2006
T55,Doug Wiggins,,2006
57,Perry Stevenson,,2006
T57,Jodie Meeks,2009,2006
59,Anthony Gurley,,2006
60,Tyler Smith,,2006
T60,Marreese Speights,2008,2006
62,Jason Bohannon,,2006
63,Bryan Davis,,2006
64,Hasheem Thabeet,2009,2006
65,Matt Bouldin,,2006
66,Jamil Tucker,,2006
67,Isaiah Dahlman,,2006
T67,Keith Clark,,2006
69,Tweety Carter,,2006
70,Nigel Munson,,2006
71,Phil Nelson,,2006
72,Pierre Niles,,2006
73,Eugene Harvey,,2006
74,Mamadou Diarra,,2006
75,Antonio Pena,,2006
76,Patrick Beverley,2009,2006
77,Jarvis Varnado,2010,2006
78,Marques Johnson,,2006
79,William Graves,,2006
80,Adrian Oliver,,2006
81,Leon Freeman,,2006
82,Dexter Pittman,2010,2006
83,Luke Harangody,2010,2006
84,Doneal Mack,,2006
85,Josue Soto,,2006
86,Jeff Allen,,2006
87,Jonathan Mitchell,,2006
88,Trevon Hughes,,2006
89,Taylor Harrison,,2006
90,Donald Sloan,,2006
91,Gilbert Brown,,2006
92,Solomon Tat,,2006
93,Greivis Vasquez,2010,2006
94,Jeremy Mayfield,,2006
T94,Dan Werner,,2006
96,Cameron Tatum,,2006
97,Daniel Deane,,2006
T97,Hamady N'Diaye,2010,2006
99,Da'Sean Butler,,2006
100,Adrion Graves,,2006
1,Josh McRoberts,2007,2005
2,Monta Ellis,2005,2005
3,Martell Webster,2005,2005
4,Tyler Hansbrough,2009,2005
5,Louis Williams,2005,2005
6,Julian Wright,2007,2005
7,Richard Hendrix,,2005
8,Tasmin Mitchell,,2005
T8,Mario Chalmers,2008,2005
10,Andrew Bynum,2005,2005
11,Keith Brumbaugh,,2005
12,C.J. Miles,2005,2005
13,Greg Paulus,,2005
14,Amir Johnson,2005,2005
15,Danny Green,2009,2005
16,Gerald Green,2005,2005
17,Jon Brockman,2009,2005
18,Andray Blatche,2005,2005
19,Brandon Costner,,2005
20,Byron Eaton,,2005
21,Micah Downs,,2005
22,Eric Devendorf,,2005
23,Brandon Rush,2008,2005
24,Korvotney Barber,,2005
25,Lewis Clinch,,2005
26,Jamont Gordon,,2005
27,Shawne Williams,2006,2005
28,Joe Krabbenhoft,,2005
29,Marcus Ginyard,,2005
30,Marcus Williams,2007,2005
31,Bobby Frasor,,2005
32,J.P. Prince,,2005
33,Magnum Rolle,,2005
34,Luke Zeller,,2005
35,Courtney Fells,,2005
36,Theo Davis,,2005
T36,Dominic James,,2005
38,Mike Mercer,,2005
39,Fendi Onobun,,2005
T39,Eric Boateng,,2005
41,Chris Douglas-Roberts,2008,2005
42,Uche Echefu,,2005
43,Tiki Mayben,,2005
44,Terrence Williams,2009,2005
45,Roderick Flemings,,2005
46,Ryan Wright,,2005
47,Tyler Smith,,2005
48,Vernon Goodridge,,2005
49,Davon Jefferson,,2005
50,Devan Downey,,2005
51,Marcus Johnson,,2005
52,Alonzo Gee,,2005
53,Martynas Pocius,,2005
T53,Jeff Adrien,,2005
55,Kevin Rogers,,2005
56,Wilson Chandler,2007,2005
57,Jerel McNeal,,2005
58,Shawn Taggart,,2005
T58,Sam Young,2009,2005
60,Jamal Boykin,,2005
61,Wesley Matthews,,2005
62,Bryan Harvey,,2005
63,Derwin Kitchen,,2005
64,Reginald Delk,,2005
65,Wink Adams,,2005
66,Antonio Anderson,,2005
T66,Terrel Harris,,2005
66,Leo Lyons,,2005
69,Dior Lowhorn,,2005
70,Brian Asbury,,2005
71,Tyrell Biggs,,2005
72,Tyree Evans,,2005
73,David Weaver,,2005
T73,Ricky Sanchez,,2005
75,Danny Williams,,2005
76,Andre McGee,,2005
T76,Kevin Swinton,,2005
78,Rashad Woods,,2005
79,Alade Aminu,,2005
80,Casaan Breeden,,2005
81,Alfred Aboya,,2005
T81,Martellus Bennett,,2005
83,A.J. Abrams,,2005
84,Jeremy Pargo,,2005
T84,Cyrus McGowan,,2005
86,Gary Flowers,,2005
87,JR Inman,,2005
T87,Nate Minnoy,,2005
89,K.C. Rivers,,2005
90,Terry Martin,,2005
91,Kenneth Cooper,,2005
92,Lawrence Hill,,2005
93,Adrian Thomas,,2005
T93,Levance Fields,,2005
95,Denis Clemente,,2005
96,Austin Johnson,,2005
97,Ryan Ayers,,2005
98,Darren Collison,2009,2005
99,Kendric Price,,2005
T99,Jared Carter,,2005
1,Dwight Howard,2004,2004
2,Shaun Livingston,2004,2004
3,Al Jefferson,2004,2004
4,Josh Smith,2004,2004
5,Rudy Gay,2006,2004
6,Sebastian Telfair,2004,2004
7,Marvin Williams,2005,2004
8,Robert Swift,2004,2004
9,Malik Hairston,2008,2004
10,Randolph Morris,,2004
11,Glen Davis,2007,2004
12,LaMarcus Aldridge,2006,2004
13,D.J. White,2008,2004
14,Joe Crawford,2008,2004
15,Darius Washington,,2004
16,Juan Palacios,,2004
17,Jawann McClellan,,2004
18,DeMarcus Nelson,,2004
19,Daniel Gibson,2006,2004
20,Jordan Farmar,2006,2004
21,Rajon Rondo,2006,2004
22,Mike Williams,,2004
23,J.R. Smith,2004,2004
24,A.J. Price,2009,2004
25,Corey Brewer,2007,2004
26,Arron Afflalo,2007,2004
27,Jason Rich,,2004
28,Marquise Gray,,2004
29,Kyle Lowry,2006,2004
30,Robert Vaden,,2004
31,Russell Robinson,,2004
32,Roy Bright,,2004
33,Gabe Pruitt,2007,2004
34,Cedric Simmons,2006,2004
T34,Shawne Williams,2006,2004
36,Josh Wright,,2004
37,Greg Stiemsma,,2004
38,Ronald Steele,,2004
39,Bryce Taylor,,2004
40,Brian Johnson,,2004
T40,Isaiah Swann,,2004
40,Dorell Wright,2004,2004
43,Sasha Kaun,,2004
44,Steven Hill,,2004
45,Jason Horton,,2004
46,Sean Singletary,2008,2004
47,Marshall Brown,,2004
T47,Al Horford,2007,2004
49,Dion Dowell,,2004
T49,James Gist,,2004
51,Ra'Sean Dickey,,2004
T51,Justin Cerasoli,,2004
53,JamesOn Curry,2007,2004
54,Drew Neitzel,,2004
55,Quentin Thomas,,2004
56,Churchill Odia,,2004
57,Josh Shipp,,2004
58,Charles Rhodes,,2004
59,Charles Thomas,,2004
60,Andrew Brackman,,2004
61,Marquie Cooke,,2004
62,Shan Foster,,2004
63,Kalen Grimes,,2004
64,Andray Blatche,2005,2004
65,Dayshawn Wright,,2004
66,Mohamed Tangara,,2004
67,Alex Galindo,,2004
68,Darnell Jackson,2008,2004
69,C.J. Giles,,2004
70,Jamar Butler,,2004
71,David McClure,,2004
72,Joakim Noah,2007,2004
73,Lee Cummard,,2004
74,Jeremis Smith,,2004
T74,Josh Heytvelt,,2004
76,A.J. Ratliff,,2004
77,Shaun Pruitt,,2004
78,Gavin Grant,,2004
79,Albert Weber,,2004
81,Keith Benjamin,,2004
82,DeSean White,,2004
83,Ron Coleman,,2004
84,Walter Sharpe,2008,2004
85,Zam Fredrick,,2004
86,Devon Hardin,,2004
87,Maarty Leunen,,2004
88,David Pendergraft,,2004
89,Lorrenzo Wade,,2004
T89,Nick Young,2007,2004
91,Anthony Morrow,,2004
T91,DeAaron Williams,,2004
93,James Hardy,,2004
94,Rahshon Clark,,2004
95,Brian Laing,,2004
96,Sam Perry,,2004
97,Longar Longar,,2004
99,Alex Thompson,,2004
100,Channing Toney,,2004
T100,Jackie Butler,,2004
100,Toney Douglas,2009,2004
1,LeBron James,2003,2003
2,Luol Deng,2004,2003
3,Shannon Brown,2006,2003
4,Ndudi Ebi,2003,2003
5,Kendrick Perkins,2003,2003
6,Chris Paul,2005,2003
7,David Padgett,,2003
T7,Brian Butch,,2003
9,Leon Powe,2006,2003
10,Kris Humphries,2004,2003
11,Von Wafer,2005,2003
12,Brandon Bass,2005,2003
13,Olu Famutimi,,2003
14,Travis Outlaw,2003,2003
T14,Linas Kleiza,2005,2003
14,J.R. Giddens,2008,2003
17,Mike Jones,,2003
18,Charlie Villanueva,2005,2003
19,Trevor Ariza,2004,2003
20,James Lang,2003,2003
21,Drew Lavender,,2003
22,Dion Harris,,2003
23,Brandon Cotton,,2003
24,Regis Koundjia,,2003
25,Mustafa Shakur,,2003
26,Ivan Harris,,2003
27,Ekene Ibekwe,,2003
28,Rich McBride,,2003
29,Chris Taft,2005,2003
30,Jackie Butler,,2003
31,Demetris Nichols,2007,2003
32,Aaron Brooks,2007,2003
33,Sean Banks,,2003
34,Darryl Watkins,,2003
35,Ayinde Ubaka,,2003
36,Rodrick Stewart,,2003
37,Tack Minor,,2003
38,Thomas Gardner,,2003
39,Gary Forbes,,2003
T39,Ronnie Brewer,2006,2003
41,Marcus Williams,2006,2003
42,Terrence Roberts,,2003
43,Chris Richard,2007,2003
44,Martin Iti,,2003
45,Will Sheridan,,2003
46,Mohamed Abukar,,2003
47,Brandon Jenkins,,2003
48,Shagari Alleyne,,2003
49,Alexander Johnson,2006,2003
50,Gary Ervin,,2003
51,Drew Naymick,,2003
52,Courtney Sims,,2003
53,Brian Randle,,2003
54,Cartier Martin,,2003
55,Omar Wilkes,,2003
56,Lodrick Stewart,,2003
57,Brandon Foust,,2003
58,Corey Gibbs,,2003
59,Major Wingate,,2003
60,Reyshawn Terry,,2003
61,J.R. Reynolds,,2003
62,Brent Petway,,2003
63,Art Bowers,,2003
64,Dorell Wright,2004,2003
65,Mike Nardi,,2003
66,Paul Millsap,2006,2003
67,Jeremy Ingram,,2003
68,Jermareo Davidson,2007,2003
T68,Guillermo Diaz,2006,2003
70,Dwight Brewington,,2003
71,Dameon Mason,,2003
72,Kenny Harris,,2003
73,Wesley Green,,2003
74,Darian Townes,,2003
75,Lorrenzo Wade,,2003
76,Dez Willingham,,2003
77,Hassan Fofana,,2003
78,Marquise Kately,,2003
79,P.J. Tucker,2006,2003
80,Vincent Banks,,2003
T80,Renaldo Balkman,2006,2003
82,Wesley Washington,,2003
83,Tim Morris,,2003
84,Sammy Mejia,,2003
85,Lawrence McKenzie,,2003
86,Matt Causey,,2003
87,Keith Wooden,,2003
88,Brandon Wallace,,2003
89,Omari Isreal,,2003
90,Gerald Brown,,2003
T90,Ryan Appleby,,2003
92,Daon Merritt,,2003
93,Devon Evertsen,,2003
94,Will Blalock,2006,2003
95,Josh Boone,2006,2003
96,Sylvester Mayes,,2003
97,Patrick Ewing,2008,2003
98,Karron Clarke,,2003
99,Shawn Taylor,,2003
100,Longar Longar,,2003
1,Amar'e Stoudemire,2002,2002
2,Carmelo Anthony,2003,2002
3,Raymond Felton,2005,2002
4,Rashad McCants,2005,2002
5,Jason Fraser,,2002
T5,Chris Bosh,2003,2002
7,Paul Davis,2006,2002
8,Shelden Williams,2006,2002
9,Sean May,2005,2002
10,DeAngelo Collins,,2002
11,J.J. Redick,2006,2002
12,Bracey Wright,2005,2002
13,Evan Burns,,2002
14,Shavlik Randolph,,2002
15,Daniel Horton,,2002
16,Anthony Roberson,,2002
17,Chris Rodgers,,2002
18,Antoine Wright,2005,2002
19,Dee Brown,2006,2002
20,Hassan Adams,2006,2002
21,Sean Dockery,,2002
22,Brad Buckman,,2002
23,Sani Ibrahim,,2002
24,Rashad Anderson,,2002
25,Lenny Cooke,,2002
T25,Bryan Hopkins,,2002
27,Andre Iguodala,2004,2002
28,Elijah Ingram,,2002
29,Travis Garrison,,2002
30,Michael Thompson,,2002
31,Kelenna Azubuike,,2002
T31,Kevin Bookout,,2002
33,Kennedy Winston,,2002
34,Denham Brown,,2002
35,Jimmy McKinney,,2002
36,Eric Williams,,2002
37,Torin Francis,,2002
38,Gerry McNamara,,2002
39,Allan Ray,,2002
40,Matt Walsh,,2002
41,Alexander Johnson,2006,2002
42,Curtis Sumpter,,2002
43,John Gilchrist,,2002
44,Antonio Lawrence,,2002
45,Brandon Roy,2006,2002
46,Jarrett Jack,2005,2002
47,De'Angelo Alexander,,2002
48,Deron Williams,2005,2002
49,Lester Abram,,2002
50,Greg Brunner,,2002
51,Ike Diogu,2005,2002
52,Matt Trannon,,2002
53,Mario Boggan,,2002
54,Maurice Ager,2006,2002
55,Eric Hicks,,2002
56,Randy Foye,2006,2002
57,Steve Novak,2006,2002
58,Derrick Byars,2007,2002
59,Jeff Horner,,2002
60,Chris McCray,,2002
61,Justin Gray,,2002
62,Julius Lamptey,,2002
T62,Marshall Strickland,,2002
64,Robert Hite,,2002
65,Taquan Dean,,2002
66,Keith Butler,,2002
67,Curtis Withers,,2002
68,J.R. Morris,,2002
69,Rick Billings,,2002
70,Chadd Moore,,2002
71,Francisco Garcia,2005,2002
72,Jeremy Hunt,,2002
73,Matt Haryasz,,2002
74,Adam Haluska,,2002
75,Chris Quinn,,2002
T75,Aliou Kane,,2002
75,Yusuf Baker,,2002
78,James Augustine,2006,2002
79,Chuck Davis,,2002
80,Greg Brown,,2002
81,Marcus White,,2002
82,Trent Strickland,,2002
83,Vincent Grier,,2002
84,Cameron Bennerman,,2002
T84,Almamy Thiero,,2002
86,Aaron Spears,,2002
T86,C.J. Watson,,2002
88,Josh Rhodes,,2002
89,Marquise Kately,,2002
90,Boo Wade,,2002
91,Mario Moore,,2002
T91,Matt Kiefer,,2002
93,Kevin Young,,2002
94,Gary Ervin,,2002
95,Nik Caner-Medley,,2002
T95,Dedrick Finn,,2002
97,Bobby Jones,2006,2002
98,Wes Wilkinson,,2002
T98,Tyler Smith,,2002
100,John Winchester,,2002
1,Eddy Curry,2001,2001
2,Kelvin Torbert,,2001
3,Dajuan Wagner,2002,2001
4,Tyson Chandler,2001,2001
5,Ousmane Cisse,,2001
6,Kwame Brown,2001,2001
7,Julius Hodge,2005,2001
8,DeSagana Diop,2001,2001
9,Rick Rickert,,2001
10,David Lee,2005,2001
11,Jawad Williams,,2001
12,Carlos Hurt,,2001
13,Jonathan Hargett,,2001
T13,David Harrison,2004,2001
15,Aaron Miles,,2001
16,Mo Williams,2003,2001
17,T.J. Ford,2003,2001
18,Josh Childress,2004,2001
19,Cedric Bozeman,,2001
20,Wayne Simien,2005,2001
21,Rashaad Carruth,,2001
22,James White,2006,2001
23,Jamal Sampson,2002,2001
24,John Allen,,2001
25,Jackie Manuel,,2001
26,JaQuan Hart,,2001
T26,Anthony Richardson,,2001
28,Dijon Thompson,2005,2001
29,Daniel Ewing,2005,2001
30,Alan Anderson,,2001
31,Dennis Latimore,,2001
32,Pierre Pierce,,2001
T32,Jason Maxiell,2005,2001
34,Chris Thomas,,2001
T34,Robert Whaley,2005,2001
36,Billy Edelin,,2001
37,Melvin Scott,,2001
38,Elton Brown,,2001
39,Andre Patterson,,2001
40,Travis Diener,2005,2001
41,Ben Gordon,2004,2001
42,Julian Sensley,,2001
T42,Dommanic Ingerson,,2001
44,Brandon Bender,,2001
45,Brandon Fuss-Cheatham,,2001
46,Chuck Hayes,,2001
47,Earnest Shelton,,2001
48,Charles Frederick,,2001
49,Ed Nelson,,2001
50,Quemont Greer,,2001
T50,Jamaal Levy,,2001
52,Keith Jackson,,2001
53,Marco Killingsworth,,2001
T53,Will Bynum,,2001
55,Tony Key,,2001
T55,Chey Christie,,2001
55,Joshua Tinch,,2001
58,Najeeb Echols,,2001
59,Dwayne Mitchell,,2001
60,Levi Watkins,,2001
61,Matt Sylvester,,2001
62,Roger Powell,,2001
63,Harvey Thomas,,2001
64,Levar Seals,,2001
65,Josh Powell,,2001
66,Marcellus Sommerville,,2001
67,Duane John,,2001
68,Errick Craven,,2001
69,Salim Stoudamire,2005,2001
70,Rob Little,,2001
71,Larry Turner,,2001
72,Anthony Vasser,,2001
T72,Marcus Spears,,2001
74,Isma'Il Muhammad,,2001
75,Marcus Campbell,,2001
76,Anthony Rice,,2001
77,Winsome Frazier,,2001
78,Jamaal Williams,,2001
79,Craig Forth,,2001
80,Ernest Turner,,2001
T80,Erroll Knight,,2001
82,Taurance Johnson,,2001
83,Mitchell Baldwin,,2001
84,Eddie Basden,,2001
85,Vytas Danelius,,2001
86,Jermaine Watson,,2001
87,Channing Frye,2005,2001
T87,Lawrence Roberts,2005,2001
89,Derek Stribling,,2001
90,Mike Jensen,,2001
91,Keith Langford,,2001
92,Jason Braxton,,2001
T92,Jason Clark,,2001
94,Marcus Austin,,2001
T94,Chris Hernandez,,2001
96,Terry Licorish,,2001
97,B.J. Elder,,2001
98,Carl Krauser,,2001
99,Emeka Okafor,2004,2001
100,Michael Fey,,2001
1,Zach Randolph,2001,2000
2,Eddie Griffin,2001,2000
3,Darius Miles,2000,2000
4,Gerald Wallace,2001,2000
5,Marcus Taylor,,2000
6,DeShawn Stevenson,2000,2000
T6,Chris Duhon,2004,2000
8,Mario Austin,,2000
9,Jared Jeffries,2002,2000
10,Taliek Brown,,2000
11,Andre Brown,,2000
T11,Omar Cook,2001,2000
13,Jerome Harper,,2000
14,Alton Ford,2001,2000
15,Andre Barrett,,2000
16,Darius Rice,,2000
17,Abdou Diame,,2000
18,Imari Sawyer,,2000
19,Rolando Howell,,2000
T19,Cedrick Banks,,2000
21,Travon Bryant,,2000
22,Justin Reed,2004,2000
23,Chris Wilcox,2002,2000
24,Brian Morrison,,2000
25,Orien Greene,2005,2000
26,Marcus Toney-El,,2000
27,Glen Worley,,2000
28,T.J. Cummings,,2000
29,Desmon Farmer,,2000
30,Nick Anderson,,2000
31,Garner Meads,,2000
32,Rickey Paulding,,2000
33,Adam Boone,,2000
34,Mike Sweetney,2003,2000
35,Scott Hazelton,,2000
36,Cliff Hawkins,,2000
T36,Ivan McFarlin,,2000
38,Scooter Sherrill,,2000
39,Herve Lamizana,,2000
40,Brian Boddicker,,2000
41,Jared Reiner,,2000
T41,Jason Parker,,2000
43,Arthur Johnson,,2000
44,Terrence Crawford,,2000
T44,Luke Whitehead,,2000
44,Michael Joiner,,2000
47,Caron Butler,2002,2000
48,Eddie Starks,,2000
49,Brandon Brooks,,2000
50,Brandon Mouton,,2000
51,Brett Buscher,,2000
52,Mohamed Diakite,,2000
53,Romain Sato,,2000
54,Neil Fingleton,,2000
55,Kendall Dartez,,2000
56,A.J. Moye,,2000
57,Maurice Young,,2000
58,Jake Sullivan,,2000
59,Demetrius Smith,,2000
60,Matt Lottich,,2000
61,Marvin Lewis,,2000
T61,Modibo Diarra,,2000
63,Kyle Cuffe,,2000
64,Avery Queen,,2000
T64,Omar Weaver,,2000
66,James Thomas,,2000
67,Bernard Robinson,2004,2000
68,Scooter McFadgon,,2000
T68,Luke Ridnour,2003,2000
70,JueMichael Young,,2000
71,Dwon Clifton,,2000
72,Andrew Zahn,,2000
T72,Wesley Stokes,,2000
74,Jeff McMillan,,2000
75,Billy Richmond,,2000
76,Tony Stockman,,2000
77,Nick Smith,,2000
T77,Liberto Tetimadingar,,2000
79,Johnnie Gilbert,,2000
80,Keith Triplett,,2000
81,Julian Sensley,,2000
82,Lou Wright,,2000
T82,Derrick Snowden,,2000
84,Antonio Hargrove,,2000
85,Scott Merritt,,2000
86,Brandon Crump,,2000
87,Chris Daniels,,2000
88,Taurance Johnson,,2000
89,Timmy Bowers,,2000
90,Dave Holmes,,2000
T90,Tory Reed,,2000
92,Maurice Searight,,2000
T92,Yamar Diene,,2000
94,Patrick Dennehy,,2000
95,Mike Bell,,2000
96,Barry Thompson,,2000
97,Omari Westley,,2000
98,Marcus Melvin,,2000
T98,Gerald Riley,,2000
100,Jimmy Baxter,,2000
