RSCI,Player,Draft,Year
99,Keith Smith,,2016
100,Abdul Ado,,2016
T100,Myles Powell,,2016
1,Ben Simmons,2016,2015
2,Skal Labissiere,2016,2015
3,Jaylen Brown,2016,2015
4,Brandon Ingram,2016,2015
5,Ivan Rabb,2017,2015
6,Cheick Diallo,2016,2015
7,Diamond Stone,2016,2015
8,Malik Newman,,2015
9,Henry Ellenson,2016,2015
10,Stephen Zimmerman,2016,2015
11,Isaiah Briscoe,,2015
12,Allonzo Trier,,2015
13,Derryck Thornton,,2015
14,Chase Jeter,,2015
15,Antonio Blakeney,,2015
16,Caleb Swanigan,2017,2015
T16,Dwayne Bacon,2017,2015
18,Ray Smith,,2015
19,Jalen Brunson,,2015
20,Jalen Adams,,2015
21,Luke Kennard,2017,2015
22,Carlton Bragg,,2015
23,Tyler Dorsey,2017,2015
24,Perry Dozier,,2015
25,Thomas Bryant,2017,2015
26,Deyonta Davis,2016,2015
27,Donovan Mitchell,2017,2015
T27,Jawun Evans,2017,2015
29,Malachi Richardson,2016,2015
30,Justin Simon,,2015
31,D.J. Hogg,,2015
32,Dedric Lawson,,2015
33,Tyler Davis,,2015
34,Deng Adel,,2015
35,Chimezie Metu,,2015
36,Prince Ali,,2015
37,Malik Beasley,2016,2015
38,Jalen Coleman-Lands,,2015
39,Kerwin Roach,,2015
40,Elijah Thomas,,2015
41,Raymond Spalding,,2015
42,Jessie Govan,,2015
43,Derrick Jones,,2015
44,Daniel Giddens,,2015
45,Dejounte Murray,2016,2015
46,K.J. Lawson,,2015
47,Eric Davis,,2015
48,Chance Comanche,,2015
49,Esa Ahmad,,2015
50,Charles Matthews,,2015
51,Austin Grandstaff,,2015
52,Marquese Chriss,2016,2015
53,Tevin Mack,,2015
54,Stephen Thompson,,2015
55,Bennie Boatwright,,2015
56,LaGerald Vick,,2015
57,Brandon Sampson,,2015
58,Horace Spencer,,2015
59,Ted Kapita,,2015
60,Aaron Holiday,,2015
61,Chris Clarke,,2015
62,Steve Enoch,,2015
63,Justin Patton,2017,2015
64,KeVaughn Allen,,2015
65,Jimmy Whitt,,2015
66,King McClure,,2015
67,Matthew McQuaid,,2015
68,Moustapha Diagne,,2015
T68,Jeremy Hemsley,,2015
68,Danjel Purifoy,,2015
71,Jamal Murray,2016,2015
72,Tyler Lydon,2017,2015
73,Doral Moore,,2015
T73,Thon Maker,2016,2015
75,Noah Dickerson,,2015
76,Marcus LoVett,,2015
77,Brevin Pritzl,,2015
78,D.J. Williams,,2015
79,Franklin Howard,,2015
80,Glynn Watson,,2015
81,Corey Sanders,,2015
82,Kevarrius Hayes,,2015
83,Maverick Rowan,,2015
84,Jaquan Lyle,,2015
85,Ed Morrow,,2015
T85,Admon Gilder,,2015
87,Haanif Cheatham,,2015
88,Trevor Manuel,,2015
89,Shake Milton,,2015
90,Kenny Williams,,2015
91,Tres Tinkle,,2015
92,Keith Stone,,2015
93,Marcus Derrickson,,2015
94,Bryant Crawford,,2015
95,Justin Robinson,,2015
96,Matt Heldt,,2015
97,Moritz Wagner,,2015
98,A.J. Harris,,2015
T98,Kobie Eubanks,,2015
98,Quinndary Weatherspoon,,2015
1,Jahlil Okafor,2015,2014
2,Emmanuel Mudiay,2015,2014
3,Stanley Johnson,2015,2014
4,Cliff Alexander,,2014
5,Karl-Anthony Towns,2015,2014
6,Myles Turner,2015,2014
7,Tyus Jones,2015,2014
8,Kelly Oubre,2015,2014
9,Justin Jackson,2017,2014
10,Rashad Vaughn,2015,2014
11,Kevon Looney,2015,2014
12,Trey Lyles,2015,2014
13,Justise Winslow,2015,2014
14,Isaiah Whitehead,2016,2014
15,Theo Pinson,,2014
16,D'Angelo Russell,2015,2014
17,Daniel Hamilton,2016,2014
18,Tyler Ulis,2016,2014
19,Chris McCollough,2015,2014
20,Devin Robinson,,2014
T20,James Blackmon,,2014
22,Dwayne Morgan,,2014
23,Devin Booker,2015,2014
24,Grayson Allen,,2014
25,Shaqquan Aaron,,2014
T25,Joel Berry,,2014
27,Kameron Chatman,,2014
28,Isaac Copeland,,2014
29,Keita Bates-Diop,,2014
30,JaQuan Lyle,,2014
31,Brandone Francis,,2014
32,Goodluck Okonoboh,,2014
33,Thomas Welsh,,2014
34,Melo Trimble,,2014
35,Reid Travis,,2014
36,Jonah Bolden,2017,2014
37,Quentin Snider,,2014
38,Trevon Bluiett,,2014
39,Terry Larrier,,2014
T39,Craig Victor,,2014
41,Jordan McLaughlin,,2014
42,Angel Delgado,,2014
43,JaQuan Newton,,2014
44,Parker Jackson-Cartwright,,2014
45,Abdul-Malik Abu,,2014
46,Leron Black,,2014
T46,Robert Johnson,,2014
48,Malik Pope,,2014
49,Chris Chiozza,,2014
50,Jakeenan Gant,,2014
51,Paul White,,2014
52,Kaleb Joseph,,2014
53,Dion Wiley,,2014
54,Jae'Sean Tate,,2014
55,T.J. Haws,,2014
56,Elbert Robinson,,2014
57,Brekkott Chapman,,2014
58,Alex Robinson,,2014
59,Michael Humphrey,,2014
60,Josh Perkins,,2014
61,Ahmed Hill,,2014
62,L.J. Peak,,2014
T62,Caleb Martin,,2014
64,Chinanu Onuaku,2016,2014
65,Devonte Graham,,2014
66,Paschal Chukwu,,2014
67,Jaylen Johnson,,2014
68,Jared Terrell,,2014
69,Robert Cartwright,,2014
70,Cody Martin,,2014
71,Elijah Stewart,,2014
72,Justin Coleman,,2014
73,Ronnie Harrell,,2014
74,Dominic Magee,,2014
75,Sandy Cohen,,2014
76,Jalen Lindsey,,2014
T76,Trey Kell,,2014
78,Lourawls Nairn,,2014
79,Zylan Cheatham,,2014
80,Shelton Mitchell,,2014
T80,Donte Grantham,,2014
82,Isaac Haas,,2014
83,B.J. Stith,,2014
84,Jordan Barnett,,2014
T84,Phil Booth,,2014
86,Jared Nickens,,2014
87,Justin Bibbs,,2014
88,Joe Burton,,2014
89,Trayvon Reed,,2014
90,Tadric Jackson,,2014
T90,Vic Law,,2014
92,Domantas Sabonis,2016,2014
93,Namon Wright,,2014
94,Makinde London,,2014
95,Sviatoslav Mykhailiuk,,2014
96,Mikal Bridges,,2014
T96,Michal Cekovsky,,2014
96,Devin Mitchell,,2014
99,Detrick Mostella,,2014
100,Malik Marquetti,,2014
1,Andrew Wiggins,2014,2013
2,Julius Randle,2014,2013
3,Jabari Parker,2014,2013
4,Aaron Gordon,2014,2013
5,Andrew Harrison,2015,2013
6,Aaron Harrison,,2013
7,Chris Walker,,2013
8,Noah Vonleh,2014,2013
9,James Young,2014,2013
T9,Dakari Johnson,2015,2013
11,Kasey Hill,,2013
12,Jarell Martin,2015,2013
13,Wayne Selden,,2013
14,Isaiah Hicks,,2013
T14,Bobby Portis,2015,2013
16,Joel Embiid,2014,2013
T16,Rondae Hollis-Jefferson,2015,2013
18,Marcus Lee,,2013
19,Isaac Hamilton,,2013
20,Austin Nichols,,2013
T20,Jabari Bird,2017,2013
22,Robert Hubbs,,2013
23,Tyler Ennis,2014,2013
24,Anthony 'Cat' Barber,,2013
25,Jermaine Lawrence,,2013
26,Rysheed Jordan,,2013
27,Keith Frazier,,2013
T27,Nigel Williams-Goss,2017,2013
29,Zak Irvin,,2013
30,JaJuan Johnson,,2013
T30,Kuran Iverson,,2013
32,Semi Ojeleye,2017,2013
33,Demetrius Jackson,2016,2013
34,Matt Jones,,2013
T34,Sindarius Thornwell,2017,2013
36,Brannen Greene,,2013
37,Tyler Roberson,,2013
38,Jordan Mickey,2015,2013
39,Eric Mika,,2013
40,Conner Frankamp,,2013
T40,Nick King,,2013
42,Johnathan Williams,,2013
43,Xavier Rathan-Mayes,,2013
44,Derrick Walton,,2013
45,Christian Wood,,2013
46,Roddy Peters,,2013
47,Moses Kingsley,,2013
48,Brandon Austin,,2013
49,Zach LaVine,2014,2013
50,Anton Gill,,2013
51,Troy Williams,,2013
52,Matt Thomas,,2013
53,Terry Rozier,2015,2013
54,Deonte Burton,,2013
55,Devin Williams,,2013
56,Kennedy Meeks,,2013
57,Kendrick Nunn,,2013
58,Ish Wainright,,2013
59,Duane Wilson,,2013
60,John Egbunu,,2013
61,Stanford Robinson,,2013
62,Allerik Freeman,,2013
63,Kendall Stephens,,2013
64,Beejay Anya,,2013
T64,Karviar Shepherd,,2013
66,Marc Loving,,2013
67,Jimmie Taylor,,2013
68,Detrick Mostella,,2013
69,Nick Emery,,2013
70,Malcolm Hill,,2013
71,Luke Fischer,,2013
72,Stevie Clark,,2013
73,Jordan Bell,2017,2013
74,Tim Quarterman,,2013
75,Reggie Cameron,,2013
76,Kam Williams,,2013
77,V.J. Beachem,,2013
78,Kris Jenkins,,2013
79,Bronson Koenig,,2013
80,Mamadou Ndiaye,,2013
81,Markel Crawford,,2013
82,Damian Jones,2016,2013
83,Dominic Woodson,,2013
84,Bryson Scott,,2013
85,Aquille Carr,,2013
T85,Michael Young,,2013
87,Wes Clark,,2013
88,Akoy Agau,,2013
89,Frank Mason,2017,2013
90,Kentan Facey,,2013
91,Zena Edosomwan,,2013
92,Dakarai Allen,,2013
93,Nate Britt,,2013
94,Josh Hart,2017,2013
95,Anthony January,,2013
96,Marcus Allen,,2013
97,Pookie Powell,,2013
98,Brandon Randolph,,2013
99,Kyle Washington,,2013
100,Tre'Shaun Fletcher,,2013
1,Nerlens Noel,2013,2012
T1,Shabazz Muhammad,2013,2012
3,Isaiah Austin,,2012
T3,Kyle Anderson,2014,2012
5,Steven Adams,2013,2012
6,Anthony Bennett,2013,2012
7,Kaleb Tarczewski,,2012
8,Alex Poythress,,2012
9,Marcus Smart,2014,2012
10,Archie Goodwin,2013,2012
11,Grant Jerrett,2013,2012
12,Rasheed Sulaimon,,2012
13,Ricky Ledo,2013,2012
14,Cameron Ridley,,2012
15,Brandon Ashley,,2012
16,Gary Harris,2014,2012
17,Rodney Purvis,,2012
18,Dajuan Coleman,,2012
