,#,,Player,CO,Pos,Age,HT,WT,WS,Pts,Reb,Ast,PER,Team,League,NBA EWA
46,47,,Henk Norel,,PF,21.4,"6'11""",212,"7'1 ¾""",14.2,7.7,1.7,26.5,,ACB,-
47,48,,Taylor Griffin,,PF,22.9,"6'7""",238,"6'10 ½""",10.8,5.6,1.4,16.6,,LegaDue,-0.09
48,49,,Sergey Gladyr,,SG,19.4,"6'5""",190,"6'7""",5.5,1.7,0.9,12.1,,France,-
49,50,,Goran Suton,,PF/C,23.5,"6'10""",245,-,7.7,5.3,0.8,14.0,,ACB,-
50,51,,Jack McClinton,,PG/SG,24.1,"6'1""",185,"6'2 ½""",0.7,1.3,0.7,-10.9,,G-League,-
51,52,,A.J. Price,,PG,22.4,"6'2""",193,"6'3 ¾""",29.3,4.8,5.5,24.3,,China,0.33
52,53,,Nando De Colo,,PG/SG,21.7,"6'5""",187,"6'5 ½""",16.7,2.5,4.2,24.8,,EuroLeague,0.22
53,54,,Robert Vaden,,SG/SF,24,"6'6""",215,"6'8 ¼""",6.0,1.7,0.3,8.2,,G-League,-
54,55,,Patrick Mills,,PG,20.5,"6'0""",175,"6'2 ¾""",9.6,1.8,2.7,13.0,,NBA,2.23
55,56,,Ahmad Nivins,,PF,22,"6'10""",230,"7'0 ¾""",4.5,2.2,0.6,11.9,,France,-
56,57,,Emir Preldzic,,SF,21.5,"6'9""",220,"6'8 ¾""",9.8,3.2,3.2,22.6,,Turkey,-
57,58,,Lester Hudson,,PG/SG,24.6,"6'1""",196,"6'8 ¾""",25.7,5.4,3.7,24.6,,China,0.11
58,59,,Chinemelu Elonu,,PF/C,22,"6'10""",235,-,5.1,4.3,0.6,17.5,,Greece,-
59,60,,Robert Dozier,,PF,23.3,"6'10""",205,-,11.5,8.2,0.4,21.2,,France,-
