,#,,Player,CO,Pos,Age,HT,WT,WS,Pts,Reb,Ast,PER,Team,League,NBA EWA
0,1,,Blake Griffin,,PF,19.9,"6'10""",248,"6'11 ¼""",22.6,8.0,5.4,20.9,,NBA,12.38
1,2,,Hasheem Thabeet,,C,22,"7'2""",275,"7'6""",8.6,6.2,0.3,16.0,,G-League,-0.08
2,3,,James Harden,,SG,19.5,"6'5""",222,"6'10 ¾""",31.4,5.2,8.9,31.2,,NBA,17.20
3,4,,Tyreke Evans,,PG/SG,19.4,"6'5""",221,"6'11 ¼""",19.4,5.1,5.1,21.7,,NBA,5.63
4,5,,Ricky Rubio,,PG,18.4,"6'4""",180,-,12.1,4.2,5.2,13.9,,NBA,4.59
5,6,,Jonny Flynn,,PG,20.1,"6'1""",196,"6'2 ½""",6.5,3.5,2.5,6.0,,Italy,0.19
6,7,,Stephen Curry,,PG,21,"6'3""",181,"6'3 ½""",26.7,5.3,6.5,27.9,,NBA,17.14
7,8,,Jordan Hill,,PF,21.6,"6'10""",232,"7'1 ½""",1.7,2.0,0.0,5.6,,NBA,2.06
8,9,,Demar DeRozan,,SG/SF,19.6,"6'6""",211,"6'9""",23.8,3.9,5.2,22.7,,NBA,8.85
9,10,,Brandon Jennings,,PG,19.4,"6'1""",169,-,29.7,5.0,6.7,22.1,,G-League,3.98
10,11,,Terrence Williams,,SG/SF,21.7,"6'6""",213,"6'9""",16.5,2.5,1.5,15.2,,Puerto Rico,0.16
11,12,,Gerald Henderson,,SG,21.2,"6'5""",215,"6'10 ¾""",9.2,2.6,1.6,10.8,,NBA,2.12
12,13,,Tyler Hansbrough,,PF,23.3,"6'9""",234,"6'11 ½""",22.8,9.7,0.8,34.6,,China,2.01
13,14,,Earl Clark,,SF/PF,21.1,"6'10""",228,"7'2 ½""",8.1,4.8,0.8,12.8,,Turkey,-0.15
14,15,,Austin Daye,,SF/PF,20.7,"6'11""",192,"7'2 ¾""",12.0,4.2,0.8,22.2,,Israel,0.19
15,16,,James Johnson,,SF/PF,22,"6'8""",257,"7'0 ¾""",10.4,4.8,3.8,14.4,,NBA,2.05
16,17,,Jrue Holiday,,PG/SG,18.7,"6'4""",199,"6'7""",19.1,4.4,5.6,17.4,,NBA,5.67
17,18,,Ty Lawson,,PG,21.3,"6'0""",197,"6'1""",25.2,4.4,6.5,26.9,,China,5.60
18,19,,Jeff Teague,,PG,20.7,"6'1""",175,"6'7 ½""",13.5,3.0,7.0,16.0,,NBA,6.85
19,20,,Eric Maynor,,PG,21.7,"6'3""",164,"6'2 ½""",9.3,2.7,5.9,9.3,,Italy,-0.06
20,21,,Darren Collison,,PG,21.5,"6'1""",166,"6'3""",12.8,2.7,5.3,18.5,,NBA,5.23
21,22,,Victor Claver,,PF,20.5,"6'10""",218,-,3.8,2.1,1.0,9.9,,ACB,-0.59
22,23,,Omri Casspi,,SF/PF,20.7,"6'9""",211,"6'9 ¾""",5.8,4.0,1.0,14.8,,NBA,1.02
23,24,,Byron Mullens,,C,20,"7'1""",258,"7'1 ½""",0.0,0.0,0.0,0.0,,G-League,0.41
24,25,,Rodrigue Beaubois,,PG,21,"6'2""",182,"6'10 ¼""",13.0,2.3,1.8,19.4,,EuroLeague,1.33
25,26,,Taj Gibson,,PF,23.7,"6'10""",214,"7'4""",12.5,7.2,1.3,15.5,,NBA,3.85
26,27,,DeMarre Carroll,,SF/PF,22.6,"6'8""",207,"6'10""",13.3,6.6,2.0,14.3,,NBA,1.58
27,28,,Wayne Ellington,,SG,21.3,"6'5""",202,"6'7 ½""",11.2,3.0,1.1,12.9,,NBA,0.14
28,29,,Toney Douglas,,PG/SG,22.9,"6'2""",183,"6'6""",10.3,2.4,2.4,15.0,,EuroLeague,0.87
29,30,,Christian Eyenga,,SG/SF,19.7,"6'5""",210,-,12.7,4.6,1.7,15.9,,ACB,-0.38
30,31,,Jeff Pendergraph,,PF/C,21.8,"6'10""",240,"7'1""",11.0,8.5,0.8,18.8,,Turkey,0.30
31,32,,Jermaine Taylor,,SG,22.2,"6'5""",207,"6'8 ¼""",12.6,2.8,1.4,13.2,,G-League,0.14
32,33,,Dante Cunningham,,PF,21.8,"6'8""",227,"6'11""",5.0,3.8,0.5,8.0,,NBA,0.18
33,34,,Sergio Llull,,PG/SG,21.3,"6'3""",176,-,16.5,1.6,5.4,23.0,,ACB,-
34,35,,DaJuan Summers,,SF/PF,21.1,"6'8""",243,"7'0 ¾""",8.1,3.6,1.1,10.9,,Turkey,-0.39
35,36,,Sam Young,,SF/PF,23.7,"6'7""",223,"6'10 ¾""",35.0,8.6,2.6,35.1,,Asia Champions,0.29
36,37,,DeJuan Blair,,PF/C,19.8,"6'6""",277,"7'2""",4.1,4.2,0.4,12.2,,Argentina,2.82
37,38,,Jon Brockman,,PF,21.9,"6'8""",252,"6'7 ¾""",13.1,9.2,0.7,22.6,,Germany,-0.13
38,39,,Jonas Jerebko,,PF,22,"6'9""",210,"6'11""",5.8,3.3,0.6,12.2,,NBA,1.24
39,40,,Derrick Brown,,PF,21.5,"6'8""",225,"7'2 ½""",7.8,2.8,1.7,11.5,,EuroLeague,0.96
40,41,,Jodie Meeks,,SG,21.5,"6'4""",211,"6'4 ½""",6.2,1.6,0.9,11.8,,NBA,1.10
41,42,,Patrick Beverley,,PG,20.6,"6'1""",172,"6'6 ½""",12.2,4.1,2.9,12.6,,NBA,1.47
42,43,,Marcus Thornton,,SG,21.7,"6'4""",194,"6'5""",18.9,2.9,1.3,23.4,,G-League,2.00
43,44,,Chase Budinger,,SG/SF,21.2,"6'7""",206,"6'7""",7.5,4.9,1.0,14.9,,ACB,1.07
44,45,,Nick Calathes,,PG/SG,20.1,"6'5""",185,-,13.9,3.7,8.3,22.5,,EuroLeague,0.73
45,46,,Danny Green,,SG/SF,21.7,"6'6""",208,"6'10""",9.0,3.6,1.7,12.5,,NBA,1.87
