,#,,Player,CO,Pos,Age,HT,WT,WS,Pts,Reb,Ast,PER,Team,League,NBA EWA
0,1,,Anthony Bennett,,PF,20,"6'7""",239,"7'1""",11.9,5.5,1.8,20.5,,G-League,-0.18
1,2,,Victor Oladipo,,SG,20.8,"6'4""",213,"6'9 ¼""",24.1,5.4,4.2,24.1,,NBA,6.24
2,3,,Otto Porter,,SF,19.7,"6'9""",198,"7'1 ½""",14.6,6.4,2.1,17.7,,NBA,4.10
3,4,,Cody Zeller,,PF/C,20.4,"7'0""",230,"6'10 ¾""",6.9,5.4,1.0,14.8,,NBA,2.98
4,5,,Alex Len,,C,19.7,"7'1""",255,"7'3 ½""",8.4,7.8,1.2,18.3,,NBA,1.94
5,6,,Nerlens Noel,,C,18.9,"7'0""",206,"7'3 ¾""",4.2,4.3,0.4,14.4,,NBA,2.97
6,7,,Ben McLemore,,SG,20,"6'5""",189,"6'7 ¾""",8.0,2.0,0.0,8.7,,G-League,-1.49
7,8,,Kentavious Caldwell-Pope,,SG,20,"6'6""",204,"6'8""",13.4,5.2,2.2,13.6,,NBA,1.25
8,9,,Trey Burke,,PG,20.3,"6'1""",187,"6'5 ½""",26.6,3.3,5.3,24.9,,G-League,1.48
9,10,,C.J. McCollum,,PG/SG,21.4,"6'3""",197,"6'6 ¼""",21.6,3.8,3.1,17.8,,NBA,6.32
10,11,,Michael Carter-Williams,,PG,21.4,"6'6""",184,"6'7 ¼""",4.5,2.6,2.3,10.5,,NBA,1.79
11,12,,Steven Adams,,C,19.6,"7'0""",255,"7'4 ½""",14.0,9.1,1.0,20.2,,NBA,4.97
12,13,,Kelly Olynyk,,C,21.9,"7'0""",234,"6'9 ¾""",10.9,5.5,2.3,15.8,,NBA,3.52
13,14,,Shabazz Muhammad,,SF,20.3,"6'6""",222,"6'11""",3.8,1.4,0.2,9.7,,NBA,2.10
14,15,,Giannis Antetokounmpo,,SF,18.2,"6'9""",196,-,27.5,10.4,4.9,28.2,,NBA,11.45
15,16,,Lucas Nogueira,,C,20.6,"7'0""",220,"7'6""",2.7,1.9,0.4,15.6,,NBA,0.94
16,17,,Dennis Schroeder,,PG,19.5,"6'2""",165,"6'7 ¾""",19.4,3.1,6.2,18.2,,NBA,4.37
17,18,,Shane Larkin,,PG,20.4,"5'11""",171,"5'10 ¾""",3.4,1.2,1.1,9.0,,NBA,0.21
18,19,,Sergey Karasev,,SF,19.3,"6'7""",197,"6'9 ¼""",15.8,3.7,2.6,18.0,,VTB United,-0.40
19,20,,Tony Snell,,SF,21.3,"6'7""",198,"6'11 ½""",7.3,2.1,1.2,8.4,,NBA,-1.66
20,21,,Gorgui Dieng,,C,23.1,"6'11""",230,"7'3 ½""",6.3,4.6,1.0,14.5,,NBA,4.40
21,22,,Mason Plumlee,,C,23,"7'0""",238,"6'11""",7.5,5.9,2.0,15.4,,NBA,4.82
22,23,,Solomon Hill,,SF,21.9,"6'7""",226,"6'9""",0.0,0.0,0.0,0.0,,NBA,-0.86
23,24,,Tim Hardaway Jr,,SG,20.9,"6'6""",185,"6'7""",16.8,3.9,2.9,14.8,,NBA,1.82
24,25,,Reggie Bullock,,SF,21.9,"6'7""",200,"6'8 ¾""",9.9,2.3,1.3,13.0,,NBA,0.07
25,26,,Andre Roberson,,PF,21.2,"6'7""",206,"6'11""",5.0,4.7,1.2,10.2,,NBA,-0.62
26,27,,Rudy Gobert,,C,20.7,"7'2""",238,"7'8 ½""",12.7,10.0,1.4,18.7,,NBA,7.99
27,28,,Livio Jean-Charles,,SF/PF,19.3,"6'9""",217,"7'2 ½""",11.5,5.7,1.1,21.2,,G-League,-
28,29,,Archie Goodwin,,SG,18.5,"6'5""",189,"6'9 ½""",20.1,6.6,3.4,19.8,,G-League,0.17
29,30,,Nemanja Nedovic,,PG/SG,21.7,"6'4""",200,"6'6 ¾""",15.7,1.6,4.6,19.7,,EuroLeague,-0.89
30,31,,Allen Crabbe,,SG,20.9,"6'6""",197,"6'11 ¼""",12.7,4.3,1.6,11.5,,NBA,0.41
31,32,,Alex Abrines,,SG,19.6,"6'5""",190,-,4.9,1.7,0.4,8.4,,NBA,-0.79
32,33,,Carrick Felix,,SG,22.5,"6'6""",203,"6'9 ¼""",0.0,0.0,0.0,0.0,,NBA,0.02
33,34,,Isaiah Canaan,,PG,21.8,"6'0""",188,"6'4 ½""",18.0,2.0,6.0,25.5,,G-League,0.10
34,35,,Glen Rice,,SF,22.2,"6'6""",211,"6'9 ¼""",25.1,7.6,4.5,26.6,,Israel,-0.27
35,36,,Ray McCallum,,PG,21.7,"6'2""",191,"6'3 ¼""",9.6,2.6,3.0,14.2,,EuroLeague,0.01
36,37,,Tony Mitchell,,PF,20.9,"6'9""",236,"7'2 ½""",14.0,8.0,2.3,27.1,,Dominican Republic,0.10
37,38,,Nate Wolters,,PG,21.8,"6'5""",196,"6'3 ¾""",15.4,5.7,6.9,14.3,,G-League,0.09
38,39,,Jeff Withey,,C,23,"7'0""",222,"7'2""",1.7,1.1,0.0,8.7,,NBA,1.25
39,40,,Grant Jerrett,,PF,19.6,"6'10""",232,"7'2""",15.2,6.0,2.0,20.0,,G-League,-0.12
40,41,,Jamaal Franklin,,SG,21.6,"6'5""",191,"6'11 ¼""",30.2,9.5,5.3,33.9,,China,-0.25
41,42,,Pierre Jackson,,PG,21.5,"5'10""",176,-,14.9,3.3,4.3,17.2,,EuroLeague,0.09
42,43,,Ricky Ledo,,SG,20.5,"6'6""",197,"6'7 ¼""",13.8,6.6,1.9,11.3,,G-League,-0.18
43,44,,Mike Muscala,,C,21.7,"6'11""",230,"7'1""",13.0,3.0,1.3,26.7,,G-League,1.22
44,45,,Marko Todorovic,,C,20.9,"6'11""",240,-,2.7,1.9,0.5,10.2,,EuroLeague,-
45,46,,Erick Green,,PG/SG,21.8,"6'3""",178,"6'5 ¾""",15.9,2.0,2.0,21.3,,EuroLeague,-0.14
46,47,,Raul Neto,,PG,20.8,"6'2""",179,"6'4""",5.0,1.3,1.9,12.8,,NBA,0.01
47,48,,Ryan Kelly,,PF,21.9,"7'0""",228,"6'11 ½""",15.3,4.7,1.6,17.0,,ACB,-0.17
48,49,,Erik Murphy,,PF,22.3,"6'10""",240,"6'10 ½""",7.0,2.4,0.6,15.1,,France,-0.33
49,50,,James Ennis,,SF,22.7,"6'7""",201,"6'11 ½""",6.9,3.5,1.1,11.6,,NBA,0.26
50,51,,Romero Osby,,PF,22.8,"6'7""",230,"6'9 ¾""",8.0,3.8,0.8,20.8,,FIBA Europe Cup,-
51,52,,Lorenzo Brown,,PG,22.5,"6'5""",189,"6'7""",18.2,5.1,9.0,22.0,,G-League,-0.19
52,53,,Colton Iverson,,C,23.7,"7'0""",263,"7'2""",0.5,0.5,0.0,-5.9,,ACB,-
53,54,,Arsalan Kazemi,,PF,22.8,"6'8""",225,"7'0""",9.6,11.7,2.3,29.7,,Asia Champions,-
54,55,,Joffrey Lauvergne,,PF,21.4,"6'11""",240,"6'9 ½""",4.4,3.3,0.9,16.1,,NBA,0.92
55,56,,Peyton Siva,,PG,22.3,"6'1""",181,"6'3""",13.6,2.1,5.2,19.3,,Germany,-0.57
56,57,,Alex Oriakhi,,PF/C,22.7,"6'9""",238,"7'3 ¾""",6.0,4.3,0.9,13.5,,Mexico LNBP,-
57,58,,Deshaun Thomas,,SF/PF,21.5,"6'7""",220,"6'10""",11.7,3.6,1.2,15.0,,EuroLeague,-
58,59,,Bojan Dubljevic,,PF/C,21.3,"6'10""",242,"7'1""",10.3,4.9,1.3,20.2,,EuroLeague,-
59,60,,Janis Timma,,SF,20.7,"6'7""",226,"6'7 ½""",8.0,2.7,1.3,12.7,,EuroLeague,-
