Season,Team,Tempo,RankTempo,AdjTempo,RankAdjTempo,AdjOE,RankAdjOE,AdjOE,RankAdjOE,AdjDE,RankAdjDE,AdjDE,RankAdjDE,AdjEM,RankAdjEM
2012,"Air Force",63.1775,315,61.1009,319,100.013,229,100.013,229,102.216,155,102.216,155,-2.20339,188
2012,Akron,68.0723,106,66.4288,103,108.321,81,108.321,81,97.6574,74,97.6574,74,10.664,70
2012,Alabama,63.6658,305,61.9076,302,106.146,115,106.146,115,89.4568,6,89.4568,6,16.6894,27
2012,"Alabama A&M",68.1927,103,66.8168,91,89.9963,329,89.9963,329,111.412,318,111.412,318,-21.4153,337
2012,"Alabama St.",65.5536,230,63.5366,252,87.8417,338,87.8417,338,104.71,213,104.71,213,-16.8682,315
2012,Albany,66.3873,197,64.7136,189,108.807,71,108.807,71,111.608,320,111.608,320,-2.80151,199
2012,"Alcorn St.",69.2254,61,67.4295,61,88.3839,337,88.3839,337,108.567,280,108.567,280,-20.1834,331
2012,American,63.7566,304,61.7282,306,101.262,199,101.262,199,102.17,153,102.17,153,-0.907872,177
2012,"Appalachian St.",67.6319,126,65.4577,142,99.6177,235,99.6177,235,108.015,275,108.015,275,-8.39756,258
2012,Arizona,65.8424,219,64.321,205,107.629,87,107.629,87,94.8603,37,94.8603,37,12.7688,51
2012,"Arizona St.",63.9206,293,62.4955,285,100.59,219,100.59,219,106.138,245,106.138,245,-5.54782,230
2012,Arkansas,70.9902,30,69.5385,21,106.426,107,106.426,107,102.352,156,102.352,156,4.07417,127
2012,"Arkansas Little Rock",65.5038,233,63.6958,245,98.3436,251,98.3436,251,99.8997,113,99.8997,113,-1.55609,180
2012,"Arkansas Pine Bluff",67.0016,163,65.2096,165,93.4842,307,93.4842,307,111.452,319,111.452,319,-17.9676,321
2012,"Arkansas St.",64.5971,276,62.0105,297,102.615,172,102.615,172,105.298,227,105.298,227,-2.68311,194
2012,Army,69.6202,52,68.222,38,93.749,306,93.749,306,106.674,254,106.674,254,-12.9247,297
2012,Auburn,65.4134,239,63.9968,224,99.6115,236,99.6115,236,97.5088,70,97.5088,70,2.10269,147
2012,"Austin Peay",69.2284,60,67.5491,58,102.461,174,102.461,174,105.966,237,105.966,237,-3.50478,209
2012,"Ball St.",63.3776,312,62.3268,290,100.124,227,100.124,227,102.812,171,102.812,171,-2.6888,195
2012,Baylor,67.5571,134,65.6344,138,116.011,13,116.011,13,94.7187,34,94.7187,34,21.2923,13
2012,Belmont,69.2337,59,67.2001,72,117.094,9,117.094,9,100.138,121,100.138,121,16.9558,25
2012,"Bethune Cookman",65.1269,254,62.428,289,101.436,194,101.436,194,109.666,293,109.666,293,-8.23007,256
2012,Binghamton,65.9283,216,64.584,195,86.5382,342,86.5382,342,112.531,325,112.531,325,-25.9924,344
2012,"Boise St.",65.5824,229,64.3384,203,105.324,130,105.324,130,103.944,194,103.944,194,1.37966,154
2012,"Boston College",65.3976,240,63.7997,241,95.6595,287,95.6595,287,104.334,204,104.334,204,-8.67418,261
2012,"Boston University",65.2857,248,63.8004,240,99.9794,230,99.9794,230,101.579,145,101.579,145,-1.5996,181
2012,"Bowling Green",65.2991,245,63.8543,235,103.794,153,103.794,153,100.042,117,100.042,117,3.75185,132
2012,Bradley,68.0586,109,67.4074,63,94.9448,296,94.9448,296,103.406,184,103.406,184,-8.46163,260
2012,Brown,65.7379,225,64.0883,222,95.1707,293,95.1707,293,110.899,311,110.899,311,-15.7282,310
2012,Bryant,66.9689,165,64.5619,196,94.0111,304,94.0111,304,116.382,341,116.382,341,-22.3705,338
2012,Bucknell,64.382,279,63.2022,262,107.436,90,107.436,90,99.3299,97,99.3299,97,8.10589,89
2012,Buffalo,68.6703,86,67.3208,66,107.328,91,107.328,91,99.4094,102,99.4094,102,7.91827,92
2012,Butler,64.9691,266,64.1422,218,99.701,232,99.701,232,94.3867,28,94.3867,28,5.31434,116
2012,BYU,73.7125,8,72.5861,5,106.255,111,106.255,111,93.4608,21,93.4608,21,12.7945,50
2012,"Cal Poly",60.9782,340,59.0591,341,104.408,143,104.408,143,103.915,193,103.915,193,0.492133,166
2012,"Cal St. Bakersfield",67.0242,162,64.9693,175,101.867,188,101.867,188,108.586,281,108.586,281,-6.71917,244
2012,"Cal St. Fullerton",69.9616,42,68.2934,36,109.088,69,109.088,69,108.192,276,108.192,276,0.895633,159
2012,"Cal St. Northridge",69.2699,58,67.8635,49,98.1962,255,98.1962,255,111.968,323,111.968,323,-13.7722,303
2012,California,66.8875,172,65.6739,135,111.279,43,111.279,43,94.9134,38,94.9134,38,16.3658,29
2012,Campbell,69.8978,44,67.1004,79,103.714,154,103.714,154,109.712,294,109.712,294,-5.99864,233
2012,Canisius,68.403,93,65.2571,159,94.8643,297,94.8643,297,113.499,333,113.499,333,-18.6344,326
2012,"Central Arkansas",73.9648,7,71.7087,7,93.0556,312,93.0556,312,110.963,314,110.963,314,-17.9071,320
2012,"Central Connecticut",69.8636,46,67.0042,84,99.6944,233,99.6944,233,103.803,192,103.803,192,-4.10831,216
2012,"Central Michigan",64.7891,272,63.9443,228,98.5462,249,98.5462,249,106.538,251,106.538,251,-7.99156,253
2012,"Charleston Southern",71.5533,18,69.4824,22,104.506,142,104.506,142,105.213,225,105.213,225,-0.706896,172
2012,Charlotte,69.5833,53,67.6127,57,100.018,228,100.018,228,98.3723,85,98.3723,85,1.6456,151
2012,Chattanooga,69.5352,55,67.2996,68,97.7468,267,97.7468,267,106.676,255,106.676,255,-8.92926,264
2012,"Chicago St.",72.3893,16,69.1979,25,88.7279,335,88.7279,335,109.614,291,109.614,291,-20.886,334
2012,Cincinnati,64.681,274,62.8955,272,109.509,62,109.509,62,93.4814,22,93.4814,22,16.0276,31
2012,Clemson,64.0213,289,63.0823,265,105.486,124,105.486,124,96.8394,58,96.8394,58,8.64685,82
2012,"Cleveland St.",64.6398,275,63.8187,239,105.494,123,105.494,123,96.2737,50,96.2737,50,9.21988,80
2012,"Coastal Carolina",66.1744,204,63.8479,237,102.78,169,102.78,169,104.69,212,104.69,212,-1.91035,185
2012,Colgate,66.2748,202,64.7576,187,97.7083,269,97.7083,269,115.921,339,115.921,339,-18.2127,324
2012,"College of Charleston",68.9286,73,66.402,106,102.43,176,102.43,176,101.594,147,101.594,147,0.836436,160
2012,Colorado,65.9879,211,65.0685,170,104.762,137,104.762,137,95.8686,46,95.8686,46,8.89346,81
2012,"Colorado St.",65.109,255,63.5857,250,111.88,35,111.88,35,103.708,189,103.708,189,8.17148,88
2012,Columbia,63.9396,291,62.4375,288,101.127,203,101.127,203,102.982,178,102.982,178,-1.85498,184
2012,Connecticut,64.831,270,63.0002,270,111.342,42,111.342,42,96.8097,57,96.8097,57,14.5325,38
2012,"Coppin St.",70.1353,40,68.3334,35,106.555,104,106.555,104,116.078,340,116.078,340,-9.52293,273
2012,Cornell,67.8429,119,67.2776,69,98.1297,257,98.1297,257,101.564,143,101.564,143,-3.43381,207
2012,Creighton,67.9633,114,65.927,125,119.157,5,119.157,5,102.683,166,102.683,166,16.4747,28
2012,Dartmouth,63.8833,295,62.6117,278,91.1572,322,91.1572,322,104.074,199,104.074,199,-12.9168,296
2012,Davidson,68.9647,71,67.3513,65,112.021,33,112.021,33,101.369,141,101.369,141,10.6515,71
2012,Dayton,65.8186,221,64.1824,213,113.263,29,113.263,29,102.484,160,102.484,160,10.7786,69
2012,Delaware,68.0214,110,67.1757,73,103.422,159,103.422,159,103.445,185,103.445,185,-0.023681,169
2012,"Delaware St.",62.5429,324,60.3408,327,101.259,200,101.259,200,107.812,269,107.812,269,-6.55312,240
2012,Denver,62.0043,328,60.2079,328,110.92,49,110.92,49,100.513,128,100.513,128,10.4064,73
2012,DePaul,72.4219,15,71.3663,8,108.548,77,108.548,77,106.859,261,106.859,261,1.68942,150
2012,Detroit,67.5819,128,67.1279,76,108.094,82,108.094,82,102.615,164,102.615,164,5.47951,115
2012,Drake,67.3426,145,65.7592,132,101.096,205,101.096,205,98.4646,87,98.4646,87,2.63156,141
2012,Drexel,61.3674,337,60.3966,326,109.927,58,109.927,58,96.3952,54,96.3952,54,13.5318,45
2012,Duke,68.7062,83,66.38,108,117.65,8,117.65,8,97.9512,79,97.9512,79,19.6986,19
2012,Duquesne,69.6601,49,67.1228,77,107.226,93,107.226,93,102.931,176,102.931,176,4.29439,124
2012,"East Carolina",66.7695,175,65.1452,167,104.597,141,104.597,141,101.368,140,101.368,140,3.22881,135
2012,"East Tennessee St.",67.0658,159,64.1217,220,101.83,189,101.83,189,99.6171,110,99.6171,110,2.21331,146
2012,"Eastern Illinois",64.255,283,63.0979,263,97.5757,270,97.5757,270,110.641,308,110.641,308,-13.0653,298
2012,"Eastern Kentucky",63.6003,308,61.4289,316,100.714,216,100.714,216,109.651,292,109.651,292,-8.93714,265
2012,"Eastern Michigan",60.3408,342,59.1616,340,90.5216,326,90.5216,326,99.3561,99,99.3561,99,-8.83447,263
2012,"Eastern Washington",69.9468,43,67.6489,55,101.419,197,101.419,197,104.911,218,104.911,218,-3.49177,208
2012,Elon,70.4819,35,68.2908,37,97.8626,262,97.8626,262,106.081,241,106.081,241,-8.21879,255
2012,Evansville,67.8548,117,66.4112,105,110.726,52,110.726,52,105.561,230,105.561,230,5.16591,119
2012,Fairfield,66.0115,209,63.9782,225,100.642,218,100.642,218,94.9796,39,94.9796,39,5.66268,113
2012,"Fairleigh Dickinson",69.1914,64,66.5288,99,87.769,339,87.769,339,108.954,284,108.954,284,-21.1854,335
2012,FIU,65.2259,251,63.6633,246,99.412,239,99.412,239,104.858,217,104.858,217,-5.44633,228
2012,Florida,65.9355,215,64.2445,210,120.425,3,120.425,3,97.9564,80,97.9564,80,22.4687,10
