,#,,Player,CO,Pos,Age,HT,WT,WS,Pts,Reb,Ast,PER,Team,League,NBA EWA
0,1,,Karl Towns,,PF/C,19.3,"7'0""",248,"7'3 ¼""",20.3,12.3,2.4,24.0,,NBA,17.64
1,2,,D'Angelo Russell,,PG/SG,19,"6'5""",193,"6'9 ¾""",15.7,3.8,4.8,16.4,,NBA,2.87
2,3,,Jahlil Okafor,,C,19.2,"6'11""",272,"7'5""",5.0,4.5,0.5,8.3,,NBA,1.92
3,4,,Kristaps Porzingis,,PF,19.6,"7'3""",230,-,22.7,6.6,1.2,20.7,,NBA,7.27
4,5,,Mario Hezonja,,SG/SF,20,"6'8""",200,-,8.9,3.5,1.1,14.1,,NBA,-0.34
5,6,,Willie Cauley-Stein,,C,21.5,"7'1""",242,"7'3""",12.6,6.9,2.1,17.0,,NBA,3.90
6,7,,Emmanuel Mudiay,,PG,19,"6'5""",200,"6'8 ½""",8.5,2.2,2.9,13.2,,NBA,0.12
7,8,,Stanley Johnson,,SF,18.8,"6'7""",242,"6'11 ½""",8.6,3.7,1.6,8.7,,NBA,-1.91
8,9,,Frank Kaminsky,,PF,21.9,"7'1""",231,"6'11""",10.7,3.7,1.6,14.3,,NBA,1.94
9,10,,Justise Winslow,,SF,18.9,"6'7""",222,"6'10 ¼""",6.3,5.2,2.1,9.9,,NBA,-1.40
10,11,,Myles Turner,,C,18.9,"7'0""",239,"7'4""",13.6,6.8,1.5,17.6,,NBA,5.73
11,12,,Trey Lyles,,PF,19.3,"6'10""",241,"7'1 ½""",10.9,5.1,1.3,18.2,,NBA,1.46
12,13,,Devin Booker,,SG,18.3,"6'6""",206,"6'8 ¼""",24.7,4.6,4.8,19.5,,NBA,4.42
13,14,,Cameron Payne,,PG,20.6,"6'2""",183,"6'7 ¼""",21.0,4.0,4.0,26.5,,G-League,-0.18
14,15,,Kelly Oubre,,SF,19.2,"6'7""",203,"7'2 ¼""",11.9,4.6,1.1,12.5,,NBA,-0.30
15,16,,Terry Rozier,,PG,21,"6'2""",190,"6'8 ¼""",10.3,4.5,2.5,15.1,,NBA,0.83
16,17,,Rashad Vaughn,,SG,18.5,"6'5""",199,"6'7""",0.0,0.0,0.0,0.0,,NBA,-0.63
17,18,,Sam Dekker,,SF,20.8,"6'9""",219,"6'11 ½""",4.3,2.6,0.6,10.4,,NBA,0.51
18,19,,Jerian Grant,,PG,22.4,"6'5""",198,"6'7 ½""",8.3,2.7,4.9,14.9,,NBA,1.28
19,20,,Delon Wright,,PG,22.8,"6'6""",181,"6'7 ½""",8.4,2.9,2.8,16.4,,NBA,1.57
20,21,,Justin Anderson,,SF,21.3,"6'6""",231,"6'11 ¾""",6.0,2.3,0.6,12.5,,NBA,0.77
21,22,,Bobby Portis,,PF,20,"6'11""",246,"7'2""",13.0,6.5,1.6,21.1,,NBA,3.19
22,23,,Rondae Hollis-Jefferson,,SF,20.2,"6'7""",211,"7'2""",14.2,6.5,2.3,17.0,,NBA,2.57
23,24,,Tyus Jones,,PG,18.8,"6'2""",185,"6'5""",4.9,1.7,2.7,13.6,,NBA,0.94
24,25,,Jarell Martin,,SF/PF,20.8,"6'9""",239,"6'9 ¾""",11.0,5.5,1.0,2.7,,G-League,-0.23
25,26,,Nikola Milutinov,,C,20.2,"7'0""",220,-,8.5,5.3,0.8,19.0,,EuroLeague,-
26,27,,Larry Nance,,PF,22.2,"6'9""",227,"7'1 ½""",8.6,6.8,1.4,18.3,,NBA,2.31
27,28,,R.J. Hunter,,SG,21.4,"6'6""",185,"6'10 ½""",19.8,3.4,3.0,18.6,,G-League,-0.23
28,29,,Chris McCullough,,PF,20.1,"6'9""",199,"7'3 ¼""",12.4,7.8,1.6,15.5,,G-League,0.16
29,30,,Kevon Looney,,PF,19.1,"6'9""",222,"7'3 ½""",3.0,2.8,0.5,12.4,,NBA,0.36
30,31,,Cedi Osman,,SF,19.9,"6'8""",190,-,21.0,8.0,2.0,11.7,,G-League,-0.13
31,32,,Montrezl Harrell,,PF,21.1,"6'8""",253,"7'4 ¼""",9.4,3.9,0.8,22.9,,NBA,3.34
32,33,,Jordan Mickey,,PF/C,20.6,"6'8""",238,"7'3 ¼""",4.2,3.9,0.5,9.7,,NBA,-0.03
33,34,,Anthony Brown,,SF,22.4,"6'7""",211,"6'11 ¼""",19.6,5.1,3.5,14.9,,G-League,-0.51
34,35,,Guillermo Hernangomez,,C,20.8,"6'11""",255,"7'1 ½""",0.0,0.8,0.0,-8.2,,NBA,1.96
35,36,,Rakeem Christmas,,PF/C,23.2,"6'10""",243,"7'5 ¼""",7.2,5.3,0.3,15.2,,Australia,0.02
36,37,,Richaun Holmes,,PF,21.4,"6'10""",243,"7'1 ½""",6.2,4.7,1.2,15.2,,NBA,2.45
37,38,,Darrun Hilliard,,SF,21.9,"6'6""",220,"6'9""",21.7,4.8,4.0,23.3,,G-League,-0.45
38,39,,Juan Vaulet,,SF,18.9,"6'6""",200,-,8.7,6.3,1.3,13.9,,Argentina,-
39,40,,Josh Richardson,,SG,21.5,"6'6""",200,-,13.2,3.4,2.8,13.1,,NBA,0.75
40,41,,Pat Connaughton,,SG,22.2,"6'5""",215,"6'8 ¾""",6.0,2.0,1.2,10.3,,NBA,-0.17
41,42,,Olivier Hanlan,,PG/SG,22,"6'4""",186,"6'6 ½""",15.4,3.0,2.8,14.5,,G-League,-
42,43,,Joseph Young,,PG/SG,22.7,"6'2""",182,"6'5""",3.9,1.1,0.7,10.5,,NBA,-0.08
43,44,,Andrew Harrison,,PG,20.4,"6'6""",213,"6'9""",9.0,2.3,2.9,12.5,,NBA,-0.24
44,45,,Marcus Thornton,,PG,22.1,"6'3""",177,"6'7 ¾""",18.9,2.9,3.0,13.5,,G-League,0
45,46,,Norman Powell,,SG,21.8,"6'4""",215,"6'10 ¾""",6.0,1.7,1.4,9.4,,NBA,0.92
46,47,,Arturas Gudaitis,,C,21.7,"6'11""",253,-,9.8,5.7,0.3,25.4,,EuroLeague,-
47,48,,Dakari Johnson,,C,19.4,"7'0""",265,"7'2""",23.9,10.1,2.9,25.1,,G-League,0.32
48,49,,Aaron White,,PF,22.5,"6'9""",220,"6'11 ½""",9.9,4.9,1.1,16.3,,EuroLeague,-
49,50,,Marcus Eriksson,,SG,21.2,"6'7""",178,"6'8 ¾""",11.8,2.6,0.9,19.0,,ACB,-
50,51,,Tyler Harvey,,SG,21.6,"6'4""",181,"6'5 ½""",10.4,1.8,0.9,15.8,,France,-
51,52,,Satnam Singh,,C,19.2,"7'2""",290,-,1.6,1.3,0.1,4.9,,G-League,-
52,53,,Sir'Dominic Pointer,,SF,22.8,"6'5""",193,"6'8""",13.5,3.0,0.5,41.1,,FIBA Europe Cup,-
53,54,,Daniel Diez,,SF,21.9,"6'8""",216,"6'5 ½""",3.4,2.0,0.8,9.8,,EuroLeague,-
