,#,,Player,CO,Pos,Age,HT,WT,WS,Pts,Reb,Ast,PER,Team,League,NBA EWA
17,18,,Henry Ellenson,,PF,19.1,"7'0""",242,"7'2 ¼""",29.5,9.5,1.0,19.7,,G-League,-0.23
18,19,,Malik Beasley,,SG,19.3,"6'5""",190,"6'7""",3.3,1.3,0.5,8.4,,NBA,-0.20
19,20,,Caris LeVert,,PG/SG,21.5,"6'7""",191,"6'10""",11.5,3.7,4.0,13.8,,NBA,1.41
20,21,,DeAndre Bembry,,SF,21.6,"6'6""",207,"6'9 ¼""",11.3,6.3,3.0,13.7,,G-League,-0.61
21,22,,Malachi Richardson,,SG/SF,20.1,"6'6""",200,"7'0""",6.2,3.6,1.6,2.5,,G-League,-0.29
22,23,,Ante Zizic,,C,19.1,"7'0""",249,"7'2 ½""",16.3,9.1,1.4,24.7,,G-League,0.08
23,24,,Timothe Luwawu,,SG/SF,20.8,"6'7""",205,-,6.1,1.5,1.1,7.4,,NBA,-1.39
24,25,,Brice Johnson,,PF,21.7,"6'11""",209,"7'0 ½""",13.5,8.5,2.0,22.9,,G-League,0.06
25,26,,Furkan Korkmaz,,SG,18.6,"6'7""",185,-,15.4,5.1,3.2,12.4,,G-League,-0.10
26,27,,Pascal Siakam,,PF,22.1,"6'10""",227,"7'3 ¼""",6.9,4.5,1.9,13.9,,NBA,1.02
27,28,,Skal Labissiere,,PF/C,19.9,"7'0""",216,"7'2 ½""",28.0,15.5,2.0,34.6,,G-League,1.74
28,29,,Dejounte Murray,,PG/SG,19.4,"6'5""",170,"6'9 ½""",7.3,5.3,2.8,14.5,,NBA,1.07
29,30,,Damian Jones,,C,20.7,"7'0""",244,"7'3 ¾""",14.9,7.7,2.1,20.4,,G-League,-0.12
30,31,,Deyonta Davis,,PF/C,19.2,"6'11""",237,"7'2 ½""",16.0,6.0,0.0,27.7,,G-League,1.02
31,32,,Ivica Zubac,,C,18.9,"7'1""",265,-,21.5,9.2,1.7,26.8,,G-League,0.99
32,33,,Cheick Diallo,,PF/C,19.5,"6'9""",219,"7'4 ½""",3.7,2.9,0.3,14.7,,NBA,0.56
33,34,,Tyler Ulis,,PG,20.1,"5'10""",149,"6'2""",6.8,1.6,3.9,9.3,,NBA,0.12
34,35,,Rade Zagorac,,SF,20.5,"6'9""",205,-,5.1,1.0,0.1,18.0,,ACB,-
35,36,,Malcolm Brogdon,,SG,23.2,"6'6""",223,"6'10 ½""",13.3,3.3,3.2,14.6,,NBA,3.21
36,37,,Chinanu Onuaku,,C,19.3,"6'10""",245,"7'2 ¾""",10.5,9.2,2.8,19.0,,G-League,0.02
37,38,,Patrick McCaw,,SG,20.3,"6'7""",181,"6'10""",14.0,4.0,2.5,11.4,,G-League,-0.93
38,39,,David Michineau,,PG,21.7,"6'4""",180,"6'5""",10.1,1.6,1.3,14.5,,France,-
39,40,,Diamond Stone,,C,19,"6'10""",254,"7'2 ¾""",14.8,5.9,1.3,16.7,,G-League,-0.14
40,41,,Stephen Zimmerman,,C,19.5,"7'0""",234,"7'3 ¾""",6.5,4.9,1.0,15.9,,G-League,-0.19
41,42,,Isaiah Whitehead,,SG,21,"6'5""",210,"6'8 ¾""",20.4,3.8,3.7,18.0,,G-League,-1.29
42,43,,Zhou Qi,,C,20.1,"7'2""",218,"7'7 ¾""",11.8,6.5,1.2,14.9,,G-League,-0.37
43,44,,Isaia Cordinier,,SG,19.2,"6'5""",177,"6'8""",6.5,2.8,1.9,8.9,,France,-
44,45,,Demetrius Jackson,,PG,21.5,"6'2""",194,"6'5 ½""",16.0,1.0,4.0,21.1,,G-League,-0.06
45,46,,A.J. Hammons,,C,23.5,"7'0""",278,"7'3""",8.4,6.1,0.9,16.0,,G-League,-0.10
46,47,,Jake Layman,,SF,22,"6'9""",209,"6'9 ¼""",1.2,0.5,0.3,4.8,,NBA,-0.58
47,48,,Paul Zipser,,SF,22,"6'8""",210,-,18.0,6.5,3.5,13.1,,G-League,-1.86
48,49,,Michael Gbinije,,SG/SF,23.7,"6'7""",205,"6'7 ½""",6.9,2.5,1.5,7.9,,G-League,-0.20
49,50,,Georges Niang,,SF/PF,22.7,"6'9""",231,"6'10""",22.4,6.9,3.6,22.4,,G-League,-0.24
50,51,,Ben Bentil,,PF,20.9,"6'8""",229,"7'1 ½""",11.7,4.8,1.1,11.0,,France,-0.14
51,52,,Joel Bolomboy,,PF,22.1,"6'9""",224,"7'1 ¾""",17.0,10.1,1.1,20.3,,G-League,0.16
52,53,,Petr Cornelie,,PF,20.6,"6'11""",220,-,4.6,5.2,1.6,13.2,,France,-
53,54,,Kay Felder,,PG,20.9,"5'10""",177,"6'2 ½""",17.3,3.7,4.7,12.7,,G-League,-0.12
54,55,,Marcus Paige,,PG,22.5,"6'2""",164,"6'6 ¼""",15.2,2.9,4.6,15.0,,G-League,-0.04
55,56,,Daniel Hamilton,,SG,20.6,"6'8""",197,"6'9""",15.9,8.9,7.5,16.1,,G-League,0.13
56,57,,Wang Zhelin,,C,22.1,"7'0""",251,"6'11""",20.3,11.1,1.8,20.9,,China,-
57,58,,Abdel Nader,,F,22.4,"6'6""",221,"7'1""",21.3,5.8,1.5,14.9,,G-League,-0.69
58,59,,Isaiah Cousins,,SG,22,"6'6""",191,"6'6 ¼""",11.8,3.5,3.3,12.8,,G-League,-
59,60,,Tyrone Wallace,,PG,21.7,"6'6""",198,"6'9 ½""",22.8,6.1,5.4,22.7,,G-League,0.16
