,#,,Player,CO,Pos,Age,HT,WT,WS,Pts,Reb,Ast,PER,Team,League,NBA EWA
0,1,,Ben Simmons,,SF/PF,19.6,"6'10""",239,"7'0 ¼""",16.7,7.7,7.4,18.9,,NBA,7.96
1,2,,Brandon Ingram,,SF,18.5,"6'9""",196,"7'3""",16.2,5.4,3.8,14.1,,NBA,0.20
2,3,,Jaylen Brown,,SF,19.3,"6'7""",223,"6'11 ¾""",14.1,5.3,1.6,13.2,,NBA,0.90
3,4,,Dragan Bender,,PF,18.3,"7'1""",225,"7'2""",6.2,3.9,1.4,7.1,,NBA,-2.10
4,5,,Kris Dunn,,PG,21.9,"6'4""",205,"6'9 ½""",13.5,4.5,6.1,15.1,,NBA,0.47
5,6,,Buddy Hield,,SG,22.2,"6'5""",212,"6'9 ¼""",12.8,3.6,1.6,15.9,,NBA,1.47
6,7,,Jamal Murray,,PG/SG,19,"6'5""",201,"6'6 ½""",16.4,3.6,3.1,16.7,,NBA,3.12
7,8,,Marquese Chriss,,PF,18.7,"6'10""",233,"7'0 ¼""",6.7,5.1,1.2,9.6,,NBA,0.30
8,9,,Jakob Poeltl,,C,20.4,"7'1""",239,"7'2 ¾""",6.9,4.7,0.6,16.3,,NBA,1.72
9,10,,Thon Maker,,PF,19,"7'1""",216,"7'3""",5.2,3.4,0.7,10.2,,NBA,0.35
10,11,,Domantas Sabonis,,PF/C,19.8,"6'10""",231,"6'10 ½""",12.2,8.1,2.2,17.7,,NBA,0.89
11,12,,Taurean Prince,,SF,21.5,"6'8""",220,"6'11 ½""",12.4,4.7,2.3,11.3,,NBA,0.03
12,13,,Georgios Papagiannis,,C,18.6,"7'2""",240,-,13.5,9.7,1.1,16.0,,G-League,0.16
13,14,,Denzel Valentine,,SG,22.3,"6'6""",210,"6'10 ¾""",9.8,5.4,3.1,11.7,,NBA,-0.50
14,15,,Juan Hernangomez,,SF/PF,20.4,"6'9""",220,-,3.1,2.3,0.4,9.9,,NBA,0.48
15,16,,Guerschon Yabusele,,PF,20.2,"6'8""",270,-,20.7,8.0,2.6,19.9,,G-League,0.05
16,17,,Wade Baldwin,,PG,19.9,"6'4""",202,"6'11 ¼""",18.2,4.4,5.1,16.5,,G-League,-0.40
