,#,,Player,CO,Pos,Age,HT,WT,WS,Pts,Reb,Ast,PER,Team,League,NBA EWA
0,1,,John Wall,,PG,19.5,"6'4""",196,"6'9 ¼""",19.4,3.5,9.3,19.8,,NBA,11.11
1,2,,Evan Turner,,SG/SF,21.3,"6'7""",214,"6'8""",7.9,3.3,2.2,9.7,,NBA,1.16
2,3,,Derrick Favors,,PF/C,18.6,"6'10""",245,"7'4""",12.2,7.3,1.3,17.8,,NBA,5.90
3,4,,Wesley Johnson,,SF/PF,22.6,"6'7""",206,"7'0""",6.2,3.4,0.9,9.4,,NBA,-0.57
4,5,,DeMarcus Cousins,,C,19.5,"6'11""",292,"7'5 ¾""",25.2,12.9,5.4,23.0,,NBA,11.06
5,6,,Ekpe Udoh,,PF/C,22.8,"6'10""",237,"7'4 ½""",3.1,2.6,1.0,14.7,,NBA,0.20
6,7,,Greg Monroe,,PF/C,19.7,"6'11""",247,"7'2""",11.3,8.0,2.5,20.5,,NBA,7.65
7,8,,Al-Farouq Aminu,,SF/PF,19.4,"6'8""",216,"7'0""",9.6,7.3,1.1,12.0,,NBA,1.48
8,9,,Gordon Hayward,,SF,19.9,"6'8""",211,"6'7 ¾""",2.0,1.0,0.0,7.0,,NBA,7.08
9,10,,Paul George,,SF,19.8,"6'9""",214,"6'11 ¼""",22.3,5.5,3.2,20.0,,NBA,8.64
10,11,,Cole Aldrich,,C,21.3,"6'11""",236,"7'6""",0.5,0.5,0.1,6.2,,NBA,1.12
11,12,,Xavier Henry,,SF,19,"6'6""",210,"6'11 ¼""",7.8,2.4,0.5,16.4,,G-League,-0.37
12,13,,Ed Davis,,PF,20.7,"6'10""",227,"7'0""",5.6,7.3,0.5,15.2,,NBA,3.58
13,14,,Patrick Patterson,,PF,21,"6'9""",240,"7'2""",3.6,2.2,0.7,8.7,,NBA,1.25
14,15,,Larry Sanders,,PF/C,21.3,"6'10""",222,"7'6 ½""",0.8,0.8,0.0,6.7,,NBA,1.78
15,16,,Luke Babbitt,,SF,20.7,"6'9""",218,"6'11 ¼""",2.0,2.0,0.3,1.3,,NBA,-0.16
16,17,,Kevin Seraphin,,C,20.2,"6'9""",258,-,12.1,4.9,0.9,19.7,,EuroLeague,0.65
17,18,,Eric Bledsoe,,PG/SG,20.2,"6'1""",192,"6'7 ½""",15.7,2.3,3.0,14.1,,NBA,4.76
18,19,,Avery Bradley,,SG,19.3,"6'3""",180,"6'6""",9.2,3.7,1.8,9.1,,NBA,0.78
19,20,,James Anderson,,SG/SF,20.9,"6'6""",208,"6'8 ½""",10.3,3.1,1.5,14.2,,VTB United,-0.33
20,21,,Craig Brackins,,PF/C,22.4,"6'10""",229,"7'0""",14.5,5.3,1.4,19.4,,LegaDue,-0.23
21,22,,Elliot Williams,,SG,20.7,"6'4""",175,-,1.6,0.8,0.8,4.5,,NBA,-0.13
22,23,,Trevor Booker,,PF,22.3,"6'7""",236,"6'9 ¾""",4.7,3.7,0.8,13.9,,NBA,2.41
23,24,,Damion James,,SF/PF,22.4,"6'8""",227,"7'0 ¾""",10.7,4.7,4.0,11.8,,Liga Americas,-0.18
24,25,,Dominique Jones,,SG,21.4,"6'5""",216,"6'9 ¼""",29.2,6.5,5.5,24.7,,China,0.13
25,26,,Quincy Pondexter,,SF,22,"6'6""",220,-,2.0,1.2,0.4,4.4,,NBA,-0.36
26,27,,Jordan Crawford,,SG,21.3,"6'4""",198,"6'5 ½""",9.0,1.0,5.0,16.4,,NBA,1.24
27,28,,Greivis Vasquez,,PG,23.1,"6'6""",211,"6'7""",2.3,0.7,1.7,4.1,,NBA,1.65
28,29,,Daniel Orton,,C,19.6,"6'9""",269,"7'4 ¼""",9.3,4.6,1.7,20.1,,Greece,0.10
29,30,,Lazar Hayward,,SF,23.3,"6'6""",226,"7'0 ¾""",13.8,6.0,1.5,21.7,,Venezuela,-0.18
30,31,,Tibor Pleiss,,C,20.3,"7'0""",220,-,10.2,5.4,0.6,22.6,,EuroLeague,-0.29
31,32,,Dexter Pittman,,C,22,"6'11""",303,"7'6""",7.7,5.1,1.2,14.6,,Puerto Rico,-0.06
32,33,,Hassan Whiteside,,C,20.7,"6'11""",227,"7'7""",14.2,11.9,0.9,23.2,,NBA,6.82
33,34,,Armon Johnson,,PG/SG,21,"6'3""",195,"6'8""",4.6,1.0,2.2,4.6,,France,-0.03
34,35,,Nemanja Bjelica,,PG/SG/SF,21.8,"6'10""",210,-,5.9,3.3,1.1,13.6,,NBA,0.49
35,36,,Terrico White,,SG,20,"6'5""",203,"6'9""",19.9,5.5,2.6,18.4,,G-League,-
36,37,,Darington Hobson,,SF,22.4,"6'6""",204,"6'9 ¼""",10.5,5.9,3.4,13.1,,Argentina,-0.27
37,38,,Andy Rautins,,SG,23.3,"6'5""",192,"6'7""",7.7,2.9,2.4,8.8,,Turkey,-0.14
38,39,,Landry Fields,,SF,21.7,"6'7""",216,"6'9 ½""",1.8,1.0,0.6,10.7,,NBA,0.77
39,40,,Lance Stephenson,,SG,19.5,"6'6""",227,"6'10 ½""",9.3,5.5,3.1,13.1,,NBA,0.67
40,41,,Jarvis Varnado,,PF,22,"6'10""",210,"7'3 ½""",8.1,5.4,0.7,16.0,,ACB,0.03
41,42,,Da'Sean Butler,,SF/PF,22.1,"6'7""",205,-,11.1,4.7,0.8,16.6,,Germany,-
42,43,,Devin Ebanks,,SF/PF,20.3,"6'8""",208,"6'9""",22.0,7.2,1.3,25.8,,LegaDue,-0.14
43,44,,Jerome Jordan,,C,23.4,"7'1""",244,"7'6""",12.4,5.6,1.3,22.2,,ACB,0.74
44,45,,Paulao Prestes,,C,22,"6'10""",265,-,6.9,4.1,0.6,23.4,,Brazil,-
45,46,,Gani Lawal,,PF/C,21.3,"6'9""",233,"7'0""",16.0,9.6,0.5,26.0,,Turkey 2,-0.02
46,47,,Tiny Gallon,,PF,19.1,"6'9""",302,"7'4 ½""",5.8,4.7,1.7,9.3,,G-League,-
