,#,,Player,CO,Pos,Age,HT,WT,WS,Pts,Reb,Ast,PER,Team,League,NBA EWA
47,48,,Latavious Williams,,PF,20.9,"6'8""",230,-,14.0,6.5,0.5,24.2,,Venezuela,-
48,49,,Ryan Richards,,PF/C,18.8,"7'0""",230,"7'1 ½""",6.0,4.0,0.0,16.4,,Balkan,-
49,50,,Solomon Alabi,,C,21.9,"7'1""",237,"7'5 ¼""",4.9,5.5,0.2,15.0,,G-League,-0.03
50,51,,Magnum Rolle,,PF,24,"6'10""",200,-,11.4,4.5,0.9,17.3,,Israel,-
51,52,,Luke Harangody,,PF,22.2,"6'8""",240,"6'9 ½""",11.5,6.5,1.3,20.9,,Germany,-0.09
52,53,,Pape Sy,,PG/SG,21.9,"6'6""",205,-,4.4,1.6,0.7,8.7,,France,-0.02
53,54,,Willie Warren,,SG,20.3,"6'4""",208,"6'6""",6.0,2.0,4.0,4.1,,G-League,-0.00
54,55,,Jeremy Evans,,PF,22.3,"6'9""",190,-,15.2,9.8,1.0,21.6,,G-League,1.41
55,56,,Hamady N'Diaye,,C,23.1,"6'11""",233,"7'6""",6.0,4.6,0.0,17.5,,Italy,-0.18
56,57,,Ryan Reid,,PF/C,23.3,"6'8""",245,-,4.8,3.4,0.4,11.9,,France,0.06
57,58,,Derrick Caracter,,PF/C,21.8,"6'9""",280,"7'0 ¼""",1.7,2.3,0.7,0.2,,Liga Americas,-0.08
58,59,,Stanley Robinson,,SF/PF,21.6,"6'8""",213,"7'0""",15.6,10.4,3.4,26.1,,Iceland,-
59,60,,Dwayne Collins,,PF/C,21.9,"6'7""",236,"7'4 ½""",12.1,7.7,1.2,25.5,,NCAA,-
